项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,5d2008e,Awesome-HarmonyOS,2021-06-08T14:44:29Z,Merge pull request #115 from feiqihang/patch-1  fix md syntax,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/5d2008e97ea2547dfb3d0b4c9409953e1bf633fc
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,c42fab5,Awesome-HarmonyOS,2021-06-08T14:43:32Z,Merge pull request #108 from Siricee/master  Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/c42fab5c124c74a95fdb0cebe1b8ebf801aae358
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,a754d3a,Philip Qin（秦鹏飞）,2021-06-03T08:39:18Z,fix md syntax  markdown syntax,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/a754d3acd51100f4fbb423afdb1d124b19f2e49d
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,b622d2d,Liu Zijian,2020-09-15T05:31:51Z,Update README.md  Polish document language.,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/b622d2d224a7b4d9ecfc850e5d7b83f6c8c4a9b5
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,8edad74,Awesome-HarmonyOS,2019-08-25T16:38:35Z,Merge pull request #103 from Hengliang/patch-1  Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/8edad747f665e8a39ae0e1469c7849fd84e8a391
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,1647496,飛雲,2019-08-24T14:10:44Z,Update README.md  fix typo of OS name.,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/1647496f40fe581bfe4d0a6082d710428c199470
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,8fc6fca,Awesome-HarmonyOS,2019-08-16T16:06:10Z,Merge pull request #97 from konantian/master  update the date in english version adme Readme to more formal style,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/8fc6fca5e00724c053a64787b15dfc5307249377
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,61560f7,Awesome-HarmonyOS,2019-08-16T16:04:44Z,Merge pull request #96 from bgokcol/patch-1  Update Readme-TR,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/61560f708b4a7e988ad6f07cb24d57d7e8788d2a
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,c590028,Yuan Wang,2019-08-15T17:31:52Z,fixed more typo,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/c590028f8909443abb040a434628d370561db503
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,3c80b0e,Yuan Wang,2019-08-15T17:24:39Z,fixed the typo and the grammar erros,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/3c80b0eb7a5716485c04fe7c754d01ef30445d62
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,9440412,Yuan Wang,2019-08-15T17:11:27Z,update the date in english version adme Readme to more formal style,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/944041239261e9d7ce258caa4fd744f5898d545d
