项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,59ac0f2,MX,2025-12-03T19:53:01Z,upd changelog,https://github.com/DarkFlippers/unleashed-firmware/commit/59ac0f211c242295f644da2f03b7259423f635e9
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,c8e756a,MX,2025-12-03T19:52:09Z,enable winter anims,https://github.com/DarkFlippers/unleashed-firmware/commit/c8e756a3c52a615514c74951f9ec375b1f956223
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,13b79f0,MX,2025-12-03T19:50:43Z,upd changelog,https://github.com/DarkFlippers/unleashed-firmware/commit/13b79f0246940dd3de9edd34b84b57a751feb083
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,0592586,MX,2025-12-03T16:59:03Z,upd subremote,https://github.com/DarkFlippers/unleashed-firmware/commit/05925868d2f9df42a5d8359c4f644978066f792c
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,e2e839f,MX,2025-12-01T04:04:38Z,fmt,https://github.com/DarkFlippers/unleashed-firmware/commit/e2e839fb2c48e13d47e996201f96a394bd55c0bf
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,0b7c9e2,MX,2025-12-01T03:45:48Z,update changelog [ci skip],https://github.com/DarkFlippers/unleashed-firmware/commit/0b7c9e2eab4d4d3c3d5f6f7940bf2d713425202e
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,6f69f39,MMX,2025-12-01T03:43:03Z,Merge pull request #933 from Dmitry422/dev  Subghz signal Counter edit option,https://github.com/DarkFlippers/unleashed-firmware/commit/6f69f39fa148116ea18d5841579d28d1c9b488ec
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,ab593a7,MMX,2025-12-01T03:42:52Z,Merge pull request #931 from koterba/patch-1  Fix typo in README warning about scammers,https://github.com/DarkFlippers/unleashed-firmware/commit/ab593a7a8f74929bb1ac88b2522daadd28340ce2
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,7409b51,MX,2025-12-01T03:41:00Z,upd changelog [ci skip],https://github.com/DarkFlippers/unleashed-firmware/commit/7409b51da5830fdf0f1d218c79dbff20e249f4d5
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,0f3eb9a,Dmitry422,2025-12-01T03:08:23Z,Subghz counter edit finished,https://github.com/DarkFlippers/unleashed-firmware/commit/0f3eb9ae1297683fd3cf58d11d4df4d3ada45a4f
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,6abd2b0,MX,2025-12-01T03:06:30Z,Add date/time input module  ofw pr 4261 by aaronjamt,https://github.com/DarkFlippers/unleashed-firmware/commit/6abd2b0e9f1d677a4cfe424868357911c5e34854
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,a7561be,MX,2025-12-01T02:40:27Z,Add Saflok MFUL Parser Support  by aaronjamt,https://github.com/DarkFlippers/unleashed-firmware/commit/a7561bee985e5cdf46fde3ab1ca2c66a02726600
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,3821c90,MX,2025-12-01T02:36:10Z,Add MFUL counters to Info page  by aaronjamt,https://github.com/DarkFlippers/unleashed-firmware/commit/3821c9049e8e618f87da346571ff1ac48a78f191
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,5bd0f64,MX,2025-12-01T02:31:26Z,ir cli fix  by WillyJL,https://github.com/DarkFlippers/unleashed-firmware/commit/5bd0f642dd6fe0aa05ff0351754c88285993820f
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,b8bec12,Dmitry422,2025-11-30T14:57:10Z,from home to work. one step from the end,https://github.com/DarkFlippers/unleashed-firmware/commit/b8bec12974f8a190adf1a415106601e842878737
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,a493612,Dmitry422,2025-11-28T13:13:56Z,From work to home,https://github.com/DarkFlippers/unleashed-firmware/commit/a493612444a3ff161bd628d3dde4a41a3e4f16f0
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,259efad,MX,2025-11-25T16:09:11Z,upd changelog,https://github.com/DarkFlippers/unleashed-firmware/commit/259efadaea8b4432d1b094d4a2b44c987ea5ee6d
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,ecbeb65,MX,2025-11-25T16:08:15Z,Merge remote-tracking branch 'OFW/dev' into dev,https://github.com/DarkFlippers/unleashed-firmware/commit/ecbeb658e14160215c097e85f04afe8b62ae4b5a
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,cd79d4f,RebornedBrain,2025-11-25T13:58:10Z,Fix Felica standard loading from nfc file (#4311),https://github.com/DarkFlippers/unleashed-firmware/commit/cd79d4f689857c1cfcef6114f39606c07e180469
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,7fd3091,Dmitry422,2025-11-21T09:58:38Z,Start working on subghz counter editor,https://github.com/DarkFlippers/unleashed-firmware/commit/7fd30911fe2f27f5f6e26d4fae3e8e67d9200b48
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,52b76e2,koterba,2025-11-11T18:33:32Z,Fix typo in README warning about scammers,https://github.com/DarkFlippers/unleashed-firmware/commit/52b76e2e2e28c3539f1b9e79b6bab7a54272815d
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,b0c1931,MX,2025-11-11T12:46:15Z,upd changelog,https://github.com/DarkFlippers/unleashed-firmware/commit/b0c1931cafbe9b2ef2e5e6dd940aa7fb79a8a9ab
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,1c07f94,MMX,2025-11-11T12:43:44Z,Merge pull request #930 from Dmitry422/dev  FZ interface for SubGHz Counter Experimental Mode,https://github.com/DarkFlippers/unleashed-firmware/commit/1c07f94cdda89900a07a6050d264ad1b68d942ec
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,0351818,Dmitry422,2025-11-11T04:52:42Z,Rework by review finished,https://github.com/DarkFlippers/unleashed-firmware/commit/0351818b75ced86cc642771e99c29df9570d9692
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,b391cfc,Dmitry422,2025-11-11T01:46:32Z,Rework by review,https://github.com/DarkFlippers/unleashed-firmware/commit/b391cfc71dab8ccd659f4d301de6c3af2a30e9fb
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,da3a283,Dmitry422,2025-11-11T01:15:02Z,Recover accidentally deleted,https://github.com/DarkFlippers/unleashed-firmware/commit/da3a2834d49adecd25f9e6a8b021de82ec3bb48e
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,d320c4a,Dmitry422,2025-11-11T01:14:08Z,Recover accidentally deleted,https://github.com/DarkFlippers/unleashed-firmware/commit/d320c4a46b3a1c4fbaa5407bbd51cba8683c9438
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,d1f8ddc,Dmitry422,2025-11-10T16:23:34Z,i dont know WTF,https://github.com/DarkFlippers/unleashed-firmware/commit/d1f8ddc033ad7f1935b024fa6218fb67006af8e9
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,d13b43f,Dmitry422,2025-11-10T16:15:51Z,Merge branch 'DarkFlippers:dev' into dev,https://github.com/DarkFlippers/unleashed-firmware/commit/d13b43f193cce5e20cf140d8f091d9da5206589b
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,01cc4cc,Dmitry422,2025-11-10T16:13:28Z,finita la comedia,https://github.com/DarkFlippers/unleashed-firmware/commit/01cc4cc3da53d6b339c09e826a881dd23ffaa8c3
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,7ee2667,Dmitry422,2025-11-09T15:01:36Z,Subghz signal settings counter edit in progress.....,https://github.com/DarkFlippers/unleashed-firmware/commit/7ee266752e6c3e2a22554638a3ed19ac82c11829
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,48b9dd2,Dmitry422,2025-11-09T14:01:19Z,"Hide additional settings under gebug mode (commented, not active)",https://github.com/DarkFlippers/unleashed-firmware/commit/48b9dd2cc82b4c76861ab4c1bb92e49247f16263
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,0530eda,MX,2025-11-06T20:12:12Z,Merge remote-tracking branch 'OFW/dev' into dev [ci skip],https://github.com/DarkFlippers/unleashed-firmware/commit/0530eda8d1df81768c72dbdf51d3e4c8c94148e6
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,9d1cee6,Dmitry422,2025-11-07T21:52:36Z,Subghz special signail_settings interface end of development,https://github.com/DarkFlippers/unleashed-firmware/commit/9d1cee6d4c8740881927cf833bdca895ab185063
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,b7d2ab7,Dmitry422,2025-11-07T21:51:23Z,Subghz special signail_settings interface,https://github.com/DarkFlippers/unleashed-firmware/commit/b7d2ab7a0c5f13f138cb88040c6b653bec48fbfc
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,a1c48c8,Dmitry422,2025-11-07T18:30:07Z,subghz signal settings gui (read from file and parse),https://github.com/DarkFlippers/unleashed-firmware/commit/a1c48c82f8ae4a1acab48cf75b35da2cee176e1d
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,7518dc7,Mykhailo Shevchuk,2025-11-06T19:54:50Z,Returning fix for reading PWD locked MFUL (#4295)  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/DarkFlippers/unleashed-firmware/commit/7518dc73c285faa3528095874bfefde3c1386cfd
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,f4c92dc,Nathan N,2025-11-06T19:34:21Z,Fix MIFARE Plus SL1 sector overrun issue in state machine (#4288)  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/DarkFlippers/unleashed-firmware/commit/f4c92dcd76d9c29e184d245cb493d0aa86809c40
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,c873eb5,Nathan N,2025-11-06T19:05:16Z,Fix Ultralight EV1 regression (#4287)  * Fix EV1 regression introduced in e7634d7  * ./fbt format  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com> Co-authored-by: hedger <hedger@nanode.su>,https://github.com/DarkFlippers/unleashed-firmware/commit/c873eb5e3692c18369e732390c280288e2eae3cc
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,a42e30f,Zinong Li,2025-11-06T18:45:52Z,"NFC FeliCa Minor Fix: `FelicaPollerEventType` should only be `Incomplete` if the tag is FeliCa Lite (#4279)  * poller read is only incomp if in Lite workflow  * another small fix for the ""255/28 pages read"" bug  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com>",https://github.com/DarkFlippers/unleashed-firmware/commit/a42e30f394b809ad3df10586fc3148193f37cc41
DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,6d93a90,Zinong Li,2025-11-06T18:37:33Z,NFC lib: Expose `nfc_common.h` (#4283)  * expose nfc_common.h  * Update api_symbols.csv  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/DarkFlippers/unleashed-firmware/commit/6d93a90a0a94a14674bda691e850c7d1f3f9e769
