项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,beabd6e,Devin Roth,2025-11-28T23:34:45Z,Update readme,https://github.com/ExistentialAudio/BlackHole/commit/beabd6e60b1a77bb21387df4711d3dcc19b873b2
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,20d8041,Devin Roth,2025-06-18T16:38:29Z,Merge pull request #846 from sekomer/patch-1  Update typo in README.md,https://github.com/ExistentialAudio/BlackHole/commit/20d80413c4e023051b007d3d35b64d7cd73154b8
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,73dab22,Steffan Andrews,2025-06-12T06:37:45Z,Updated GitHub Issues bug report templates,https://github.com/ExistentialAudio/BlackHole/commit/73dab22c3fef91f6d147bb04cc24f940e61bdb61
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,62fdf2e,Alperen Serkan Aksöz,2025-06-11T18:00:53Z,Update README.md,https://github.com/ExistentialAudio/BlackHole/commit/62fdf2ea2659ba463b5e8dd89687594d19d4da16
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,8497ee7,Devin Roth,2025-05-26T22:54:39Z,Add 24k audio.,https://github.com/ExistentialAudio/BlackHole/commit/8497ee78ecfc00375bee5b8883ac7c67eb961877
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,104b133,Steffan Andrews,2025-03-05T21:32:48Z,Updated README,https://github.com/ExistentialAudio/BlackHole/commit/104b133112cec9fde74bc9e8637bea5c135c255b
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,4fdd55c,Devin Roth,2025-02-06T23:55:41Z,Force restart on installation,https://github.com/ExistentialAudio/BlackHole/commit/4fdd55ca3dcd5207caa57ccafa09587d28669fa9
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,85ed0b8,Devin Roth,2024-11-22T19:35:25Z,Update preinstall,https://github.com/ExistentialAudio/BlackHole/commit/85ed0b822b951a63368138cec36ab9b3148298ef
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,d7e65c4,Devin Roth,2024-06-21T06:12:05Z,Update README.md,https://github.com/ExistentialAudio/BlackHole/commit/d7e65c4b73d523b5fb8f70129be0439f520ca8c9
ExistentialAudio/BlackHole,https://github.com/ExistentialAudio/BlackHole,4946302,Devin Roth,2024-05-07T22:11:27Z,Add create_uninstaller.sh,https://github.com/ExistentialAudio/BlackHole/commit/494630247454d127947ed92510c55013369520a3
