项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,d395323,Zhao Zhili,2025-11-14T15:46:04Z,"avcodec/h264_slice: don't force ff_get_format unconditionally after flush  h->context_initialized is zero after flush, which triggers call to ff_get_format unconditionally. ff_get_format can be heavy with ff_hwaccel_uninit and hwaccel_init. For example, it takes 20 ms on macOS with videotoolbox. ff_get_format should not be called if nothing changed. ff_get_format is guarantee to be called at the first time and when video information changed with (must_reinit || needs_reinit).  Fix #20760.",https://github.com/FFmpeg/FFmpeg/commit/d3953237d127f82889d27d1a5094cc32fc09d328
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,1d47ae6,Andreas Rheinhardt,2025-12-04T17:42:02Z,avcodec/tableprint_vlc: Unbreak hardcoded tables  Forgotten in d8ffec5bf9a2803f55cc0822a97b7815f24bee83. Fixes issue #21102.  Signed-off-by: Andreas Rheinhardt <andreas.rheinhardt@outlook.com>,https://github.com/FFmpeg/FFmpeg/commit/1d47ae65bf6df91246cbe25c997b25947f7a4d1d
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,1f30ff3,Arpad Panyik,2025-11-26T16:38:16Z,swscale: Add AArch64 Neon path for xyz12Torgb48 LE  Add optimized Neon code path for the little endian case of the xyz12Torgb48 function. The innermost loop processes the data in 4x2 pixel blocks using software gathers with the matrix multiplication and clipping done by Neon.  Relative runtime of micro benchmarks after this patch on some Cortex and Neoverse CPU cores:   xyz12le_rgb48le    X1      X3      X4    X925      V2  16x4_neon:       2.55x   4.34x   3.84x   3.31x   3.22x  32x4_neon:       2.39x   3.63x   3.22x   3.35x   3.29x  64x4_neon:       2.37x   3.31x   2.91x   3.33x   3.27x  128x4_neon:      2.34x   3.28x   2.91x   3.35x   3.24x  256x4_neon:      2.30x   3.17x   2.91x   3.32x   3.10x  512x4_neon:      2.26x   3.10x   2.91x   3.30x   3.07x  1024x4_neon:     2.26x   3.07x   2.96x   3.30x   3.05x  1920x4_neon:     2.26x   3.06x   2.93x   3.28x   3.04x   xyz12le_rgb48le   A76     A78    A715    A720    A725  16x4_neon:       2.33x   2.28x   2.53x   3.33x   3.19x  32x4_neon:       2.35x   2.18x   2.45x   3.23x   3.24x  64x4_neon:       2.35x   2.16x   2.42x   3.15x   3.21x  128x4_neon:      2.35x   2.13x   2.39x   3.00x   3.09x  256x4_neon:      2.36x   2.12x   2.35x   2.85x   2.99x  512x4_neon:      2.35x   2.14x   2.35x   2.78x   2.95x  1024x4_neon:     2.31x   2.09x   2.33x   2.80x   2.91x  1920x4_neon:     2.30x   2.07x   2.32x   2.81x   2.94x   xyz12le_rgb48le   A55    A510    A520  16x4_neon:       2.09x   1.92x   2.36x  32x4_neon:       2.05x   1.89x   2.38x  64x4_neon:       2.02x   1.77x   2.35x  128x4_neon:      1.96x   1.74x   2.25x  256x4_neon:      1.90x   1.72x   2.19x  512x4_neon:      1.83x   1.75x   2.16x  1024x4_neon:     1.83x   1.62x   2.15x  1920x4_neon:     1.82x   1.60x   2.15x  Signed-off-by: Arpad Panyik <Arpad.Panyik@arm.com>,https://github.com/FFmpeg/FFmpeg/commit/1f30ff30fb24a14ae39495fae6d0d7728c23b2a3
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,a13871a,Arpad Panyik,2025-11-26T16:36:13Z,"checkasm: Add xyz12Torgb48le test  Add checkasm coverage for the XYZ12LE to RGB48LE path via the ctx->xyz12Torgb48 hook. Integrate the test into the build and runner, exercise a variety of widths/heights, compare against the C reference, and benchmark when width is multiple of 4.  This improves test coverage for the new function pointer in preparation for architecture-specific implementations in subsequent commits.  Signed-off-by: Arpad Panyik <Arpad.Panyik@arm.com>",https://github.com/FFmpeg/FFmpeg/commit/a13871ae195e409ae919c04c5a18aa8d98b6b880
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,ef651b8,Arpad Panyik,2025-11-26T16:35:11Z,"swscale: Refactor XYZ+RGB state and add function hooks  Prepare for xyz12Torgb48 architecture-specific optimizations in subsequent patches by:  - Grouping XYZ+RGB gamma LUTs and 3x3 matrices into SwsColorXform    (ctx->xyz2rgb and ctx->rgb2xyz), replacing scattered fields.  - Dropping the unused last matrix column giving the same or smaller    SwsInternal size.  - Renaming ff_xyz12Torgb48 and ff_rgb48Toxyz12 and routing calls via    the new per-context function pointer (ctx->xyz12Torgb48 and    ctx->rgb48Toxyz12) in graph.c and swscale.c.  - Adding ff_sws_init_xyzdsp and invoking it in swscale init paths    (normal and unscaled).  - Making fill_xyztables public to ease its setup later in checkasm.  These modifications do not introduce any functional changes.  Signed-off-by: Arpad Panyik <Arpad.Panyik@arm.com>",https://github.com/FFmpeg/FFmpeg/commit/ef651b84cee40f059616bfcc954c01a34f647d73
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,9e038fd,Andreas Rheinhardt,2025-12-04T23:40:47Z,swscale/tests/swscale: Fix typo  Reviewed-by: Timo Rothenpieler <timo@rothenpieler.org> Signed-off-by: Andreas Rheinhardt <andreas.rheinhardt@outlook.com>,https://github.com/FFmpeg/FFmpeg/commit/9e038fd9593439cbb13fb8f406d4d44abc75335a
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,52c84b0,James Almer,2025-12-01T14:07:43Z,avfilter/f_sidedata: also handle global side data in filter links  Should fix issue #21071  Signed-off-by: James Almer <jamrial@gmail.com>,https://github.com/FFmpeg/FFmpeg/commit/52c84b06d59d50de6844e75fa06ee50a23fb717a
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,e0845ec,Andreas Rheinhardt,2025-12-04T14:53:27Z,avformat/movenc: Fix leak of IAMFContext on error  Forgotten in 5b87869c09cece1583e74b6f796aa825a4765631.  Signed-off-by: Andreas Rheinhardt <andreas.rheinhardt@outlook.com>,https://github.com/FFmpeg/FFmpeg/commit/e0845ec2cf255dd32effeee4bed9d1c48bb065e1
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,f80addb,Lynne,2025-12-04T15:47:00Z,"ffv1enc_vulkan: fix encoding with large contexts  When RGB_LINECACHE == 2, then top2 is not the current line.",https://github.com/FFmpeg/FFmpeg/commit/f80addbb07f43086e452b943e3a3dfe21dc63d74
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,4b6e40a,Andreas Rheinhardt,2025-11-24T22:13:16Z,"avcodec/vp8dsp: Don't compile unused functions  The width 16 epel functions never use four taps in any direction*, so don't build said functions. Saves 4352B of .text and 89B of .text.unlikely here.  *: mx and my in vp8_mc_luma() are always even.  Reviewed-by: Ronald S. Bultje <rsbultje@gmail.com> Signed-off-by: Andreas Rheinhardt <andreas.rheinhardt@outlook.com>",https://github.com/FFmpeg/FFmpeg/commit/4b6e40a2981d7430914b4e70b66055cf2b96e7ab
