项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,fdf7ebd,sr55,2025-12-03T21:34:26Z,actions: Apparently nsis has been removed from the latest 2025 images of windows on Github.  Pin Windows 2022 for now.,https://github.com/HandBrake/HandBrake/commit/fdf7ebdcbb1a76c8c93e323683a7c99398d92073
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,d5e6ef5,sr55,2025-12-03T21:01:50Z,actions: Make the path setting multi-step,https://github.com/HandBrake/HandBrake/commit/d5e6ef596abfd41b942e03543acb1f1f26bba9b2
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,ae41c6b,sr55,2025-12-03T20:29:48Z,WinGui: Tidy up code warnings.,https://github.com/HandBrake/HandBrake/commit/ae41c6bf60953bd1d39be9dbea47f094f0d1f93c
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,4748370,sr55,2025-12-03T20:29:30Z,actions: Attempt to fix path problems for NSIS a different way.,https://github.com/HandBrake/HandBrake/commit/4748370f98ea5db80afcd52f22e41534da518b4a
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,9bdbd8b,sr55,2025-12-03T19:48:50Z,actions: Resolve NSIS path failure.,https://github.com/HandBrake/HandBrake/commit/9bdbd8b845ccf77e5c973ef5793470c490158731
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,eeab05d,sr55,2025-12-03T18:59:07Z,WinGui: Update Publish Files,https://github.com/HandBrake/HandBrake/commit/eeab05dedd6d20e17462cefb9daf27b49824be95
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,4f0319e,dependabot[bot],2025-12-03T06:34:02Z,build(deps): bump actions/checkout from 5 to 6 (#7457)  Bumps [actions/checkout](https://github.com/actions/checkout) from 5 to 6. - [Release notes](https://github.com/actions/checkout/releases) - [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md) - [Commits](https://github.com/actions/checkout/compare/v5...v6)  --- updated-dependencies: - dependency-name: actions/checkout   dependency-version: '6'   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/HandBrake/HandBrake/commit/4f0319ef68e210aaf70d9c166ecbc3a0e3ac19b0
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,0c5e100,sr55,2025-12-02T22:32:55Z,actions: Setup .NET 10,https://github.com/HandBrake/HandBrake/commit/0c5e100b467206c76dace45a401d03124e2f8866
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,d3c0ec3,sr55,2025-12-02T20:15:15Z,WinGui: Attempted build fix to enable .NET 10 support,https://github.com/HandBrake/HandBrake/commit/d3c0ec3d0ca74d732d0de30c3a01ce4c32a5eedc
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,9a9eed7,sr55,2025-12-02T19:46:35Z,WinGui: Fix invalid file format alerting with * an ? chars. Fixes #7464,https://github.com/HandBrake/HandBrake/commit/9a9eed7fdbf0f19399ebf5b6d5d806b9f5c897cb
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,77ed3d8,sr55,2025-12-02T19:29:19Z,WinGui: Update further references to .NET 8 to .NET 10,https://github.com/HandBrake/HandBrake/commit/77ed3d83b8526e89c43c7c80337d4b30a3833658
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,8b8eb2e,sr55,2025-12-02T19:13:33Z,WinGui: Move to .NET 10. Users will need to install .NET 10 Desktop Runtime going forward.,https://github.com/HandBrake/HandBrake/commit/8b8eb2e372f0b63c6b40264b649a4e6db766333c
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,05fb27c,sr55,2025-12-02T19:01:32Z,Use Windows 2025 for the github action builds,https://github.com/HandBrake/HandBrake/commit/05fb27c2ced217baf64a294ca42832a06dc782fa
