项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,567321b,Dirk Lemstra,2025-12-04T20:52:40Z,Code cleanup.,https://github.com/ImageMagick/ImageMagick/commit/567321b2974d6010a6b2f32e1bd09f037ec4b885
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,ba1fcf9,Dirk Lemstra,2025-12-04T20:43:16Z,Use intermediate variable to silence 32-bit build error on Windows.,https://github.com/ImageMagick/ImageMagick/commit/ba1fcf9d66f2c9f51f404c87f91a3420cac211c3
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,245b84f,Dirk Lemstra,2025-12-03T16:01:08Z,Added define to make sure we don't always write a jpeg in a high bit depth (#8445),https://github.com/ImageMagick/ImageMagick/commit/245b84f88b802eb362b1c4dfef791b4308edd9dd
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,351bbc8,Dirk Lemstra,2025-12-02T21:56:23Z,Use HeapOverflowSanityCheckGetSize to make it more clear what is happening.,https://github.com/ImageMagick/ImageMagick/commit/351bbc8330269b56e0024772f814b61c66675590
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,bdae068,Dirk Lemstra,2025-12-02T21:49:12Z,Added extra check to avoid an overflow on 32-bit machines (GHSA-6hjr-v6g4-3fm8),https://github.com/ImageMagick/ImageMagick/commit/bdae0681ad1e572defe62df85834218f01e6d670
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,f83765c,Dirk Lemstra,2025-12-02T20:51:27Z,Added extra check to make sure don't read after an empty string.,https://github.com/ImageMagick/ImageMagick/commit/f83765c6e4f1ebfb38fa3b4c4c062a166f270cbc
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,cfbeef4,Cristy,2025-11-30T17:17:40Z,beta release,https://github.com/ImageMagick/ImageMagick/commit/cfbeef49f293108f469f82d6f50e17ab84be1083
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,a90c050,Cristy,2025-11-30T13:25:17Z,release,https://github.com/ImageMagick/ImageMagick/commit/a90c0505dcb65c8caff3c545be10afea6028ec8f
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,5cff2fc,Dirk Lemstra,2025-11-28T20:49:08Z,Updated the Windows dependencies.,https://github.com/ImageMagick/ImageMagick/commit/5cff2fc4fbbbe4d2fa12728d2f29eed36ef3e183
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,061b7b2,Dirk Lemstra,2025-11-28T11:50:46Z,Disabling a module will now also disable all the coders in that module.,https://github.com/ImageMagick/ImageMagick/commit/061b7b28d807d9295ddf2bf12b2eaa63f53a015c
