项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,a5bfb10,Maneet Singh,2025-12-02T23:32:25Z,590.44.01,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/a5bfb10e75a4046c5d991c65f49b5d29151e68cf
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,2af9f1f,Maneet Singh,2025-11-04T20:45:59Z,580.105.08,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/2af9f1f0f7de4988432d4ae875b5858ffdb09cc2
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,2b43605,Maneet Singh,2025-09-30T19:52:14Z,580.95.05,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/2b436058a616676ec888ef3814d1db6b2220f2eb
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,87c0b12,Maneet Singh,2025-09-09T23:15:34Z,580.82.09,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/87c0b1247370e42bd22bb487a683ec513a177b3b
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,6387af3,Maneet Singh,2025-09-02T17:35:52Z,580.82.07,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/6387af3092a0da1a8e67d9d04b3463480756fc84
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,288f16e,Maneet Singh,2025-08-12T19:13:43Z,580.76.05,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/288f16e61492d0dcdbb538a812f095d86c5bfb3e
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,307159f,Maneet Singh,2025-08-04T18:15:02Z,580.65.06,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/307159f2623d3bf45feb9177bd2da52ffbc5ddf9
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,d890313,Bernhard Stoeckner,2025-07-22T19:09:46Z,575.64.05,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/d89031330084ad34dbfe15997454a4bb1674e0b1
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,1893c6c,Bernhard Stoeckner,2025-07-01T17:29:04Z,575.64.03,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/1893c6c8fd17c79d17706d8382af09d360b5b703
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,fade1f7,Maneet Singh,2025-06-17T02:28:19Z,575.64,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/fade1f7b2056a637ea3b7d6d4e78cc680cf358dc
