项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,eb30f88,Samy Pessé,2015-10-29T19:04:29Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/eb30f8802fac9f0f1c28d3a96bb3d402bdfc4687
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,db02f5e,Samy Pessé,2015-10-29T19:03:16Z,Merge pull request #101 from fisty256/patch-1  Fixed some typos,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/db02f5e18ca0e4ac1801b96dfb96bc093bb9107d
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,b0093e6,Samy Pessé,2015-10-29T19:03:03Z,Merge pull request #102 from scoops/master  Fixed some wording.,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/b0093e6f24c89a685243fea3478437d12ec9e261
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,11f048e,Ryan,2015-10-26T22:48:43Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/11f048e711510105c33e6f75f80ac9c264e629ae
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,d1a251b,Ryan,2015-10-26T22:42:32Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/d1a251b57ba029756c84b878445be3061934377e
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,6a9e130,fisty256,2015-10-19T15:23:28Z,Fixed some typos,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/6a9e13014873e2ffe996388630061146c6c0c441
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,d14cd73,Samy Pessé,2015-09-03T18:24:46Z,Merge pull request #94 from peterkshultz/master  Correct language of README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/d14cd7368136687e94ad0e1b9d49c383d6bc864b
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,6de975f,Peter K. Shultz,2015-09-03T18:15:17Z,Update README.md  Correct English.,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/6de975f85bbfc4ce31a5f3464d900d97bdee7b13
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,3bc191f,Samy Pessé,2015-05-02T16:20:47Z,Merge chapter/process into 00960790d772cd76b380ef88039f7092d9f992a5,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/3bc191f8d310b4ae65fcb0b6a82d4953dba5e590
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,1b96237,Samy Pessé,2015-05-02T12:16:44Z,Update SUMMARY.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/1b96237dcb125711522d17111abf0cc3e9aa8199
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,933df00,Samy Pessé,2015-05-02T12:14:55Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/933df00eb505049d408bc0a964751ebd1e6b6ce0
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,f1aed4b,Samy Pessé,2015-05-02T12:13:35Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/f1aed4b68680b658ad2c31c7744f05509942d730
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,dc2ec7d,Samy Pessé,2015-05-02T12:12:57Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/dc2ec7d5c720148483a1313c778f8686b533c08f
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,cbb9a63,Samy Pessé,2015-05-02T12:11:41Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/cbb9a6302d8a69b20ec7fd119a5a2e1d8cb662d1
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,38f2252,Samy Pessé,2015-05-02T12:11:32Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/38f22526f0442aa4973b90ff59910d6110293c22
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,8188904,Samy Pessé,2015-05-02T12:07:30Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/818890434ea18fef6debe648a938f5663b4305d3
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,4b3f095,Samy Pessé,2015-05-02T12:07:20Z,Create virtualmemory.png,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/4b3f0957e66534c4a0839f85dcee1d821b787571
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,39f1d5e,Samy Pessé,2015-05-02T11:57:02Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/39f1d5ec1ae8a9b6c6231d9e956b1208d6c7d597
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,0800d91,Samy Pessé,2015-05-02T11:55:49Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/0800d91f2af2266f81c7e2242b0d146c23058d96
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,1f17165,Samy Pessé,2015-05-02T11:55:38Z,Create physicalmemory.png,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/1f1716514515dfb289bc8579fe61791c378880ed
