项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,b98f159,Stefan,2022-12-18T17:34:45Z,New readme,https://github.com/SpacehuhnTech/esp8266_deauther/commit/b98f1598115b9400d320f7ffdf08fbc78f01607f
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,02d5ad0,Temm,2022-04-18T10:24:46Z,Fix setChannel range check (#1495),https://github.com/SpacehuhnTech/esp8266_deauther/commit/02d5ad0d2a914ae30079119d041a575ade8bcd0f
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,7d6f22c,azzar,2022-04-18T10:23:52Z,Update DisplayUI.cpp (#1540)  replace wrong comments,https://github.com/SpacehuhnTech/esp8266_deauther/commit/7d6f22c4e652986c42b87c42f9ebe23000b6ba17
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,da75a4f,Stefan Kremser,2022-04-09T20:25:32Z,Update FUNDING.yml,https://github.com/SpacehuhnTech/esp8266_deauther/commit/da75a4f9544ef8c3010e4026897bb86fc2f41c79
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,a1f467e,Stefan Kremser,2021-12-12T20:00:03Z,Update stale.yml,https://github.com/SpacehuhnTech/esp8266_deauther/commit/a1f467ed6e9266d5972158effc303d2022a32c7a
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,bbe1b24,Devin Norgarb,2021-08-21T11:46:31Z,Update README.md (#1420)  small grammatical + spelling  typo Readme,https://github.com/SpacehuhnTech/esp8266_deauther/commit/bbe1b24e304853b1292a6eaa84a83a1b84ac0998
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,8dd2a58,Erdinc,2021-08-21T11:46:01Z,version updated to 2.6.1 on web interface (#1468),https://github.com/SpacehuhnTech/esp8266_deauther/commit/8dd2a58ba262f22e1cf3833d8ec9a3e1fb9e790c
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,7f7d215,Spacehuhn,2021-08-07T14:09:08Z,Update compile script,https://github.com/SpacehuhnTech/esp8266_deauther/commit/7f7d215305b6a0fcd4f92c63d0804fc7d4cd54e9
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,684e47f,Spacehuhn,2021-08-07T14:08:56Z,Added Hackheld Vega bin,https://github.com/SpacehuhnTech/esp8266_deauther/commit/684e47f7d5a90cdcc6879a99b6fd63da44b5a595
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,f984e89,Spacehuhn,2021-08-07T13:24:55Z,Upped version to 2.6.1,https://github.com/SpacehuhnTech/esp8266_deauther/commit/f984e897a0f04f716dc73fee4e5b2c275c9f10f2
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,7a57418,Spacehuhn,2021-08-07T13:11:57Z,Made Neopixel run on 800 Khz,https://github.com/SpacehuhnTech/esp8266_deauther/commit/7a574188c75ac58a64aaf8dc471860a0815dbb1b
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,1ed2f12,Spacehuhn,2021-08-07T13:11:45Z,Added Hackheld Vega config,https://github.com/SpacehuhnTech/esp8266_deauther/commit/1ed2f127fd0b6311b9a189ec65402fcf8a211f5f
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,397ec9f,Spacehuhn,2021-02-17T17:16:42Z,Change beacon interval to 100ms,https://github.com/SpacehuhnTech/esp8266_deauther/commit/397ec9fc70765cee383bac31e796b63904f0e952
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,f3432d2,Spacehuhn,2021-02-17T17:16:42Z,Change beacon interval to 100ms,https://github.com/SpacehuhnTech/esp8266_deauther/commit/f3432d20fb5bce0a88104ccf9c6d0471e45f3073
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,27b921e,Spacehuhn,2021-02-03T18:52:44Z,Removed redundant DEFAULT_SSID,https://github.com/SpacehuhnTech/esp8266_deauther/commit/27b921e44f7349fd4a6c58db0fc85dad32a21650
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,bbafd9f,Spacehuhn,2021-02-01T20:50:24Z,Fixed msg not defined error,https://github.com/SpacehuhnTech/esp8266_deauther/commit/bbafd9fdf2b03602b1bfb8b0fd62ccbbd896f227
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,60be948,Spacehuhn,2021-01-31T12:09:56Z,"Web interface ""loading..."" banner",https://github.com/SpacehuhnTech/esp8266_deauther/commit/60be948cc004169b8329b1166d08a09d51f6493a
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,8b99fcb,Spacehuhn,2021-01-29T16:50:50Z,Compiled web files,https://github.com/SpacehuhnTech/esp8266_deauther/commit/8b99fcbb33ad5d9215014e317e0b8b2d23be2229
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,84f2f83,Spacehuhn,2021-01-29T16:49:13Z,Info on clicking WiFi Off  Informs the user that they can reconnect after restarting,https://github.com/SpacehuhnTech/esp8266_deauther/commit/84f2f83f13c498d75605859a0f7a0539ee25db8d
