项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,754ff6f,ValdikSS,2025-09-30T23:32:42Z,Add ByeByeDPI. Closes #823,https://github.com/ValdikSS/GoodbyeDPI/commit/754ff6ff06b1fa72f3ac09be80549417253df8fb
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,3114036,Ozkan,2025-09-04T21:28:25Z,Update goodbyedpi.c,https://github.com/ValdikSS/GoodbyeDPI/commit/3114036d096865fba19e8b379d5fb8216423d21c
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,ae73980,EgorWeders,2024-10-16T05:34:19Z,Adds a clearer description  The main readme shows only the most recently committed features. But it will be more useful for the user to know the functionality of the version he has.,https://github.com/ValdikSS/GoodbyeDPI/commit/ae7398035ac7723a9e3570cc58e93003c05e159d
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,ee009cf,Artem,2024-10-13T11:13:09Z,"Update README.md, fix a typo (QUIC -> QUIK as trading software, not protocol)",https://github.com/ValdikSS/GoodbyeDPI/commit/ee009cf107e0e6be885c509be8dde971362feaa9
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,810aef6,RknMustDie512,2024-09-25T18:56:10Z,Add TLS ClientHello fake packet generator,https://github.com/ValdikSS/GoodbyeDPI/commit/810aef6aedf2f14f25e5726736c0baa635c18eb0
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,c0f43a2,ValdikSS,2024-10-05T15:48:31Z,Update README.md. Close #677,https://github.com/ValdikSS/GoodbyeDPI/commit/c0f43a293e23f969dcd991c765abc250ac410bf6
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,03cb084,EgorWeders,2024-10-04T07:16:40Z,Fixed typo,https://github.com/ValdikSS/GoodbyeDPI/commit/03cb084f10fb65991335105656aa34f6d59ba5af
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,abd2e77,ValdikSS,2024-09-23T18:31:04Z,Update bug.yml,https://github.com/ValdikSS/GoodbyeDPI/commit/abd2e77ca43e01702dec8260dbccb481f0e21771
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,d2265d3,ValdikSS,2024-09-23T18:29:59Z,Update bug.yml,https://github.com/ValdikSS/GoodbyeDPI/commit/d2265d3167640a94be8c198d62102607487a65a1
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,4fbfeb8,ValdikSS,2024-09-20T23:13:25Z,Update README.md,https://github.com/ValdikSS/GoodbyeDPI/commit/4fbfeb89562163b7495516fd707c9fd87336cec9
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,207a2f7,LiviaMedeiros,2024-09-20T11:42:49Z,add `.gitignore`,https://github.com/ValdikSS/GoodbyeDPI/commit/207a2f7004d293e7aa9207ac6a7769cba62c8d0a
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,311b26e,Ikko Eltociear Ashimine,2024-09-18T18:11:03Z,docs: update README.md (#634)  incompabitle -> incompatible,https://github.com/ValdikSS/GoodbyeDPI/commit/311b26e7440c2317592a64ee4dbfd955511dcb9f
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,e344f57,ValdikSS,2024-09-18T18:09:41Z,Update github issue template,https://github.com/ValdikSS/GoodbyeDPI/commit/e344f5711cabad4591f8d3c36b0f12ff466408f8
