项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,507907a,Mike Beaton,2025-11-19T16:32:15Z,Docs: Fix sync changelog formatting,https://github.com/acidanthera/OpenCorePkg/commit/507907a2dbebea24cf22f5dfaf0509d4097545fe
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,6b75efa,Mike Beaton,2025-11-19T16:30:38Z,Docs: Sync changelog,https://github.com/acidanthera/OpenCorePkg/commit/6b75efa3945e0dad39b43570f7ef470e1f3ef783
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,000227e,laobamac,2025-11-19T16:27:24Z,Improve XhciPortLimit compatibility with macOS Tahoe (#590),https://github.com/acidanthera/OpenCorePkg/commit/000227e411b3ffa1508ac50c42f081711cbccae7
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,d31ab22,Mike Beaton,2025-11-17T00:13:27Z,Apfs.h: Fix illegal unicode character ʼ (U+02BC) in Doxygen comment,https://github.com/acidanthera/OpenCorePkg/commit/d31ab222aea1fd437fd70786069e1c06a40404b9
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,5650463,vit9696,2025-11-12T10:25:19Z,Library/OcBootManagementLib: Fix potential NULL dereference,https://github.com/acidanthera/OpenCorePkg/commit/565046300f49e58a42daf86b422079d82c811738
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,c3e0d33,Andrey1970,2025-11-06T16:24:42Z,Bump version,https://github.com/acidanthera/OpenCorePkg/commit/c3e0d33374321421c94600bd4ed063e6a94396ac
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,64e3b58,Vitaly Cheptsov,2025-11-02T14:46:18Z,Docs: Sync changelog,https://github.com/acidanthera/OpenCorePkg/commit/64e3b5811ee17804cc04236618dc968ca57378a6
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,12a378c,Pavel Naberezhnev,2025-11-02T14:45:38Z,"OpenNtfsDxe: Fixed several issues in the NTFS driver (#588)  * Incorrect EFI_FILE_PROTOCOL version  The driver implements EFI_FILE_PROTOCOL_REVISION version, not EFI_FILE_PROTOCOL_REVISION2 version.  * Fix directory reading logic by implementing EFI_FILE_INFO cache  Problem:  According to the UEFI specification, reading from a directory must  return zero Size for the EFI_FILE_INFO structure when directory  entries are exhausted. The original FileReadDir() implementation  always returned a fixed EFI_FILE_INFO size before reporting  end-of-directory. This caused fuzzing tests to enter an infinite  directory iteration loop due to unexpected behavior.  Solution:  Introduced an EFI_FILE_INFO cache with the following logic:  1. FileReadDir() caches EFI_FILE_INFO on first read. The cache key     combines directory path hash (with FNV-1a 64-bit hashing) and     DirIndex value  2. When the key matches and buffer size is sufficient:     - Data is returned from cache     - Cache is cleared  3. When the key matches with insufficent buffer size:     - Cache is preserved for subsequent retries  4. Key mismatch triggers cache reset  Additional benefits:  - Eliminates fixed MINIMUM_INFO_LENGTH requirement  - FileReadDir() now requests only required buffer size  Note:  A more elegant solution is being considered for future NTFS  driver improvements, requiring further analysis and testing.  Links:  FNV Hash: http://www.isthe.com/chongo/tech/comp/fnv/index.html  * Fix memory leak in FileReadDir() function  Function NtfsOppen() allocates additional memory for file structure. After use it, need to free by call FreeFile() function.  * Fixed invalid pointer access in ReadAttr() function  Solution:  - Added a null check for the Current field in ReadAttr() function  - Added validation for MFT record flags in the InitFile() function  Signed-off-by: Pavel Naberezhnev <pavelnaberezhnev@gmail.com>",https://github.com/acidanthera/OpenCorePkg/commit/12a378c678f043ffb4f9f90500fc15fc895070cd
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,4d84d0f,Mike Beaton,2025-10-24T11:18:46Z,Docs: Sync changelog,https://github.com/acidanthera/OpenCorePkg/commit/4d84d0f9f682587d343bf26d34abb432cae2d48a
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,92338e4,Mike Beaton,2025-10-12T10:07:52Z,Docs: Sync errata,https://github.com/acidanthera/OpenCorePkg/commit/92338e4236a5b584198a7c59aa9bca0c3e9cfc64
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,0cc8c81,Vitaly Cheptsov,2025-10-09T23:24:18Z,Docs: Sync changelog,https://github.com/acidanthera/OpenCorePkg/commit/0cc8c81fcc1cda3630fa3a78bfd6f799adeeea59
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,1bf9d8f,Mike Beaton,2025-10-09T23:22:20Z,Utilities: Avoid multiple builds of the same object files with the same flags on full build (#584),https://github.com/acidanthera/OpenCorePkg/commit/1bf9d8f085bdc41e768ffd962549426bfff976cd
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,ec2713a,Mike Beaton,2025-10-09T23:15:30Z,"OpenDuet: Fix handoff of ACPI v1.0 (#585)  This is long-standing bug, going back to the transition from EFI to UEFI (tianore/edk to tianocore/edk2).  The default ACPI level was changed from 1.0 to 2.0, but this code in Duet was not changed to match.  Signed-off-by: Mike Beaton <mjsbeaton@gmail.com>",https://github.com/acidanthera/OpenCorePkg/commit/ec2713af48a0538a4a56e4e304d699b847d78194
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,6e20078,Vitaly Cheptsov,2025-10-08T11:17:22Z,OcAcpiLib: Use more accurate revision checking  Thanks @mhaeuser,https://github.com/acidanthera/OpenCorePkg/commit/6e20078ec5875249a8ad66c5c3dad78930b801dc
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,aa3c8bb,Mike Beaton,2025-10-05T09:52:09Z,Tools: Minor fix grammar in error message,https://github.com/acidanthera/OpenCorePkg/commit/aa3c8bb3635a0845afb64b819b8df70a5e7a2602
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,7897c1e,Pavel Naberezhnev,2025-10-01T07:48:41Z,Updated minimal EFI Event support in userspace (#577),https://github.com/acidanthera/OpenCorePkg/commit/7897c1e0392af6fde5114d0ecfa09900902c5280
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,849b04f,Mike Beaton,2025-09-22T09:25:04Z,"Patches: Allow DEBUG OpenShell to start with too many file systems under Mac EFI (#582)  Early Mac EFI returns EFI_INVALID_PARAMETER if storage for any single NVRAM variable exceeds a certain size (leaves 2006 bytes for the value, if the variable has a 4 character name). Since all of fsXX:\efi\tools\, fsXX:\efi\boot\ and fsXX:\ are added to a CHAR16 shell `path` variable for each file system found, the variable exceeds this limit when there are greater than 25 file systems.  In the RELEASE shell this causes the `path` variable to get set to a strange value. Unfortunately in the DEBUG shell it causes an ASSERT and the shell does not start.  With this patch the DEBUG shell behaves like RELEASE shell: due to the implementation of ShellProtocol SetEnv, when there is an error the variable gets deleted and not recreated, thus the final path variable only contains paths for file systems after the one which caused the error. While this patch is not an ideal fix for the underlying problem, it does simply recreate the longstanding behaviour of the RELEASE shell on the same systems, and is preferable to the DEBUG shell being unusable.  Addresses https://github.com/acidanthera/bugtracker/issues/2005",https://github.com/acidanthera/OpenCorePkg/commit/849b04fdf42f5418f3fe4d4a46b0e297d3525d11
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,219e6e2,vit9696,2025-09-21T22:18:00Z,Utilities/macrecovery: fix commands and build-image issues with 15+  Thanks Andrey1970!,https://github.com/acidanthera/OpenCorePkg/commit/219e6e2fe9e56c803d3d8b32624f807e60f61e3a
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,d9d7733,Pavel Naberezhnev,2025-07-25T14:05:06Z,Added demonstration test of working DummyEvents  Signed-off-by: Pavel Naberezhnev <pavelnaberezhnev@gmail.com>,https://github.com/acidanthera/OpenCorePkg/commit/d9d77331ea0683638813d3eef3f7b4c2ad7ac223
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,0d19bcd,Pavel Naberezhnev,2025-07-25T13:24:09Z,Added UserEvent functions into UEFI in userspace  Signed-off-by: Pavel Naberezhnev <pavelnaberezhnev@gmail.com>,https://github.com/acidanthera/OpenCorePkg/commit/0d19bcd7b3eccf5b6f6be0918b8dce77efc22981
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,e1d7b9b,Pavel Naberezhnev,2025-07-25T13:03:19Z,Added minimal UEFI Event subsystem support into userspace  This feature adds support for UEFI Event in userspace. The following has been implemented:   - The number of events if fixed   - Event dispatching occurs through an explicit call to     the dispatcher from UEFI Event functions   - Event groups are not supported  Signed-off-by: Pavel Naberezhnev <pavelnaberezhnev@gmail.com>,https://github.com/acidanthera/OpenCorePkg/commit/e1d7b9b4185e15f915d95ca335f5f2e9f7c7ce2b
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,1ecaca3,vit9696,2025-09-11T09:13:01Z,OcCompressionLib/zlib: Fix build issues,https://github.com/acidanthera/OpenCorePkg/commit/1ecaca3c7c4d46cd21d05d096379fd53ebb1d954
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,5a996a4,vit9696,2025-09-11T08:57:33Z,Utilities/macrecovery: Add option to customise build-image image format,https://github.com/acidanthera/OpenCorePkg/commit/5a996a4436d44180b813ed8311521eec88eff4ec
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,d76d599,vit9696,2025-09-11T08:56:33Z,OcAppleUserInterfaceThemeLib: Added `background-color` NVRAM variable  This allows to have grey OpenCanopy background colour and grey 10.9 EfiBoot boot screen,https://github.com/acidanthera/OpenCorePkg/commit/d76d5997739fb51153f2b5b4efe0550daac4ab30
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,d762689,vit9696,2025-08-21T20:02:45Z,Docs: Fix some typos,https://github.com/acidanthera/OpenCorePkg/commit/d762689b98835b089f53bdeea197f22318bf210c
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,9c0dbdd,vit9696,2025-08-21T19:29:04Z,Docs: Add sample ACPI patch demonstrating table-specific replacement  Newly added example demonstrates patching RTC device supporting 2 I/O ports which are reported as 8 I/O ports in ACPI. The patch fixes PowerManagement crashes in e.g. 10.6 and newer in OVMF.,https://github.com/acidanthera/OpenCorePkg/commit/9c0dbdd4b24dde78d072268a2fc2610c9aef9ccf
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,79ea932,vit9696,2025-08-16T21:02:54Z,Docs: Update documentation for 10.4 and 10.5,https://github.com/acidanthera/OpenCorePkg/commit/79ea932f19509df9ebde7c5612b8919a57695897
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,6884871,Andrey1970,2025-08-11T10:28:04Z,DataBase: Updated MaximumOSVersion,https://github.com/acidanthera/OpenCorePkg/commit/6884871ef8dd7d4b4068b68919f4c450fc6b1a3b
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,9afdb67,vit9696,2025-08-11T00:33:15Z,Docs: Explain why RebuildAppleMemoryMap is necessary before 10.7,https://github.com/acidanthera/OpenCorePkg/commit/9afdb676d3e5107de2dcb85a13d411f6265c87d7
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,86db43e,Vitaly Cheptsov,2025-08-10T08:07:37Z,Docs: Sync Changelog,https://github.com/acidanthera/OpenCorePkg/commit/86db43e07ee12c1bb9ebb8f192d874ffaac7905b
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,1f6d95a,Alex James,2025-08-10T08:04:14Z,"OcConsoleLib: Normalize console font path (#579)  OcLoadConsoleFont currently loads the specified console path from Resources\Font\\, which can cause vault failures if vault.plist doesn't include the duplicate path separator. Remove it to match other paths.",https://github.com/acidanthera/OpenCorePkg/commit/1f6d95aedf1fb5a45fc1876931495b260a0f72c5
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,835137c,vit9696,2025-08-09T16:27:09Z,Utilities: Workaround shellcheck false positive,https://github.com/acidanthera/OpenCorePkg/commit/835137c13d3cf00db1cc4baf4e304ff84f702b17
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,7f8c15a,vit9696,2025-08-09T15:28:17Z,"Docs: Add AppleIntel8254XEthernet sample patch for macOS 10.4 in QEMU  Prior to macOS 10.5 the logic used to interpret PHY status was wrong. AppleIntel8254XEthernet checks PHY Specific Status register for bit 3 (Transmit Pause Enabled) presence instead of bit 10 (Link).  This patch forces PHY Specific Status register 0xac08, which means always up.",https://github.com/acidanthera/OpenCorePkg/commit/7f8c15afb1fd295fcdd57f46397ee98a4a20f665
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,d1ebfea,vit9696,2025-08-06T22:30:18Z,OcAfterBootCompatLib: Add some more debugging & info on Booter quirks,https://github.com/acidanthera/OpenCorePkg/commit/d1ebfea1004abffa1decfad639179a6b5c5e1561
acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,2bc8285,vit9696,2025-08-06T22:29:30Z,Git: Improve LegacyBoot ignore files,https://github.com/acidanthera/OpenCorePkg/commit/2bc82850d1f7106e1825524b3f63c868cc4bc096
