项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
alibaba/tengine,https://github.com/alibaba/tengine,c722791,Bobo,2025-06-12T03:02:31Z,fix http3 ssl_handshake_time variable (#2001),https://github.com/alibaba/tengine/commit/c722791057217f14e8499899f714426ad1952e30
alibaba/tengine,https://github.com/alibaba/tengine,096978c,Bobo,2025-06-10T10:40:55Z,Set pip size function only on linux (#1994)  * Set pip size function only on linux  * update testcase docker image version  * update testcase docker image to ubuntu 22.04  * update testcase docker image to ubuntu 24.04  * fix depend lib  * fix depend lib  * fix testcase  * use one thread complie luajit2  * testcase: change arm image  * testcase: change arm image  * testcae: change arm image  * testcase: change arm image  * testcase: change arm image,https://github.com/alibaba/tengine/commit/096978c6bfce8df18a81dc0f8276bdd95e1ec1c1
alibaba/tengine,https://github.com/alibaba/tengine,5f8c760,Liang,2024-11-14T12:14:01Z,Merge pull request #1965 from drawing/master  add change pipe size command,https://github.com/alibaba/tengine/commit/5f8c7605b899f59a47c270616aafe64ddc58cafe
alibaba/tengine,https://github.com/alibaba/tengine,be719ad,Bobo,2024-11-07T02:51:12Z,Merge branch 'alibaba:master' into master,https://github.com/alibaba/tengine/commit/be719ad8bd0e6d4ef716f0600cc67a9185cffbb0
alibaba/tengine,https://github.com/alibaba/tengine,79eb01f,Liang,2024-11-07T02:50:23Z,Merge pull request #1966 from drawing/fix_nameserver_testcase  fix nameserver testcase,https://github.com/alibaba/tengine/commit/79eb01f9cd728539d1852ae1c1b40449691b2679
alibaba/tengine,https://github.com/alibaba/tengine,57580e8,drawing,2024-11-06T07:38:46Z,fix nameserver testcase,https://github.com/alibaba/tengine/commit/57580e8857f1594fb194c3271eba53f1314fd3ac
alibaba/tengine,https://github.com/alibaba/tengine,583ceb1,drawing,2024-10-28T09:20:24Z,add change pipe size command,https://github.com/alibaba/tengine/commit/583ceb1580a64fd6fd945c4aa72f104f88e0b966
alibaba/tengine,https://github.com/alibaba/tengine,04baff4,Liang,2023-11-29T11:27:01Z,Merge pull request #1898 from lianglli/master  CI: checkout lua-resty-core 0.1.27 for tengine with ngx_http_lua_module 0.10.25,https://github.com/alibaba/tengine/commit/04baff4645f078331e004f2bc3ec20cf20cfbfcb
alibaba/tengine,https://github.com/alibaba/tengine,a790ce0,lianglli,2023-11-29T11:06:28Z,CI: checkout lua-resty-core v0.1.27 for tengine 3.x with ngx_http_lua_module v0.10.25,https://github.com/alibaba/tengine/commit/a790ce0bb0b098a2b5cbc98adfd5f04f6ae32ffa
alibaba/tengine,https://github.com/alibaba/tengine,12a0cd0,Liang,2023-11-28T05:46:48Z,Merge pull request #1892 from drawing/master  set socket buffer when proxy request,https://github.com/alibaba/tengine/commit/12a0cd04b159c663ca9eb9900f0fdca8895702f6
alibaba/tengine,https://github.com/alibaba/tengine,8a7529d,纪卓志,2023-11-23T06:35:48Z,iwrr: a wrr with always O(1) time and O(n) memory (#1729),https://github.com/alibaba/tengine/commit/8a7529d074d8d74b02e48460b428bffcabad8a57
alibaba/tengine,https://github.com/alibaba/tengine,4e43d0f,drawing,2023-11-13T09:41:20Z,add proxy_sndbuf_size and proxy_rcvbuf_size,https://github.com/alibaba/tengine/commit/4e43d0f8515d582ce7a91cb6d175c26fb19d94cb
alibaba/tengine,https://github.com/alibaba/tengine,cd2b982,Bobo,2023-11-09T13:49:20Z,"add request_start_time variable (#1867)  * add request_start_time variable  * request_start_time: format alignment  * request_start_time: add testcase",https://github.com/alibaba/tengine/commit/cd2b982068a3d2b00c0956f6501088e2ac8b3fb4
alibaba/tengine,https://github.com/alibaba/tengine,4db15bd,Bobo,2023-11-09T12:48:24Z,Merge pull request #1888 from lurker-Chen/xquic_fix  default use bbr as cc instead of cubic,https://github.com/alibaba/tengine/commit/4db15bd07fa57f10800db3280eee353f143114a7
alibaba/tengine,https://github.com/alibaba/tengine,926c27e,静笃,2023-11-09T12:38:22Z,default use bbr as cc instead of cubic,https://github.com/alibaba/tengine/commit/926c27e0755fc520155510a8196fc2f5ab26840c
alibaba/tengine,https://github.com/alibaba/tengine,e5a2a78,Bobo,2023-11-09T12:37:56Z,Merge pull request #1887 from lurker-Chen/xquic_fix  fix close request after upstream finished,https://github.com/alibaba/tengine/commit/e5a2a78d334b018fdbe315f0ca699c0757c2c375
