项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
allinurl/goaccess,https://github.com/allinurl/goaccess,4ab37d5,Josh Briggs,2025-10-26T00:30:13Z,Update src/parser.c  Co-authored-by: Gerardo O. <goaccess@prosoftcorp.com>,https://github.com/allinurl/goaccess/commit/4ab37d5360f9796be0a0491bc5644f48fdee3ff2
allinurl/goaccess,https://github.com/allinurl/goaccess,4f88783,Josh Briggs,2025-10-25T06:25:26Z,Add vhost to request string,https://github.com/allinurl/goaccess/commit/4f8878370181cbdbd7e772464671a0901004cab5
allinurl/goaccess,https://github.com/allinurl/goaccess,6814e55,Gerardo O,2025-09-16T23:00:30Z,Expanded browser list to support a broader range of user agents.,https://github.com/allinurl/goaccess/commit/6814e55b6b3c74c05054e508948d5208c2ca374b
allinurl/goaccess,https://github.com/allinurl/goaccess,2be91f1,Gerardo O,2025-09-15T22:26:52Z,Update version mapping to recognize macOS 26.0 (Tahoe).,https://github.com/allinurl/goaccess/commit/2be91f18ecaac8078f82f8148e753b7b00bb11f9
allinurl/goaccess,https://github.com/allinurl/goaccess,39c4974,Anders Johansson,2025-09-05T08:43:21Z,Update msgid for bandwidth limit exceeded error  Fix in swedish update,https://github.com/allinurl/goaccess/commit/39c4974c51061bc1c232cfc2763d1c0fbe7f6aeb
allinurl/goaccess,https://github.com/allinurl/goaccess,6c19576,Anders Johansson,2025-08-18T16:11:12Z,Update sv.po  Swedish translation updated,https://github.com/allinurl/goaccess/commit/6c19576c21510e5f4379b1a084c9666b308f4f2e
allinurl/goaccess,https://github.com/allinurl/goaccess,adc5320,Gerardo O,2025-08-19T12:05:18Z,Dropped Debian Buster from the build due to end of support.,https://github.com/allinurl/goaccess/commit/adc53206ff99dba698183dbb2bdd8f72d03cf460
allinurl/goaccess,https://github.com/allinurl/goaccess,74814b6,Gerardo O,2025-08-19T12:00:28Z,Removed debian trixie i386 from build as i386 is no longer supported.,https://github.com/allinurl/goaccess/commit/74814b6f25bc28151ceacab48b948ca0dd61a287
allinurl/goaccess,https://github.com/allinurl/goaccess,4f4e9fe,Gerardo O,2025-08-19T03:32:26Z,Added debian trixie to the build.,https://github.com/allinurl/goaccess/commit/4f4e9fe317f2bd441f92a400986b9cb356231073
allinurl/goaccess,https://github.com/allinurl/goaccess,b6bb739,Linus Gasser,2025-08-12T09:06:07Z,Fix path to config files  Replaced 'config/' with 'configs/' in docker-compose files.,https://github.com/allinurl/goaccess/commit/b6bb7398b0a9dcb7e7b937d097bacea730642eb9
allinurl/goaccess,https://github.com/allinurl/goaccess,756496b,Koichiro Iwao,2025-08-04T08:16:46Z,Add Alibaba Cloud Linux  See: https://www.alibabacloud.com/en/product/alibaba-cloud-linux-2  Here is an example of the user-agent:     libdnf (Alibaba Cloud Linux 3; generic; Linux.x86_64),https://github.com/allinurl/goaccess/commit/756496b0325938de9681db7f2dc982585cd7f9e6
allinurl/goaccess,https://github.com/allinurl/goaccess,19e4fa9,Gerardo O,2025-07-23T11:51:20Z,Fixed log format sniffing and processing with multiple threads.  - Improved log format sniffing to handle multiple threads correctly - Process valid log lines immediately during sniffing phase when dry_run=0,https://github.com/allinurl/goaccess/commit/19e4fa98e5c14f8c6786f1e1d9d5662a316b2b0c
allinurl/goaccess,https://github.com/allinurl/goaccess,023a50f,Gerardo O,2025-07-01T23:38:52Z,Fixed typo on browsers.c (Crawlers).,https://github.com/allinurl/goaccess/commit/023a50f467bbaa5a9d446915fc24b5f1c2f18ce8
allinurl/goaccess,https://github.com/allinurl/goaccess,a6d032a,lhywk,2025-06-28T08:04:11Z,Fix NULL pointer dereference in ws_start(),https://github.com/allinurl/goaccess/commit/a6d032af3975ec4749927f254c3fad39b711d363
allinurl/goaccess,https://github.com/allinurl/goaccess,f977876,Gerardo O,2025-06-24T15:05:02Z,Revert back to dynamic linking (see previous commits).,https://github.com/allinurl/goaccess/commit/f977876fcf3bcf6b3809b4a8bd55b2a818a16586
allinurl/goaccess,https://github.com/allinurl/goaccess,83f4de4,Gerardo O,2025-06-24T14:46:38Z,Remove non-root user to restore file permission compatibility.,https://github.com/allinurl/goaccess/commit/83f4de4d680034b0eb5a88ee96fff6d9c323be7f
allinurl/goaccess,https://github.com/allinurl/goaccess,bd025c7,Gerardo O,2025-06-24T14:40:21Z,"Implement partial static linking for GoAccess, keeping OpenSSL dynamic.  - Statically link non-OpenSSL dependencies (libmaxminddb, libncursesw, libintl,   libc) using LDFLAGS=""-static-libgcc"" and musl-dev. - Keep OpenSSL dynamically linked to avoid building from source, ensuring   SSL_CIPHER_standard_name() support.",https://github.com/allinurl/goaccess/commit/bd025c76a18b5195d4a245a0c232063f73587ecc
allinurl/goaccess,https://github.com/allinurl/goaccess,4400e58,Gerardo O,2025-06-24T14:32:36Z,Add ldd check in build stage to inspect GoAccess runtime dependencies.,https://github.com/allinurl/goaccess/commit/4400e5838380e10747c311d8e725c92511995451
