项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
arendst/Tasmota,https://github.com/arendst/Tasmota,5d50622,Theo Arends,2025-12-04T15:20:11Z,Fix DALI RGBW and RGBCCT SO37 support,https://github.com/arendst/Tasmota/commit/5d50622daeb7c83673b39daf8bcb61bcba07fc60
arendst/Tasmota,https://github.com/arendst/Tasmota,47195c2,Theo Arends,2025-12-04T10:48:18Z,Fix DALI CW order,https://github.com/arendst/Tasmota/commit/47195c20ed50b120643503879cf3ef59a28bbf7e
arendst/Tasmota,https://github.com/arendst/Tasmota,a6b1c09,Theo Arends,2025-12-03T16:39:06Z,Fix DALI duplicate data detection,https://github.com/arendst/Tasmota/commit/a6b1c09d9de818a0be39b436ac8bda162b399b84
arendst/Tasmota,https://github.com/arendst/Tasmota,43f4fad,Theo Arends,2025-12-02T13:01:33Z,Fix DALI ESP32-S3 timing  - Fix ESP8266 DALI exception due to LittleFs issue,https://github.com/arendst/Tasmota/commit/43f4fadf280ae0163555316696f344ac5350976c
arendst/Tasmota,https://github.com/arendst/Tasmota,f216590,AndrolGenhald,2025-12-02T08:09:38Z,Fix energy total non-monotonicity. (#24184),https://github.com/arendst/Tasmota/commit/f216590a78522dbb72b46ddaf2f563181ab602a9
arendst/Tasmota,https://github.com/arendst/Tasmota,7036057,Theo Arends,2025-12-01T16:06:22Z,Fix GUI Saturation slider gradient update when using color or dimmer command,https://github.com/arendst/Tasmota/commit/7036057dd0f6cedc2176594c8c8f67f6451f7c8a
arendst/Tasmota,https://github.com/arendst/Tasmota,91e501b,Theo Arends,2025-12-01T13:10:05Z,Rename enum LT_SERIALx,https://github.com/arendst/Tasmota/commit/91e501b3d68a3e5bc1b499292e7417f162cdd828
arendst/Tasmota,https://github.com/arendst/Tasmota,4bda3e1,Theo Arends,2025-11-30T15:38:00Z,Add DALI optional blink to DaliGear and DaliGroup,https://github.com/arendst/Tasmota/commit/4bda3e1b07f8b3fe7ecc9737ddddfb088688cc34
arendst/Tasmota,https://github.com/arendst/Tasmota,a305113,gemu,2025-11-30T13:06:48Z,"Sml update (#24177)  * sml descriptors may be files  * reformatting, save some ram  ---------  Co-authored-by: Gerhard Mutz <gerhardmutz1@imac.local>",https://github.com/arendst/Tasmota/commit/a305113ad1f23c7a65fd3180c9716e7e326d3f2d
arendst/Tasmota,https://github.com/arendst/Tasmota,0b639b7,s-hadinger,2025-11-29T16:40:12Z,Berry faster type (#24175)  * Remove tab from json  * Berry faster `type()` function,https://github.com/arendst/Tasmota/commit/0b639b7ab749de8cebf191cc101850dfeb8ca8c3
