项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,6c7719d,Roman Arutyunyan,2024-12-24T10:27:05Z,Fixed compilation with clang.  Thanks to Dmitry Tsidilin.,https://github.com/arut/nginx-rtmp-module/commit/6c7719d0ba32e00b563ec70bd43dad11960fa9c4
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,2fb11df,Roman Arutyunyan,2024-04-03T07:24:47Z,"SSL shutdown for rtmps.  While rtmp module does not support SSL, starting from nginx 1.25.5 an SSL connection can be passed from nginx stream pass module.  Such connections should be shut down on connection closure.  An rtmps example:  rtmp {     server {         listen 1935; # rtmp         application foo {             live on;         }     } }  stream {     server {         listen 1936 ssl; # rtmps         ssl_certificate example.com.crt;         ssl_certificate_key example.com.key;         pass 127.0.0.1:1935;     } }",https://github.com/arut/nginx-rtmp-module/commit/2fb11dffaedc5af66b1442b0315c54a4b9da585d
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,6f9fa49,Roman Arutyunyan,2024-04-03T07:09:46Z,"Added propagation of the ""wildcard"" flag to c->listening.  The change repeats nginx commit cb149fa03367 and is needed for stream pass module to be able to pass connections to rtmp.",https://github.com/arut/nginx-rtmp-module/commit/6f9fa49a2fdc02916a27bd58887c4644e2acae44
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,c56fd73,Roman Arutyunyan,2024-04-03T06:22:00Z,Fixed unused variable warining.,https://github.com/arut/nginx-rtmp-module/commit/c56fd73def3eb407155ecebc28af84ea83dc99e5
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,23e1873,Roman Arutyunyan,2021-05-25T07:42:16Z,Fixed null pointer dereference while reading AMF.  Thanks to Zengxian Ding.,https://github.com/arut/nginx-rtmp-module/commit/23e1873aa62acb58b7881eed2a501f5bf35b82e9
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,2f2db81,Roman Arutyunyan,2021-05-24T10:08:45Z,Fixed buffer overrun after changing chunk size.  Thanks to Zengxian Ding.,https://github.com/arut/nginx-rtmp-module/commit/2f2db811f8533782dfbef57fdb14f4737e2be55a
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,afd350e,Roman Arutyunyan,2020-12-02T13:42:40Z,Fixed compilation with newer compilers.,https://github.com/arut/nginx-rtmp-module/commit/afd350e0d8b7820d7d2cfc3fa748217153265ce6
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,791b613,Roman Arutyunyan,2017-11-29T10:47:32Z,"Merge pull request #1125 from martynjarvis/fall-through-comments  Add  ""fall through"" comments to stop GCC 7 complaining",https://github.com/arut/nginx-rtmp-module/commit/791b6136f02bc9613daf178723ac09f4df5a3bbf
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,716d3c8,Martyn Jarvis,2017-09-28T17:05:21Z,"Add  ""fall through"" comments  Without these comments gcc7 will complain (-Wimplicit-fallthrough).  This fixes #1109.",https://github.com/arut/nginx-rtmp-module/commit/716d3c8b236af6e87e1c6c451597ae76ec33acb0
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,43f1e42,Roman Arutyunyan,2017-07-10T15:26:17Z,Set DASH fragment max duration and fixed manifest.,https://github.com/arut/nginx-rtmp-module/commit/43f1e4209b7ee7b795595912943a8fdc37f2ea4a
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,e636a04,Roman Arutyunyan,2017-06-10T17:37:56Z,Fixed DASH availability start time.,https://github.com/arut/nginx-rtmp-module/commit/e636a042e04f63553de995394c8bfdec278632b5
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,1cdeb07,Roman Arutyunyan,2017-06-10T17:21:49Z,Fixed MPEG-DASH playback and MPD validity.,https://github.com/arut/nginx-rtmp-module/commit/1cdeb07174afe8793021618d1b1c485063b9bc2f
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,ed23a34,Roman Arutyunyan,2017-06-01T11:13:12Z,Set max RTMP chunk size.,https://github.com/arut/nginx-rtmp-module/commit/ed23a34b8108f60475cf552600b56ff389d8876e
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,04f0ab9,Roman Arutyunyan,2017-02-13T13:28:31Z,OpenSSL-1.1 support,https://github.com/arut/nginx-rtmp-module/commit/04f0ab97ac61d181dbfdaa5299412fc3064e95a3
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,5150993,Roman Arutyunyan,2016-10-07T10:15:50Z,support for nginx 1.11.5-style cache-manager,https://github.com/arut/nginx-rtmp-module/commit/5150993accb5edefa61d71e1c81ad8c02f515428
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,c0bf381,Roman Arutyunyan,2016-08-09T12:45:06Z,fixed rtmp as a dynamic module,https://github.com/arut/nginx-rtmp-module/commit/c0bf381d10de05c135f913921c58272838d5e1ee
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,cb54ed4,Roman Arutyunyan,2016-07-05T17:23:44Z,fixed compilation with the latest nginx version,https://github.com/arut/nginx-rtmp-module/commit/cb54ed4ac0994e36b92d21a51313af44ecdfdadd
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,e089592,Roman Arutyunyan,2016-03-07T05:44:44Z,support for dynamic build,https://github.com/arut/nginx-rtmp-module/commit/e08959247dc840bb42cdf3389b1f5edb5686825f
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,f62a083,Roman Arutyunyan,2015-03-23T19:30:37Z,fixed compilation with nginx 1.7.11,https://github.com/arut/nginx-rtmp-module/commit/f62a0838064baf089ad9fe3c8f6f2ffe0775afb2
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,7a35372,Roman Arutyunyan,2014-09-23T19:39:09Z,enabled static relay cleanup to fix static_relay+auto_push combination,https://github.com/arut/nginx-rtmp-module/commit/7a35372e30dca2a10c843219597bc4bc481fdda0
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,5fb4c99,Roman Arutyunyan,2014-09-21T06:17:58Z,added queue init,https://github.com/arut/nginx-rtmp-module/commit/5fb4c99ca93442c571354af6a40a4f3ef736af57
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,e1f92b1,Roman Arutyunyan,2014-09-17T05:42:25Z,Merge pull request #469 from itpp16/patch-1  Update ngx_rtmp_mpegts.c,https://github.com/arut/nginx-rtmp-module/commit/e1f92b1409d1db34c81d8aec1156b6cc71c2ca26
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,dd5f2aa,Roman Arutyunyan,2014-09-17T03:10:38Z,fixed compilation,https://github.com/arut/nginx-rtmp-module/commit/dd5f2aa117c617e1f0fde26f8fd58903be2d85e8
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,d574043,itpp16,2014-09-13T20:48:03Z,"Update ngx_rtmp_mpegts.c  Fixes for ""warning C4244: '=' : conversion from 'uint64_t' to 'u_char', possible loss of data""",https://github.com/arut/nginx-rtmp-module/commit/d574043a9659e46e7dce7c3a921964747e7340be
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,c390521,Roman Arutyunyan,2014-09-09T16:45:57Z,Merge branch 'master' of github.com:arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module/commit/c39052196312b2dcdef1dac42890ef48016d2d1d
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,83dc27d,Roman Arutyunyan,2014-09-09T16:45:06Z,fixed issue with multiple access_logs,https://github.com/arut/nginx-rtmp-module/commit/83dc27d30a8bb708559791889a857ee7e9002d49
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,0bb2323,Roman Arutyunyan,2014-09-01T18:44:12Z,Merge pull request #458 from saintdev/for-upstream  Explicitly signal HE-AAC in DASH manifest,https://github.com/arut/nginx-rtmp-module/commit/0bb232399075ac8d852395c308b38355dae02b18
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,7500b4b,Roman Arutyunyan,2014-09-01T14:30:41Z,fixed path allocation,https://github.com/arut/nginx-rtmp-module/commit/7500b4bd90fc942468f94dd3a12dbcdf9c3199a6
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,eb1cfef,Roman Arutyunyan,2014-09-01T14:01:28Z,zero fragments_per_key now means one key per stream,https://github.com/arut/nginx-rtmp-module/commit/eb1cfef69ed8bd7eb0460ac8716a6411520eda08
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,0b3d545,Roman Arutyunyan,2014-09-01T13:21:13Z,fixed return code,https://github.com/arut/nginx-rtmp-module/commit/0b3d545ff600bbdbaf82c3b688871f321e8a3bbe
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,5e1d735,Roman Arutyunyan,2014-09-01T13:10:03Z,fixed encryption,https://github.com/arut/nginx-rtmp-module/commit/5e1d7359920a292457efe88046cffdb4efbbbc47
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,997f24c,Roman Arutyunyan,2014-09-01T12:39:10Z,implemented key id recovery from iv,https://github.com/arut/nginx-rtmp-module/commit/997f24c5c6b7ce07d9b57eff45a3a9a394b17d88
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,8099f44,Roman Arutyunyan,2014-09-01T09:25:48Z,optimized aes128 encryption in mpegts writer,https://github.com/arut/nginx-rtmp-module/commit/8099f4482851a8f009aaffe9f81fee6b5d4c5df0
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,51ab327,Roman Arutyunyan,2014-08-31T14:58:43Z,fixed style,https://github.com/arut/nginx-rtmp-module/commit/51ab327abfa9f328a85646a3f4364c810277e47f
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,69c090d,Roman Arutyunyan,2014-08-31T14:50:04Z,renamed directives,https://github.com/arut/nginx-rtmp-module/commit/69c090d85fe369de6a447fc63af156a15dbb3d45
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,2f82fa2,Roman Arutyunyan,2014-08-31T10:48:48Z,fixed hls key path,https://github.com/arut/nginx-rtmp-module/commit/2f82fa2e8edfd2afe8065463359de3dafaa86686
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,773336e,Roman Arutyunyan,2014-08-31T09:53:46Z,make aes iv big-endian,https://github.com/arut/nginx-rtmp-module/commit/773336e497108778452beeb7d6540190c11c3cc3
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,359d76b,Nathan Caldwell,2014-08-28T01:48:39Z,"Explicitly signal HE-AAC in DASH manifest  This works around an issue in the Chromium MediaSource implementation[1]. Chromium will not play a video when the audio track uses HE-AAC, unless it is explicitly signaled in the manifest.  [1]: https://code.google.com/p/chromium/issues/detail?id=370927#c3",https://github.com/arut/nginx-rtmp-module/commit/359d76b55593308a269f8824a7928be0f15b37b6
arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,4bed919,Roman Arutyunyan,2014-08-05T12:00:50Z,read hls key from old playlist,https://github.com/arut/nginx-rtmp-module/commit/4bed919cbecc8eac81eb5fb41dd0336bcc238c9d
