项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,30eb944,raymond1012,2021-04-26T08:51:20Z,Merge pull request #5249 from bupt-steven/wenjun/abr  add ijklas demuxer & remove las features away from ijkplayer,https://github.com/bilibili/ijkplayer/commit/30eb9441945da795079492041a791c121d2b8206
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,96598d7,zhenghanchao,2021-04-26T08:27:07Z,ffmpeg: ff4.0--ijk0.8.8--20210426--001,https://github.com/bilibili/ijkplayer/commit/96598d75d381a4e8c3137795a7b490253a26ec80
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,072942b,johnwenjunwu,2021-04-23T03:44:48Z,"refactor(las): replace ""manifest.las"" with ""ijklas:""",https://github.com/bilibili/ijkplayer/commit/072942b687ad181ddf86e1ed2957cd0b781aa48d
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,b9dd6f6,johnwenjunwu,2021-04-22T12:22:14Z,feat(las_ios): register ijklas_demuxer through url or format_name,https://github.com/bilibili/ijkplayer/commit/b9dd6f642d8acfbd344d74869a9a9535e48b25bb
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,640f3cb,johnwenjunwu,2021-04-22T09:16:54Z,refactor(las): remove las's setting from ijkplayer  1. remove is-manifest checking 2. pass dynamic buffer length through FFTrackCacheStatistic 3. pass other infos through LasContext,https://github.com/bilibili/ijkplayer/commit/640f3cb6b0d2890afdf94fc26b829a5b73edb365
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,13f03e8,johnwenjunwu,2021-04-22T09:08:53Z,feat(las): register ijklas demuxer & find through it's format_name  feat(las): find ijklas demuxer through it's format name,https://github.com/bilibili/ijkplayer/commit/13f03e86cd4002ee958469300054422c4842ac21
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,a6e5146,johnwenjunwu,2021-04-22T12:20:39Z,fix(las): change default resolution to the middle,https://github.com/bilibili/ijkplayer/commit/a6e514686d607fcff9cb16d627d8013b34e771d0
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,82aed1a,johnwenjunwu,2021-04-22T09:02:18Z,fix(las): skip switching when past buffer is empty,https://github.com/bilibili/ijkplayer/commit/82aed1a598f3d0d1a34854426dc52d478415e58a
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,b720ce4,raymond1012,2021-04-22T06:49:03Z,Merge pull request #5247 from bupt-steven/wenjun/abr  fix(config): move enable ijk* to the back of disable all,https://github.com/bilibili/ijkplayer/commit/b720ce4977fdeea779d687e8126515fbf6b7b77e
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,d777758,johnwenjunwu,2021-04-21T07:58:36Z,fix(demuxer): register ijk's custom demuxers,https://github.com/bilibili/ijkplayer/commit/d77775826a7a8a9c6c5138af2958f607f29da7e2
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,a89d810,johnwenjunwu,2021-04-21T05:56:27Z,fix(config): move enable ijk* to the back of disable all,https://github.com/bilibili/ijkplayer/commit/a89d81043e27ab3cfca4e73712cadf8d4121ac2a
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,e99d640,zhenghanchao,2021-02-07T10:32:09Z,ijkplayer: convert pointer to string instead of using av_dict_set_int,https://github.com/bilibili/ijkplayer/commit/e99d640e5fe94c65132379307f92d7180bcde8e7
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,86e8d33,zhenghanchao,2021-02-07T10:31:56Z,ffmpeg: ff4.0--ijk0.8.8--20210205--001,https://github.com/bilibili/ijkplayer/commit/86e8d33851fe2ea38e6383cd699826e503477cf1
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,fb23b58,raymond1012,2020-12-08T10:01:41Z,Merge pull request #5171 from bupt-steven/master  fix(las): exits when error occurs,https://github.com/bilibili/ijkplayer/commit/fb23b58b60fcff9e60c796a782c0b8114e2c5175
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,10856b9,johnwenjunwu,2020-12-08T09:52:46Z,fix(las): exits when error occurs,https://github.com/bilibili/ijkplayer/commit/10856b9bace531c3f83b5ace3477732f2ddf9414
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,a71b26b,raymond1012,2020-11-09T11:07:19Z,Merge pull request #5142 from bupt-steven/master  fix(init-ios): fix the ffmpeg version in ios/android build scripts,https://github.com/bilibili/ijkplayer/commit/a71b26bf0518368e310786caa5390fcecd2d5093
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,0c021a4,johnwenjunwu,2020-11-09T07:38:38Z,feat(las): support media_codec when repeatSps is false,https://github.com/bilibili/ijkplayer/commit/0c021a49e8411c26390fe05f7edff026fad9e454
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,2692ed9,yangdan07,2020-11-07T03:06:30Z,fix(init-ios): fix the ffmpeg version in ios/android build scripts,https://github.com/bilibili/ijkplayer/commit/2692ed95318e5379f5c4edb002f1d30260910487
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,d35de1b,raymond1012,2020-11-05T10:31:01Z,Merge pull request #5138 from bupt-steven/wenjun/abr  feat(las): support video_tool_box by adding side data,https://github.com/bilibili/ijkplayer/commit/d35de1b6413570f61cf19d7e885f7187e0746878
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,be38007,johnwenjunwu,2020-11-05T07:45:17Z,feat(las): support video_tool_box by adding side data,https://github.com/bilibili/ijkplayer/commit/be38007b411050f1d94b5e403d932692428feded
