项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
brunodev85/winlator,https://github.com/brunodev85/winlator,95b053b,brunodev85,2025-09-26T19:36:34Z,Add wine mono (10.1.0) installer to wine addons,https://github.com/brunodev85/winlator/commit/95b053b768669be14b8190bb9cd82ec2c6088116
brunodev85/winlator,https://github.com/brunodev85/winlator,53b6cd2,brunodev85,2025-08-01T18:06:06Z,Add wine gecko (x86) installer to wine addons,https://github.com/brunodev85/winlator/commit/53b6cd277ea03286561885bb27dc0cc82b9113a7
brunodev85/winlator,https://github.com/brunodev85/winlator,87f0cf6,brunodev85,2025-07-21T20:44:24Z,Update README.md,https://github.com/brunodev85/winlator/commit/87f0cf614ffad799831dc1a8e8aba9e7f76491da
brunodev85/winlator,https://github.com/brunodev85/winlator,e4d1bb0,brunodev85,2025-07-10T13:23:46Z,Add box64 0.3.7 to installable components,https://github.com/brunodev85/winlator/commit/e4d1bb0f0dd008b64fbf7da9d847af460d585824
brunodev85/winlator,https://github.com/brunodev85/winlator,cea33a3,brunodev85,2025-07-08T20:31:52Z,Update README.md,https://github.com/brunodev85/winlator/commit/cea33a328b798c34dbfb7c43a23999a0117ff68f
brunodev85/winlator,https://github.com/brunodev85/winlator,b357196,brunodev85,2025-07-08T19:58:16Z,Update dxvk from installable components,https://github.com/brunodev85/winlator/commit/b357196c0ec6f264741d1053145a2882db4d159a
brunodev85/winlator,https://github.com/brunodev85/winlator,24ee6ea,brunodev85,2025-07-08T18:15:47Z,Update turnip from installable components,https://github.com/brunodev85/winlator/commit/24ee6eafd8859021a570338bf76023184415bccc
brunodev85/winlator,https://github.com/brunodev85/winlator,96504ff,brunodev85,2025-05-16T20:21:58Z,Update README.md,https://github.com/brunodev85/winlator/commit/96504ff4ef34a9cbad9d03d70d1f420fcb8338ec
brunodev85/winlator,https://github.com/brunodev85/winlator,40be2cc,brunodev85,2025-05-16T20:13:35Z,app: Implement MIDI Input/Output,https://github.com/brunodev85/winlator/commit/40be2cca7ed3ddf5c7af99e9b56643439790b9f6
brunodev85/winlator,https://github.com/brunodev85/winlator,b471611,brunodev85,2025-05-16T20:12:06Z,app: Add FluidSynth library and dependencies,https://github.com/brunodev85/winlator/commit/b471611da731ccec358d3960bba9efc6a846af01
brunodev85/winlator,https://github.com/brunodev85/winlator,935e310,brunodev85,2025-05-16T20:07:00Z,Remove armeabi-v7a,https://github.com/brunodev85/winlator/commit/935e31077a10836644f716bcd0e4dacdf6619a34
brunodev85/winlator,https://github.com/brunodev85/winlator,b1f67cc,brunodev85,2025-05-16T20:05:59Z,Update README.md,https://github.com/brunodev85/winlator/commit/b1f67ccce2ace49011eaa75af1d70f7a5048c3b8
brunodev85/winlator,https://github.com/brunodev85/winlator,cc0ad02,BrunoSX,2025-04-28T18:31:56Z,Update README.md,https://github.com/brunodev85/winlator/commit/cc0ad02200127c218ea66267f2f1d159e6eff9b0
brunodev85/winlator,https://github.com/brunodev85/winlator,59c8ff2,brunodev85,2025-04-28T12:40:30Z,Add wine_addons,https://github.com/brunodev85/winlator/commit/59c8ff2435a5d0a40198b54ae5782da9531ac0b6
brunodev85/winlator,https://github.com/brunodev85/winlator,38902fd,brunodev85,2025-04-19T20:44:29Z,Update installable_components,https://github.com/brunodev85/winlator/commit/38902fd3b81b7c34da7732fd555eb13dc9513da4
brunodev85/winlator,https://github.com/brunodev85/winlator,deba914,brunodev85,2025-03-01T16:43:37Z,Update README.md,https://github.com/brunodev85/winlator/commit/deba914310d5a0f4ae8853733971be7ca60021d5
brunodev85/winlator,https://github.com/brunodev85/winlator,a4f36b3,brunodev85,2025-02-28T19:35:49Z,app: Update GPUImage,https://github.com/brunodev85/winlator/commit/a4f36b3a2a0c8a7ba34bf1aaf168af721d92ff5a
brunodev85/winlator,https://github.com/brunodev85/winlator,f956ebd,brunodev85,2025-02-28T19:14:35Z,Update box64 from installable components,https://github.com/brunodev85/winlator/commit/f956ebd552852700a64f0471c6263ebdc4549fe8
brunodev85/winlator,https://github.com/brunodev85/winlator,e3b22cf,brunodev85,2025-02-28T18:09:24Z,Update android_alsa,https://github.com/brunodev85/winlator/commit/e3b22cf07b8742c9d239ecd760ae5aa056b55bc6
brunodev85/winlator,https://github.com/brunodev85/winlator,388889a,brunodev85,2025-02-28T18:06:31Z,Add glibc_patches,https://github.com/brunodev85/winlator/commit/388889a456a7c0cd39cd5db21831b9c2c8be0777
brunodev85/winlator,https://github.com/brunodev85/winlator,1f437a1,brunodev85,2025-02-28T18:04:53Z,Remove android_sysvshm,https://github.com/brunodev85/winlator/commit/1f437a148e7d5625125daffd66c9882f6f24ad40
brunodev85/winlator,https://github.com/brunodev85/winlator,a3b5298,brunodev85,2025-02-28T17:55:26Z,Remove temporarily turnip from installable components,https://github.com/brunodev85/winlator/commit/a3b529895afb91307dc265f33b669137e795afb8
brunodev85/winlator,https://github.com/brunodev85/winlator,e66b5ac,brunodev85,2025-02-28T17:46:01Z,Add vkd3d to installable components,https://github.com/brunodev85/winlator/commit/e66b5acfe17b3c857dbddc89e09f44cd571e72b1
brunodev85/winlator,https://github.com/brunodev85/winlator,6041e43,brunodev85,2025-02-28T17:14:05Z,Merge branch 'main' of https://github.com/brunodev85/winlator,https://github.com/brunodev85/winlator/commit/6041e43cfcc6625db1599b4bea7bd82848618038
brunodev85/winlator,https://github.com/brunodev85/winlator,030d90c,brunodev85,2025-02-28T17:11:23Z,Add wined3d to installable components,https://github.com/brunodev85/winlator/commit/030d90c06bdf2d7d818f3a3f961d61b0bf9f7158
brunodev85/winlator,https://github.com/brunodev85/winlator,0768f10,BrunoSX,2025-02-28T14:49:52Z,Update issue templates,https://github.com/brunodev85/winlator/commit/0768f1030633a8d171af8ef8b75cb93cabe10bd3
brunodev85/winlator,https://github.com/brunodev85/winlator,1cc12c9,brunodev85,2025-01-06T13:42:05Z,Add box64 0.3.3 to installable components,https://github.com/brunodev85/winlator/commit/1cc12c902367fb591af7109c0b98feac8ba08b28
brunodev85/winlator,https://github.com/brunodev85/winlator,71995c4,brunodev85,2025-01-03T19:53:52Z,Update README.md,https://github.com/brunodev85/winlator/commit/71995c4310d00c0e1326df1551fc3263e29fe73b
brunodev85/winlator,https://github.com/brunodev85/winlator,4581fdd,brunodev85,2025-01-03T17:16:34Z,Add installable_components,https://github.com/brunodev85/winlator/commit/4581fddf41f799f69def251d21157002bdbfee8a
brunodev85/winlator,https://github.com/brunodev85/winlator,6dab31f,brunodev85,2024-12-31T14:47:20Z,Update input_controls,https://github.com/brunodev85/winlator/commit/6dab31f5234921b884d0c0918e606845776939fc
brunodev85/winlator,https://github.com/brunodev85/winlator,c4be4ea,brunodev85,2024-12-31T14:37:47Z,Update android_alsa,https://github.com/brunodev85/winlator/commit/c4be4eacf3b4d818547c1dcb4d2ec97076153cd9
brunodev85/winlator,https://github.com/brunodev85/winlator,4b536be,brunodev85,2024-09-27T14:05:26Z,Update README.md,https://github.com/brunodev85/winlator/commit/4b536bec724bb7a95e1fc9372327947aaeaab37b
brunodev85/winlator,https://github.com/brunodev85/winlator,c96084d,BrunoSX,2024-08-02T11:45:05Z,Merge pull request #76 from lvonasek/lvonasek-patch-1  OpenXR - Support for Meta HorizonOS V66+,https://github.com/brunodev85/winlator/commit/c96084d95c15f7565785da608c6ad6103f77f576
brunodev85/winlator,https://github.com/brunodev85/winlator,1935057,Luboš V.,2024-08-02T05:32:11Z,OpenXR - Support for Meta HorizonOS V66+,https://github.com/brunodev85/winlator/commit/1935057966f08e4dd7822826dc188eb200da6a6e
brunodev85/winlator,https://github.com/brunodev85/winlator,eed37d6,BrunoSX,2024-07-25T19:35:19Z,Merge pull request #68 from Kashinathpat/patch-1  Fix Shortcuts crash,https://github.com/brunodev85/winlator/commit/eed37d680424f844c7be38eccadc0849ba5155e9
brunodev85/winlator,https://github.com/brunodev85/winlator,8e2058e,BrunoSX,2024-07-20T18:12:18Z,Merge pull request #71 from longjunyu2/fix-screen-dimming-when-using-gamepad  Fix screen dimming when using game controller,https://github.com/brunodev85/winlator/commit/8e2058e30ad8f5203b6c86fc70f35e125c5a0b7a
brunodev85/winlator,https://github.com/brunodev85/winlator,a2d72a3,Junyu Long,2024-07-13T17:26:35Z,Fixed screen dimming when using game controller,https://github.com/brunodev85/winlator/commit/a2d72a36a67cb964a69e1015fc0dd500d521495a
brunodev85/winlator,https://github.com/brunodev85/winlator,1fa31b4,Kashinath Patkar,2024-07-09T06:34:22Z,Fix Shortcuts crash,https://github.com/brunodev85/winlator/commit/1fa31b4eabdce66ff016ccb8a04f9c3b393d5267
brunodev85/winlator,https://github.com/brunodev85/winlator,14bbdad,brunodev85,2024-06-27T17:33:26Z,Remove unnecessary obb_image_generator,https://github.com/brunodev85/winlator/commit/14bbdad598cdae97c9203493674e771a10184e38
brunodev85/winlator,https://github.com/brunodev85/winlator,edcf4bd,brunodev85,2024-06-27T17:29:48Z,Move wine_patches to another repository,https://github.com/brunodev85/winlator/commit/edcf4bde12ca5d476ea0371dac524483f096f30d
brunodev85/winlator,https://github.com/brunodev85/winlator,f4afbe0,brunodev85,2024-06-27T17:24:07Z,Update app,https://github.com/brunodev85/winlator/commit/f4afbe0a5ab97fb31c2e8581528362335776fd18
brunodev85/winlator,https://github.com/brunodev85/winlator,11974b3,brunodev85,2024-06-27T14:54:31Z,Update app,https://github.com/brunodev85/winlator/commit/11974b31982145358d14e25e6bec4174c99eb039
brunodev85/winlator,https://github.com/brunodev85/winlator,47fc57c,brunodev85,2024-06-21T17:43:44Z,Update input_controls,https://github.com/brunodev85/winlator/commit/47fc57c5e805a2e9700aea8daf407df4add76182
