项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,ce8e050,Carlos Fenollosa,2023-09-19T15:35:22Z,Update README.md  Closes #269,https://github.com/cfenollosa/os-tutorial/commit/ce8e050d246594fda7f0067d7f4c9abeaa2b269c
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,7aff647,Carlos Fenollosa,2018-11-03T00:25:59Z,Merge pull request #55 from BlackmanWhite/patch-1  Minor typo fix,https://github.com/cfenollosa/os-tutorial/commit/7aff64740e1e3fba9a64c30c5cead0f88514eb62
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,622f6e7,Carlos Fenollosa,2018-11-03T00:25:29Z,Merge pull request #62 from ss18/ss18/pr0  Ss18/pr0,https://github.com/cfenollosa/os-tutorial/commit/622f6e75f5aa8987fbe85b3dd5fc7abd4c80499f
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,ae790aa,Carlos Fenollosa,2018-11-03T00:24:04Z,Merge pull request #66 from WellingGuzman/patch-1  Fix typo (tho -> two),https://github.com/cfenollosa/os-tutorial/commit/ae790aa83917127a0aefe9172389e0aedcd0d7a7
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,a890054,Carlos Fenollosa,2018-11-03T00:23:30Z,Merge pull request #75 from amit794/master  Update README.md,https://github.com/cfenollosa/os-tutorial/commit/a8900549b8ffd5ef5f7cc637fab6038b54256107
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,74af8e4,amit794,2018-10-05T15:42:47Z,Update README.md  Fixed typo,https://github.com/cfenollosa/os-tutorial/commit/74af8e4b55ed74cae63a633e3275d00ae5ab1418
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,3f4eb76,Welling Guzmán,2018-09-30T03:42:23Z,Fix typo (tho -> two),https://github.com/cfenollosa/os-tutorial/commit/3f4eb766469308b579a0a3a24285fb0f4bc9aa60
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,720485a,Semen Zhydenko,2018-09-25T12:28:04Z,pased -> passed,https://github.com/cfenollosa/os-tutorial/commit/720485aad091e58796f740c5a078f427d8b0b144
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,86e5448,Semen Zhydenko,2018-09-25T12:26:55Z,apparantly -> apparently,https://github.com/cfenollosa/os-tutorial/commit/86e544849c577ca3dede2482cf79e934b7f85ffa
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,b842cff,Ducc,2018-09-22T18:56:28Z,"Typo  Fixed ""remember"" spelled as ""rember"" and fixed a comma wrongfuly placed.",https://github.com/cfenollosa/os-tutorial/commit/b842cff5989b161719eac8a6b3b8f63beb924a99
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,301019e,Carlos Fenollosa,2018-09-22T09:31:27Z,Create license. Closes #51,https://github.com/cfenollosa/os-tutorial/commit/301019e8380dd7c257cb66a4cc476ad383d2d052
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,5b88226,Carlos Fenollosa,2018-04-20T12:44:13Z,Merge pull request #33 from ariisboss/patch-1  Update README.md with SDL error issue,https://github.com/cfenollosa/os-tutorial/commit/5b88226edf1816d669f0aedf8d2cdc5db705c655
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,db4ae5b,Carlos Fenollosa,2018-04-20T12:43:13Z,Typo. Closes #28,https://github.com/cfenollosa/os-tutorial/commit/db4ae5b87fbcbac6f6a97dcdbed2696dc73a17d1
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,4424bcc,Carlos Fenollosa,2018-04-20T12:41:41Z,Merge pull request #35 from Ghifari160/master  Fix typos and 404's,https://github.com/cfenollosa/os-tutorial/commit/4424bcc39510012924ddd519c02edcd98ab9d84d
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,5959216,Carlos Fenollosa,2018-04-19T08:05:19Z,Update README.md,https://github.com/cfenollosa/os-tutorial/commit/595921692b1959f666075b2efc9b86ddd5a68b5d
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,4399a08,Ghifari160,2018-04-03T21:51:57Z,Updated link to GDB,https://github.com/cfenollosa/os-tutorial/commit/4399a080248bc50cca9bf2e02808a33eac57db12
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,c1645ed,Ghifari160,2018-03-03T04:31:30Z,Fixed typo in README.md  'xdd' should be 'xxd',https://github.com/cfenollosa/os-tutorial/commit/c1645ed6ffbe23d591e93dcd37ee9dfa8ced3b7e
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,5252b91,Ari Singh,2018-02-07T01:55:23Z,Update README.md with SDL error issue,https://github.com/cfenollosa/os-tutorial/commit/5252b917918cd7b95ab115b50f1e99c2be196c81
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,f8bd5e4,Carlos Fenollosa,2018-01-02T08:06:23Z,Merge pull request #21 from alhaad/master  Fix typo.,https://github.com/cfenollosa/os-tutorial/commit/f8bd5e4f9bd77cb84bf3287ae85009d3009e8294
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,bbdcf96,Carlos Fenollosa,2018-01-02T08:06:07Z,Merge pull request #25 from sapsaldog/sapsaldog-patch-1  change gcc src download link,https://github.com/cfenollosa/os-tutorial/commit/bbdcf96d1be25b0642cb44da2f2352ee733c8f34
