项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
cloudwu/skynet,https://github.com/cloudwu/skynet,7c1f979,bitcat🐱,2025-12-01T15:24:27Z,fix: redis cluster typo (#2112),https://github.com/cloudwu/skynet/commit/7c1f97995902cb033740441def9dc994ce0bb2c4
cloudwu/skynet,https://github.com/cloudwu/skynet,2fca522,涵曦,2025-11-28T14:53:57Z,feat: add workflow auto build release (#2111),https://github.com/cloudwu/skynet/commit/2fca5221ecf845888481bf87a412f974dd54c4ce
cloudwu/skynet,https://github.com/cloudwu/skynet,234e134,涵曦,2025-11-25T16:07:43Z,feat: add MinGW cross-compilation support for Windows builds on Linux (#2108),https://github.com/cloudwu/skynet/commit/234e134967da2f1295fc671910e47439cd47f3b1
cloudwu/skynet,https://github.com/cloudwu/skynet,5608d39,fastfullstack.com,2025-11-13T07:50:13Z,添加mongodb事务接口支持 (#2102)  * 添加mongodb事务接口支持  * 按云大建议改为插件扩展模式  * 增加子模块初始化保护  ---------  Co-authored-by: liujun <ljljlj114>,https://github.com/cloudwu/skynet/commit/5608d39789af01e839de36ee73b4b8cb5134842c
cloudwu/skynet,https://github.com/cloudwu/skynet,2ecf32e,Weitao Liu,2025-10-16T15:10:14Z,Fix spell error (#2098),https://github.com/cloudwu/skynet/commit/2ecf32ec73177b6914e13562835c42eeca5a51c4
cloudwu/skynet,https://github.com/cloudwu/skynet,bdac405,mk,2025-10-14T13:30:09Z,Update: use pipeline for ASKING command in redis cluster (#2097)  - ensure ASKING and command execute sequentially and consecutively - save one RTT,https://github.com/cloudwu/skynet/commit/bdac40532463faad06ea25e4121230684025a8aa
cloudwu/skynet,https://github.com/cloudwu/skynet,7386688,EfveZombie,2025-10-14T10:00:58Z,skynet_context: skynet_context_new 改为返回 handle 避免调用者拿到悬垂指针 (#2095)  * skynet_context: skynet_context_new 改为返回 handle 避免调用者拿到悬垂指针  * 推迟 skynet_handle_grab(logger_handle) 到 bootstrap 失败阶段  ---------  Co-authored-by: efve.zff <efve.zff@alibaba-inc.com>,https://github.com/cloudwu/skynet/commit/7386688320905e519664582e448968a2612f34ee
cloudwu/skynet,https://github.com/cloudwu/skynet,d4b78b7,mk,2025-10-11T05:09:57Z,Update: avoid command case mismatch in redis cluster (#2091),https://github.com/cloudwu/skynet/commit/d4b78b7ff1f8e1f624e7fc870286deae7cab5c31
cloudwu/skynet,https://github.com/cloudwu/skynet,528b6bd,EfveZombie,2025-09-11T13:23:07Z,"mem: 优化 C 内存统计, 缓解多线程竞争导致的 skynet_malloc 性能下降 (#2083)  * mem: 优化 C 内存统计, 缓解多线程竞争导致的 skynet_malloc 性能下降  * rm unused SPMC_STEP_LG macro  ---------  Co-authored-by: efve.zff <efve.zff@alibaba-inc.com>",https://github.com/cloudwu/skynet/commit/528b6bd32f2fe2226d0e299b65fec843113d8317
cloudwu/skynet,https://github.com/cloudwu/skynet,754932c,涵曦,2025-08-09T10:07:43Z,feature: add bson_to_lightuserdata api. see #2074 (#2075),https://github.com/cloudwu/skynet/commit/754932cef433ad89721c997ff5ff954c51f7b722
cloudwu/skynet,https://github.com/cloudwu/skynet,b02d619,Zwlin,2025-06-15T12:59:01Z,fix comment: check start time (#2038),https://github.com/cloudwu/skynet/commit/b02d619dd84979d0281446a05d32fbe68bb038f1
cloudwu/skynet,https://github.com/cloudwu/skynet,e216047,Cloud Wu,2025-06-15T02:49:56Z,Fix #2060,https://github.com/cloudwu/skynet/commit/e21604783ae4b00ac38d7744e4551d5b47fedbd7
cloudwu/skynet,https://github.com/cloudwu/skynet,4ff4db3,云华,2025-06-05T11:52:24Z,feature: mongo 增加 bulkWrite (#2058)  mongo8.0 新增跨集合更新api: bulkWrite(相对单一更新 性能大幅提升) btw: 低量级数据建议继续选择单一更新（insert/update等 ）  应用场景： 1. 聚合数据更新 2. 日志db跨集合写入,https://github.com/cloudwu/skynet/commit/4ff4db3161e7c7d8acfcb4051de53eb58ade30b4
cloudwu/skynet,https://github.com/cloudwu/skynet,5885514,maplescene,2025-05-25T15:46:17Z,Update mongo.lua (#2054)  这里运算符有优先级问题,https://github.com/cloudwu/skynet/commit/588551413862644fe0f945c9dc388a9b7c3a13a5
cloudwu/skynet,https://github.com/cloudwu/skynet,e0bc6fe,Cloud Wu,2025-05-21T23:47:18Z,update lua 5.4.8 rc1,https://github.com/cloudwu/skynet/commit/e0bc6fe2d6ea05193f75a1467ecb7d9de748b23a
cloudwu/skynet,https://github.com/cloudwu/skynet,077d1fb,zhuilang,2025-05-21T09:52:32Z,Update internal.lua (#2053)  header 传进来可能是空值,https://github.com/cloudwu/skynet/commit/077d1fbd648facf4324a5da47b7d6d758479a5a6
cloudwu/skynet,https://github.com/cloudwu/skynet,5eab3d7,EfveZombie,2025-05-21T09:49:34Z,"lua-skynet: lerror 格式符使用 ""%*s"", 节省一次 strlen (#2051)  * lua-skynet: lerror 格式符使用 ""%*s"", 节省一次 strlen  * make skynet_strdup/skynet_strndup static, remove skynet_asprintf/skynet_vasprintf  ---------  Co-authored-by: efve.zff <efve.zff@alibaba-inc.com>",https://github.com/cloudwu/skynet/commit/5eab3d7e22c3573f47cb0fff7222c7c2c3096036
cloudwu/skynet,https://github.com/cloudwu/skynet,b2612d9,EfveZombie,2025-05-21T07:35:57Z,"socket_server: 增加 request_package 初始化, 避免内存工具警告 (#2050)  * socket_server: 增加 request_package 初始化逻辑, 避免内存工具警告  * add request_init function instead of {0}  ---------  Co-authored-by: efve.zff <efve.zff@alibaba-inc.com>",https://github.com/cloudwu/skynet/commit/b2612d92ebd1ff7f6953ef80662270a92a1c7fe2
cloudwu/skynet,https://github.com/cloudwu/skynet,94450ff,云华,2025-05-14T05:15:26Z,fixed: service_gate_c  half close (#2047),https://github.com/cloudwu/skynet/commit/94450ff00f0a268d3a874e0806862184accf7fce
cloudwu/skynet,https://github.com/cloudwu/skynet,438c4ee,tzngit,2025-05-12T10:22:17Z,http chunked不能同时指定content-length (#2046)  Co-authored-by: tangzhaoning <sherlock@eyugame.com>,https://github.com/cloudwu/skynet/commit/438c4ee9ed3331bfafee8cde9429ba3265e004cf
cloudwu/skynet,https://github.com/cloudwu/skynet,1ba381a,fanyh,2025-03-18T12:14:45Z,skynet_error output abnormal log add error tag (#2039),https://github.com/cloudwu/skynet/commit/1ba381a1c209ae6eea8ecec0fffac90a3340f350
cloudwu/skynet,https://github.com/cloudwu/skynet,93e72a9,Tom Lau,2025-03-06T04:03:30Z,allow `t[nil] => nil` in table returned by sharedata (#2037),https://github.com/cloudwu/skynet/commit/93e72a92ac2eb29a2d5368c5eeb728700f43fc19
cloudwu/skynet,https://github.com/cloudwu/skynet,ad96b6c,wanli,2025-03-06T04:02:32Z,* 增加mysql使用execute方法解析date格式数据 (#2035)  * * 增加mysql使用execute方法解析date格式数据  * 优化mysql模块解析date失败时处理方式  ---------  Co-authored-by: test <test@test.com>,https://github.com/cloudwu/skynet/commit/ad96b6c736a98d644da46381cefadb9f2724bc2c
cloudwu/skynet,https://github.com/cloudwu/skynet,ba64be6,Cloud Wu,2025-01-14T01:50:26Z,Update history for v1.8.0 release,https://github.com/cloudwu/skynet/commit/ba64be6f9fa044933c77de1317f466afbade8eaa
cloudwu/skynet,https://github.com/cloudwu/skynet,e1c28ed,Jason N. White,2025-01-01T00:53:34Z,"Update LICENSE, fix license year (#2021)  Signed-off-by: JasonnnW3000 <sufssl04@gmail.com>",https://github.com/cloudwu/skynet/commit/e1c28ed13ea5d5b7d9419a33fb581213c9424e15
cloudwu/skynet,https://github.com/cloudwu/skynet,474f04e,华仔,2024-12-30T13:26:40Z,fix socketchannel closed thread not wakeup (#2020),https://github.com/cloudwu/skynet/commit/474f04e8640337193c425a635df60df82aaa684a
cloudwu/skynet,https://github.com/cloudwu/skynet,7c3942c,sundream,2024-12-29T01:24:21Z,fix(rediscluster): maybe too many connection when MOVED (#2016),https://github.com/cloudwu/skynet/commit/7c3942cdbde844d5b323ab01ac9eadf99675e370
cloudwu/skynet,https://github.com/cloudwu/skynet,88df42a,navi,2024-12-26T09:29:48Z,fix message数量过多导致int溢出 (#2014)  Co-authored-by: 角弓 <jiaogong.lzh@alibaba-inc.com>,https://github.com/cloudwu/skynet/commit/88df42a60fbe2007524b04e425941df8270dda8a
cloudwu/skynet,https://github.com/cloudwu/skynet,cada3f5,851773277,2024-12-09T11:51:37Z,"datacenterd query接口查询时,当db为nil时,终止递归 (#2006)",https://github.com/cloudwu/skynet/commit/cada3f5cb0f438f1698051c43fa0f29043645c29
