项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
coturn/coturn,https://github.com/coturn/coturn,a668d4b,tyranron,2025-12-04T14:34:15Z,Upgrade Alpine to 3.23 version in Docker image,https://github.com/coturn/coturn/commit/a668d4b4cc0dda1e01744e03318ddd14d90a8ca0
coturn/coturn,https://github.com/coturn/coturn,9298847,dependabot[bot],2025-11-21T12:37:27Z,Upgrade `actions/checkout` from 5 to 6 version (#1776)  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/coturn/coturn/commit/92988470975ad7e72720eb43b5c03cd25628ade1
coturn/coturn,https://github.com/coturn/coturn,60b6e2d,tyranron,2025-11-18T12:57:46Z,"Update Debian ""trixie"" to 20251117 snapshot in Docker image",https://github.com/coturn/coturn/commit/60b6e2d816051f761973e2811c06e0474fa41cb6
coturn/coturn,https://github.com/coturn/coturn,e1d3ba8,tyranron,2025-11-05T10:04:30Z,"Update Debian ""trixie"" to 20251103 snapshot in Docker image",https://github.com/coturn/coturn/commit/e1d3ba8a696dac740a199762502d9b6ebb786b26
coturn/coturn,https://github.com/coturn/coturn,5c14404,dependabot[bot],2025-10-25T08:03:37Z,Upgrade `actions/upload-artifact` from 4 to 5 version (#1771)  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/coturn/coturn/commit/5c14404c71ef6e3e47a5ada41c874f5d96573af9
coturn/coturn,https://github.com/coturn/coturn,7cd09ef,dependabot[bot],2025-10-25T08:02:45Z,Upgrade `actions/download-artifact` from 5 to 6 version (#1772)  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/coturn/coturn/commit/7cd09efe87ac8f9b030a8d3d645121e1d43894bb
coturn/coturn,https://github.com/coturn/coturn,bc8d0ca,tyranron,2025-10-22T11:28:29Z,"Update Debian ""trixie"" to 20251020 snapshot in Docker image",https://github.com/coturn/coturn/commit/bc8d0ca36b906511baff87b83d1c638465401dbe
coturn/coturn,https://github.com/coturn/coturn,242467f,tyranron,2025-10-09T11:13:50Z,"Update Alpine to 3.22.2 version in Docker image to fix CVE-2025-9230, CVE-2025-9231 and CVE-2025-9232",https://github.com/coturn/coturn/commit/242467faba87b434fa901841ec72c4fe3da79d5d
coturn/coturn,https://github.com/coturn/coturn,ec5f2bc,dependabot[bot],2025-10-08T11:43:16Z,Upgrade `github/codeql-action` from 3 to 4 version (#1759)  Additionally: - fix missing NSIS for Windows on CI - replace macOS 13 with 26 on CI  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> Co-authored-by: Kai Ren <tyranron@gmail.com>,https://github.com/coturn/coturn/commit/ec5f2bcd83546810fa74ab4b5fcfbd10c3489f3a
coturn/coturn,https://github.com/coturn/coturn,e1ce664,tyranron,2025-09-30T11:27:15Z,"Update Debian ""trixie"" to 20250929 snapshot in Docker image",https://github.com/coturn/coturn/commit/e1ce664cbb8eaca023c25c281a3b7698c31dc1e1
coturn/coturn,https://github.com/coturn/coturn,63447a7,Pavel Punsky,2025-09-29T04:00:44Z,Fix memory leak using libevent (#1751)  Fixes #1750,https://github.com/coturn/coturn/commit/63447a763a689493bccf44afd6e70b418503a47b
coturn/coturn,https://github.com/coturn/coturn,b1dddb5,redraincatching,2025-09-12T01:00:38Z,"addressed possible null pointer dereferences (#1729)  this pr aims to address more static code analyser warnings, specifically null pointer dereferences. the majority of changes are solely to quieten the analyser, as `malloc` and `calloc` are unlikely to fail, but this should at least lead to the code analysis being more readable and usable.  where functions addressed had existing failure strategies, they were used, however some functions will now silently fail rather than attempting to dereference a null pointer. if there is a preferred solution in these cases, i will be happy to implement it.  ---  - [27](https://github.com/redraincatching/coturn/security/code-scanning/27): moved use of pointer inside `else` block of null check - [42](https://github.com/redraincatching/coturn/security/code-scanning/42): added early return in case of null pointer - [69](https://github.com/redraincatching/coturn/security/code-scanning/69): added null pointer check after `malloc` - [76](https://github.com/redraincatching/coturn/security/code-scanning/76): added null pointer check after `calloc` - [77](https://github.com/redraincatching/coturn/security/code-scanning/77): added null pointer check to loop guard - [82](https://github.com/redraincatching/coturn/security/code-scanning/82): added null pointer check after `malloc` - [83](https://github.com/redraincatching/coturn/security/code-scanning/83): added null pointer check after `malloc` - [84](https://github.com/redraincatching/coturn/security/code-scanning/84): added null pointer check after `calloc` - [85](https://github.com/redraincatching/coturn/security/code-scanning/85): added null pointer check around pointer use, as done earlier in the same function - [86](https://github.com/redraincatching/coturn/security/code-scanning/86): added null pointer check after `calloc` - [90](https://github.com/redraincatching/coturn/security/code-scanning/90)/[91](https://github.com/redraincatching/coturn/security/code-scanning/91)/[92](https://github.com/redraincatching/coturn/security/code-scanning/92)/[93](https://github.com/redraincatching/coturn/security/code-scanning/93): added null pointer check to block - [94](https://github.com/redraincatching/coturn/security/code-scanning/94)/[95](https://github.com/redraincatching/coturn/security/code-scanning/95): added null pointer checks after `malloc` - [108](https://github.com/redraincatching/coturn/security/code-scanning/108): added check after `calloc` - [114](https://github.com/redraincatching/coturn/security/code-scanning/114): added check after `memcpy` - [129](https://github.com/redraincatching/coturn/security/code-scanning/129): added check after `calloc` - [145](https://github.com/redraincatching/coturn/security/code-scanning/145): added check to if guard - [146](https://github.com/redraincatching/coturn/security/code-scanning/146): added check to if guard - [154](https://github.com/redraincatching/coturn/security/code-scanning/154): added early exit with error - [165](https://github.com/redraincatching/coturn/security/code-scanning/165): added check after `malloc` - [170](https://github.com/redraincatching/coturn/security/code-scanning/170): added early null return on null pointer - [171](https://github.com/redraincatching/coturn/security/code-scanning/171): added check after `calloc`  --- ![You're dereferencing a null pointer!](https://i.makeagif.com/media/9-29-2015/YwGqu_.gif)",https://github.com/coturn/coturn/commit/b1dddb5f49613b46db4b02ab159a4ce461d89c4f
coturn/coturn,https://github.com/coturn/coturn,0f46392,tyranron,2025-09-09T08:45:29Z,"Update Debian ""trixie"" to 20250908 snapshot in Docker image",https://github.com/coturn/coturn/commit/0f46392ec1a664f510542ecf965a14d6db165a69
coturn/coturn,https://github.com/coturn/coturn,2a9b77b,redraincatching,2025-09-09T04:18:33Z,"address possible null pointer dereferences (#1744)  # addressing all remaining code scanning instances of warning C6011, null pointer dereference  this pr aims to address more static code analyser warnings, specifically null pointer dereferences. the majority of changes are solely to quieten the analyser, as `malloc` and `calloc` are unlikely to fail, but this should at least lead to the code analysis being more readable and usable.  where functions addressed had existing failure strategies, they were used, however some functions will now silently fail rather than attempting to dereference a null pointer. if there is a preferred solution in these cases, i will be happy to implement it.  ---  this is an extension of [this pull request](https://github.com/coturn/coturn/pull/1729)",https://github.com/coturn/coturn/commit/2a9b77bd0bb84d3b615141abd09c836dbe5b0189
coturn/coturn,https://github.com/coturn/coturn,98d91a7,Michael Jones,2025-09-09T04:14:56Z,"Improve const correctness in coturn (#1424)  Marking variables as const when they won't be modified after initialization helps programmers trying to understand a codebase to manage the cognative load.  This pull request uses a clang-tidy fixit (Hard to automate, since the code needs to be temporarily compiled as C++ for it to work) to try to mechanically apply the const keyword to code where the automated tool can determine that the variable won't be modified.  I then follow this up with a manual improvement pass to turnutils_uclient, where I address const correctness of local variables, as well as do some adjustments to loops and scoping to help with reducing complexity.  Co-authored-by: redraincatching <redraincatching@disroot.org> Co-authored-by: Pavel Punsky <eakraly@users.noreply.github.com>",https://github.com/coturn/coturn/commit/98d91a73cf6fa9dd523e8d037459adf31d409fc4
coturn/coturn,https://github.com/coturn/coturn,0749cd7,Pavel Punsky,2025-09-08T02:34:38Z,Update attribute values according to RFC 8656 (#1748)  Source https://datatracker.ietf.org/doc/html/rfc8656#section-18 Now conforms to RFC specification  - ADDITIONAL_ADDRESS_FAMILY (0x8000) - was (0x8032) - ADDRESS_ERROR_CODE (0x8001) - was (0x8033)  Fixes #1740,https://github.com/coturn/coturn/commit/0749cd7efd06a101bf2dbd69fb17d8b84fdfa038
coturn/coturn,https://github.com/coturn/coturn,ce72767,Jun Lyu,2025-09-07T00:46:59Z,"fixing missing dependencies in Makefile (#1739)  This PR fixes an issue in the Makefile. Specifically, previously, any modifications of files like src/apps/common/ns_turn_openssl.h would not trigger a rebuild of build/obj/ns_turn_msg.o. The PR fixes this by including them as additional dependencies.",https://github.com/coturn/coturn/commit/ce72767375b75a0646eac3b311c4906abf48bfd9
coturn/coturn,https://github.com/coturn/coturn,d124014,redraincatching,2025-09-05T17:37:58Z,"add fuzzing to ci workflows (#1745)  allow fuzzing to be performed as part of the continuous integration.  the timing of the fuzzing can be extended, and i aim to broaden the scope of the fuzz testing as well, since we currently only test the stun message parser.",https://github.com/coturn/coturn/commit/d12401442813db5852d08698d5f4635611c2d2fe
coturn/coturn,https://github.com/coturn/coturn,4399147,Lidong Yan,2025-09-05T17:36:55Z,"mainreplay: fix leak in decrypt_aes_128() (#1737)  In decrypt_aes_128() at src/apps/replay/mainreplay.c, it calls base64decode() to allocates memory in encryptedText, but forgets to free encryptedText in the end of this function. Add free() after finished using encryptedText.  Signed-off-by: Lidong Yan <502024330056@smail.nju.edu.cn>",https://github.com/coturn/coturn/commit/439914716d64a061e9e747f13f8826d9d09bee45
coturn/coturn,https://github.com/coturn/coturn,04a8e52,dependabot[bot],2025-09-05T12:20:10Z,Upgrade `actions/github-script` from 7 to 8 version (#1746)  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/coturn/coturn/commit/04a8e52e09d903df35845d6100dd0f10404f84a8
coturn/coturn,https://github.com/coturn/coturn,24e99ec,tyranron,2025-08-13T12:59:17Z,"Upgrade Debian to ""trixie"" in Docker image",https://github.com/coturn/coturn/commit/24e99eca1cf84ad83f050c957e745ed12edcfeff
coturn/coturn,https://github.com/coturn/coturn,8b55bd0,tyranron,2025-08-13T11:38:44Z,"Update Debian ""bookworm"" to 20250811 snapshot in Docker image",https://github.com/coturn/coturn/commit/8b55bd05c013a1ad883be8b6ddd88e1a7fd6d5c3
coturn/coturn,https://github.com/coturn/coturn,3cfa305,dependabot[bot],2025-08-12T11:30:02Z,Upgrade `actions/checkout` from 4 to 5 version (#1733)  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/coturn/coturn/commit/3cfa30552d4904650758441d1b8e5814e48a92da
coturn/coturn,https://github.com/coturn/coturn,c67a41f,Kai Ren,2025-08-12T10:45:21Z,Upgrade `vcpkg` to 2025.07.25 release on MSVC CI (#1734),https://github.com/coturn/coturn/commit/c67a41f5ffd106a344ff4d6e48b17576f0504f7b
