项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
davatorium/rofi,https://github.com/davatorium/rofi,81d2411,Qball Cow,2025-12-05T11:35:13Z,"[SSH] Don't make new entries for aliases, put them on a single line.  fixes: #2240",https://github.com/davatorium/rofi/commit/81d2411e890e4c4513f1ea173d760043615bdee4
davatorium/rofi,https://github.com/davatorium/rofi,b89884c,Qball Cow,2025-11-30T11:00:16Z,[Help] Indicate that a plugin is 'external' in overview.,https://github.com/davatorium/rofi/commit/b89884cb002b38656cd16d79bcc35aa3449b9b8f
davatorium/rofi,https://github.com/davatorium/rofi,ea148cb,lbonn,2025-11-12T17:20:43Z,Fix global_kb option description,https://github.com/davatorium/rofi/commit/ea148cbb467b6b7b5811e3c1cf0e3c6cff8c937e
davatorium/rofi,https://github.com/davatorium/rofi,b905f07,lbonn,2025-11-11T14:41:06Z,Unpin meson version in CI  It started causing problems with recent python versions:  ``` RuntimeError: There is no current event loop in thread 'MainThread'. ```  when running tests,https://github.com/davatorium/rofi/commit/b905f073f8bd367f9e62401eaac571eb6014def9
davatorium/rofi,https://github.com/davatorium/rofi,63b74c7,Qball,2025-10-20T08:07:42Z,[Github] Update template with environment check.,https://github.com/davatorium/rofi/commit/63b74c76f594fe622fbab35e60feca3ffd60f991
davatorium/rofi,https://github.com/davatorium/rofi,9e9ea58,Dave Davenport,2025-10-19T15:45:25Z,"[Test] Add explicit rounding, making it behave same on 64/32",https://github.com/davatorium/rofi/commit/9e9ea5852b415b4a7fc2ac19ee6f8bb3190ac10e
davatorium/rofi,https://github.com/davatorium/rofi,dfec408,Dave Davenport,2025-10-19T13:57:26Z,[Doc] Clarify 'tokenize' option.  Issue: #2218,https://github.com/davatorium/rofi/commit/dfec408342b29561672f45ae508b286ab321836f
davatorium/rofi,https://github.com/davatorium/rofi,caa69c3,Qball Cow,2025-10-07T21:04:35Z,[Script] fix missing and wrong free,https://github.com/davatorium/rofi/commit/caa69c39d808b56f85ddb24679a6d50c6a32ccf0
davatorium/rofi,https://github.com/davatorium/rofi,da898a7,Qball Cow,2025-10-02T22:43:05Z,[Helper] do NULL check on rofi_expand_path,https://github.com/davatorium/rofi/commit/da898a728a24ac6ad340d5667960d06051077477
davatorium/rofi,https://github.com/davatorium/rofi,4efe4f8,Qball Cow,2025-10-02T22:27:15Z,"Revert ""[Rofi] Check for XDG_DATA_DIRS on startup and warn if missing.""  This reverts commit 5d3a087d1b67999a7e2f4b3b4211ccc21d887c86.",https://github.com/davatorium/rofi/commit/4efe4f843f83d511f3343bce270590ec616ed4be
davatorium/rofi,https://github.com/davatorium/rofi,5d3a087,Qball,2025-10-02T10:19:29Z,[Rofi] Check for XDG_DATA_DIRS on startup and warn if missing.,https://github.com/davatorium/rofi/commit/5d3a087d1b67999a7e2f4b3b4211ccc21d887c86
