项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
espressif/esp-idf,https://github.com/espressif/esp-idf,4875518,morris,2025-12-03T17:28:56Z,Merge branch 'refactor/ppa_dma2d_fourcc' into 'master'  refactor(ppa): use fourcc for dma2d and ppa color formats  Closes IDF-14234  See merge request espressif/esp-idf!43435,https://github.com/espressif/esp-idf/commit/487551888a46971a07e33caef3312fe3a6f5cf68
espressif/esp-idf,https://github.com/espressif/esp-idf,3865eb1,morris,2025-12-03T16:19:11Z,Merge branch 'refactor/wdt_rom_impl' into 'master'  refactor(hal_wdt): esp_hal_wdt also maintains the ROM implementation  See merge request espressif/esp-idf!43891,https://github.com/espressif/esp-idf/commit/3865eb1f3faa91386aa4a85b5946d1c1a81ee3a1
espressif/esp-idf,https://github.com/espressif/esp-idf,c61b0be,Zhou Xiao,2025-12-03T11:25:59Z,Merge branch 'feat/update_libphy_for_c5_c61' into 'master'  feat(phy): update libphy to fix c5/c61 reset  Closes WIFIBUG-1548 and BT-4156  See merge request espressif/esp-idf!43853,https://github.com/espressif/esp-idf/commit/c61b0bef64e99c35fa017de8a14cfe44ffe3c293
espressif/esp-idf,https://github.com/espressif/esp-idf,b5f230a,C.S.M,2025-12-03T10:59:26Z,Merge branch 'fix/isp_build_single_core' into 'master'  fix(isp): Fix isp build error in single core  See merge request espressif/esp-idf!43939,https://github.com/espressif/esp-idf/commit/b5f230a5e8e3612dde6f140e53159192b7828750
espressif/esp-idf,https://github.com/espressif/esp-idf,dc97085,Radek Tandler,2025-12-03T08:51:59Z,Merge branch 'feature/nvs_bdl_support' into 'master'  NVS flash - added support for BDL and related host tests refactoring  Closes IDF-11987 and IDF-2512  See merge request espressif/esp-idf!41699,https://github.com/espressif/esp-idf/commit/dc97085a2e13285de6417b1050b0ba6ad04a4312
espressif/esp-idf,https://github.com/espressif/esp-idf,f873648,morris,2025-12-03T08:31:43Z,Merge branch 'feat/esp_hal_twai' into 'master'  feat(twai): graduate the hal drivers into esp_hal_twai component  Closes IDF-14102  See merge request espressif/esp-idf!43557,https://github.com/espressif/esp-idf/commit/f8736489fc1ec8d392e32d66d533e264cd2612d8
espressif/esp-idf,https://github.com/espressif/esp-idf,f92fbbc,Wan Lei,2025-12-03T06:30:00Z,Merge branch 'fix/improve_spi_and_twai_docs' into 'master'  fix(driver_twai): improve new driver API description  Closes IDFGH-16806  See merge request espressif/esp-idf!43922,https://github.com/espressif/esp-idf/commit/f92fbbcc7bd187c0c1755604cc2d7eb577b41d2d
espressif/esp-idf,https://github.com/espressif/esp-idf,dd73c7c,C.S.M,2025-12-03T03:06:58Z,fix(isp): Fix isp build error in single core,https://github.com/espressif/esp-idf/commit/dd73c7cb21ad765c9c14c3f13575f7c512ac7e23
espressif/esp-idf,https://github.com/espressif/esp-idf,d63d8ad,morris,2025-12-03T05:39:06Z,Merge branch 'ci/disable_adc_p4_eco4_test' into 'master'  comment out P4 REV2 ADC test case  See merge request espressif/esp-idf!43938,https://github.com/espressif/esp-idf/commit/d63d8ad16265308434d1d84c1fc9e460a75f6246
espressif/esp-idf,https://github.com/espressif/esp-idf,690dfd8,C.S.M,2025-12-03T05:36:01Z,Merge branch 'feat/introduce_esp32s31_hello_world' into 'master'  feat(esp32s31): Introduce esp32s31 hello world 🛸  See merge request espressif/esp-idf!43761,https://github.com/espressif/esp-idf/commit/690dfd8c795494fabf229e7dae556a909f3306a2
