项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
facebook/zstd,https://github.com/facebook/zstd,92505de,Yann Collet,2025-12-02T18:38:48Z,Merge pull request #4525 from Polaris-911/new-feature  Add RISC-V 64-bit architecture detection,https://github.com/facebook/zstd/commit/92505deb29bc17fe014ed918e67f15a84d70b230
facebook/zstd,https://github.com/facebook/zstd,f567f38,Yann Collet,2025-12-02T18:37:35Z,Merge pull request #4531 from lukaskollmer/lukas/fix-swift-build  modulemap: remove `config_macros`,https://github.com/facebook/zstd/commit/f567f38b738d12243f36897a37c7082516fb6f3e
facebook/zstd,https://github.com/facebook/zstd,9e23edc,Yann Collet,2025-12-01T23:29:12Z,Merge pull request #4494 from LecrisUT/maint-cmake  Split lib target types in their own export groups,https://github.com/facebook/zstd/commit/9e23edcf1e622d1be90d3ba226f8d88d724848aa
facebook/zstd,https://github.com/facebook/zstd,88ff5c2,Lukas Kollmer,2025-11-25T15:38:08Z,modulemap: remove `config_macros`,https://github.com/facebook/zstd/commit/88ff5c27694bdb89169383ac9fd14a6cddacc7ef
facebook/zstd,https://github.com/facebook/zstd,d462f69,Yann Collet,2025-11-24T11:01:17Z,Merge pull request #4529 from facebook/dependabot/github_actions/actions/checkout-6.0.0  Bump actions/checkout from 5.0.0 to 6.0.0,https://github.com/facebook/zstd/commit/d462f691ba6a53bd17de492656af7878c73288c8
facebook/zstd,https://github.com/facebook/zstd,e23477c,dependabot[bot],2025-11-24T05:05:06Z,Bump actions/checkout from 5.0.0 to 6.0.0  Bumps [actions/checkout](https://github.com/actions/checkout) from 5.0.0 to 6.0.0. - [Release notes](https://github.com/actions/checkout/releases) - [Commits](https://github.com/actions/checkout/compare/v5...v6)  --- updated-dependencies: - dependency-name: actions/checkout   dependency-version: 6.0.0   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/facebook/zstd/commit/e23477ce3e387279339e68b91ec5feffe432eb3c
facebook/zstd,https://github.com/facebook/zstd,448cd34,Yann Collet,2025-11-03T14:51:17Z,Merge pull request #4522 from facebook/dependabot/github_actions/github/codeql-action-4.31.2  Bump github/codeql-action from 3.30.1 to 4.31.2,https://github.com/facebook/zstd/commit/448cd340879adc0ffe36ed1e26823ee2dcb3217b
facebook/zstd,https://github.com/facebook/zstd,71146f5,黄尚诚10330306,2025-11-03T08:37:05Z,Add RISC-V 64-bit architecture detection,https://github.com/facebook/zstd/commit/71146f5b6d975d0b6d20426ee14ce28afbfb0d5a
facebook/zstd,https://github.com/facebook/zstd,273ab1b,dependabot[bot],2025-11-03T05:08:56Z,Bump github/codeql-action from 3.30.1 to 4.31.2  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.30.1 to 4.31.2. - [Release notes](https://github.com/github/codeql-action/releases) - [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md) - [Commits](https://github.com/github/codeql-action/compare/f1f6e5f6af878fb37288ce1c627459e94dbf7d01...0499de31b99561a6d14a36a5f662c2a54f91beee)  --- updated-dependencies: - dependency-name: github/codeql-action   dependency-version: 4.31.2   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/facebook/zstd/commit/273ab1bbdf479f68a25290d25e540cd41f9dacf5
facebook/zstd,https://github.com/facebook/zstd,a25c1fc,Yann Collet,2025-10-27T14:15:00Z,Merge pull request #4519 from facebook/dependabot/github_actions/actions/upload-artifact-5  Bump actions/upload-artifact from 4 to 5,https://github.com/facebook/zstd/commit/a25c1fc96f431e69abea38f52cb31e6bc074e9f1
facebook/zstd,https://github.com/facebook/zstd,129769d,dependabot[bot],2025-10-27T05:18:47Z,Bump actions/upload-artifact from 4 to 5  Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 4 to 5. - [Release notes](https://github.com/actions/upload-artifact/releases) - [Commits](https://github.com/actions/upload-artifact/compare/v4...v5)  --- updated-dependencies: - dependency-name: actions/upload-artifact   dependency-version: '5'   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/facebook/zstd/commit/129769d04c459866697391d0e21f0121a614052d
facebook/zstd,https://github.com/facebook/zstd,711e17d,Yann Collet,2025-10-26T21:40:00Z,Merge pull request #4491 from facebook/cmake_root  [cmake] propose a root wrapper,https://github.com/facebook/zstd/commit/711e17da98510a3567bf47f85a08a76f64811474
