项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,c9ab2b6,WillyJL,2025-12-01T13:01:35Z,Infrared: Fix infrared CLI plugin MissingImports (#4312),https://github.com/flipperdevices/flipperzero-firmware/commit/c9ab2b6827fc4d646e98ad0fc15a264240b58986
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,cd79d4f,RebornedBrain,2025-11-25T13:58:10Z,Fix Felica standard loading from nfc file (#4311),https://github.com/flipperdevices/flipperzero-firmware/commit/cd79d4f689857c1cfcef6114f39606c07e180469
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,7518dc7,Mykhailo Shevchuk,2025-11-06T19:54:50Z,Returning fix for reading PWD locked MFUL (#4295)  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/flipperdevices/flipperzero-firmware/commit/7518dc73c285faa3528095874bfefde3c1386cfd
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,f4c92dc,Nathan N,2025-11-06T19:34:21Z,Fix MIFARE Plus SL1 sector overrun issue in state machine (#4288)  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/flipperdevices/flipperzero-firmware/commit/f4c92dcd76d9c29e184d245cb493d0aa86809c40
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,c873eb5,Nathan N,2025-11-06T19:05:16Z,Fix Ultralight EV1 regression (#4287)  * Fix EV1 regression introduced in e7634d7  * ./fbt format  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com> Co-authored-by: hedger <hedger@nanode.su>,https://github.com/flipperdevices/flipperzero-firmware/commit/c873eb5e3692c18369e732390c280288e2eae3cc
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,a42e30f,Zinong Li,2025-11-06T18:45:52Z,"NFC FeliCa Minor Fix: `FelicaPollerEventType` should only be `Incomplete` if the tag is FeliCa Lite (#4279)  * poller read is only incomp if in Lite workflow  * another small fix for the ""255/28 pages read"" bug  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com>",https://github.com/flipperdevices/flipperzero-firmware/commit/a42e30f394b809ad3df10586fc3148193f37cc41
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,6d93a90,Zinong Li,2025-11-06T18:37:33Z,NFC lib: Expose `nfc_common.h` (#4283)  * expose nfc_common.h  * Update api_symbols.csv  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/flipperdevices/flipperzero-firmware/commit/6d93a90a0a94a14674bda691e850c7d1f3f9e769
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,6c83a67,Zinong Li,2025-11-06T18:30:02Z,"NFC FeliCa Improvement: Dump All Systems (#4293)  * polling system code done  * select service done  * select system fixes. works fine now  * clean up select sys by idx  * reading, saving, loading done. render wrong  * render first layer works  * render fixed  * fix Lite Render triage  * regression Lite rendering  * sync API with 1.40 release  * clean up and lint  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com>",https://github.com/flipperdevices/flipperzero-firmware/commit/6c83a67173858cda38ed66fef0d7c197d5afac2e
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,b54d630,hedger,2025-11-06T16:40:18Z,lib: infrared: fixed doxygen declarations to match implementation (#4305),https://github.com/flipperdevices/flipperzero-firmware/commit/b54d63037b1764268cf16191d79dadc9e4fcd089
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,6a5ae6c,MMX,2025-11-06T16:23:59Z,"Infrared Universal remote DBs unit test & move infrared_signal / infrared_brute_force into lib (#4284)  * make infrared db unit tests  * fix the tests, no assets are in asset folder oh no  * fix formate  * ship ir app along with unit_test pkg  * libify ir signal and bruteforce parts  * small cleanup  * api: removed infrared methods (you can link with the lib if needed), unit_tests, infrared: adjusted to link with ir lib; api: added `__aeabi_f2d`  ---------  Co-authored-by: hedger <hedger@users.noreply.github.com> Co-authored-by: hedger <hedger@nanode.su>",https://github.com/flipperdevices/flipperzero-firmware/commit/6a5ae6cc0dee6ade5803905ec75d831be5ee5102
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,67b906e,an5t,2025-11-06T15:31:17Z,github: fail submit_sdk on catalog api error (#4294)  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/flipperdevices/flipperzero-firmware/commit/67b906e6ba8a09aee1cf6a0230e5879aa1dd0a7d
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,772c944,Alexey Zakharov,2025-11-06T13:21:44Z,"Devboard docs update (#4301)  Wi-Fi devboard pinout added, updated devboard hardware image, fixed the schematics link, and corrected typos.  Co-authored-by: hedger <hedger@users.noreply.github.com>",https://github.com/flipperdevices/flipperzero-firmware/commit/772c944163b3d82b2aebba1b3e497080b6c74578
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,468cc45,RebornedBrain,2025-10-08T13:26:48Z,Fix wrbl command tooltip (#4291)  Co-authored-by: hedger <hedger@users.noreply.github.com>,https://github.com/flipperdevices/flipperzero-firmware/commit/468cc45f90757b15a05ae804699a29b45dd5246f
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,8ae710e,WillyJL,2025-10-08T11:13:36Z,VSCode: Reduce file watcher resource usage (#4292),https://github.com/flipperdevices/flipperzero-firmware/commit/8ae710edecc2538ef5137c132d9123794331eda5
flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,85b6b2b,Zinong Li,2025-10-01T14:54:08Z,"NFC FeliCa: Service Directory Traverse + Dump All Unencrypted-Readable Services' Blocks (#4254)  * SimpleArray attached to FelicaData  * tx rx done. response parsing done (in log)  * dynamic vector as buffer. rendering begin  * On screen render for directory tree  * flags in render to indicate is_public_readable  * beautify render flags  * format  * offload dynamic vector into individual files  * saving. exposed dir tree writing for double use  * save: additional formatting  * save: clean up and some additional notes  * load done  * delete unnecessary debug log  * Load: safer way to handle backward compatibility  `parsed` being true is only contingent on whether the header (device type, UID, etc) are correctly read. The detailed data can be absent if saved from previous versions.  Side effects: 1. The data format version number must not increment. 2. Newer sections of dumps must be appended in the end of the file.  * format  * handle block reading according to IC type  Old version was aimed for FeliCa Lite dumping, which doesn't apply to FeliCa standard. Thus they need to be diverged in the poller run workflow.  * read block content works. rendering begin  * Render Refactor: dir & dump view from submenu  * Render: show IC type name  * IC parsing function cleanup  * Revert ""IC parsing function cleanup""  This reverts commit ee3f7bf125b54b10d238b0aeb657ba15f27f93ba.  * Load: Standard dump. Fully backward compatible  * format  * sync API version  * format saved file  * delete unused variable  * clean ups  * IC type addition  * correction  * beautify attribute parsing  * correction  * Lite save: delete extra line  * correction: FeliCa link in Lite-S mode  * format  * Save: simplify printing  * update IC type parsing  * conform to api standard: const resp ptr to ptr  also slightly faster and more readable block dump loop  * disambiguate workflow type vs ic type  It was too confusing to have the ic name string telling you one thing and ic_type enum saying the other. Might as well use better naming to indicate the use case for the two things  * beautify on device render  * reject dynamic_vector, embrace m-array  * lint  * use full variable name  * partial fix: poller context's data proper init  * edit unit test dump IC code  and a small bug fix for the Lite auth workflow  * unit test felica dump PMm correction  * Fixes for static analysis warnings  ---------  Co-authored-by: hedger <hedger@nanode.su> Co-authored-by: hedger <hedger@users.noreply.github.com>",https://github.com/flipperdevices/flipperzero-firmware/commit/85b6b2b8966552a3cd49bf29eae7b0da771dcfa8
