项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,152b208,Benjamin DELPY,2025-05-11T22:32:29Z,Update kull_m_string.c to fix 2 bad LocalFree,https://github.com/gentilkiwi/mimikatz/commit/152b208916c27d7d1fc32d10e64879721c4d06af
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,0c611b1,Benjamin DELPY,2024-01-05T09:06:47Z,Merge pull request #439 from chunhualiu/master  [change] Convert pointer to DWORD_PTR first to eliminate compile warning,https://github.com/gentilkiwi/mimikatz/commit/0c611b1445b22327fcc7defab2c09b63b4f59804
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,59852b7,Chunhua Liu,2024-01-05T08:56:17Z,[change] Convert pointer to DWORD_PTR first to eliminate compile warning.,https://github.com/gentilkiwi/mimikatz/commit/59852b78134a8bb3cfd489546112b795c9543982
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,ac143b4,Benjamin DELPY,2023-11-09T22:47:40Z,Merge pull request #432 from SLiNv/master  Added Windows 11's Structure offset and updated key+IV offset for decryption,https://github.com/gentilkiwi/mimikatz/commit/ac143b45a538132ab12de310d7f211159fcdffe1
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,a2ac617,blackcat,2023-08-03T08:55:55Z,Updated LsaSrvReferences and LsaInitializeProtectedMemory_KEY for parsing Windows 11's dump file,https://github.com/gentilkiwi/mimikatz/commit/a2ac6176385294fd8fecdd1acb2c0cbce2dfaa76
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,a1fe342,Benjamin DELPY,2023-07-24T08:56:21Z,Update appveyor.yml,https://github.com/gentilkiwi/mimikatz/commit/a1fe3421cccb4920cfe8f373dffdad9ff4e1c580
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,ee4c009,Benjamin DELPY,2023-07-24T08:44:26Z,Update appveyor.yml,https://github.com/gentilkiwi/mimikatz/commit/ee4c009b6e9d185fb4a8f1706dd0c7c115758c9d
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,f714190,Benjamin DELPY,2023-07-24T08:42:50Z,Update appveyor.yml,https://github.com/gentilkiwi/mimikatz/commit/f714190d956d6cedb1355599ebd8ba69e027d1d6
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,9ee2e84,Benjamin DELPY,2023-07-24T08:40:51Z,Update appveyor.yml,https://github.com/gentilkiwi/mimikatz/commit/9ee2e84129d71a84841ac545c5e30884437cc205
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,6301d4d,Benjamin DELPY,2023-07-24T08:37:08Z,Update appveyor.yml,https://github.com/gentilkiwi/mimikatz/commit/6301d4d50d2fe26bc3ac3a2961d6afa8179f7d71
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,fdce5e8,Benjamin DELPY,2023-07-24T08:14:02Z,Update appveyor.yml,https://github.com/gentilkiwi/mimikatz/commit/fdce5e8b5caf2f2ef187f64a6e82f976ae1b4dfc
