项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,a61f178,Geoff Greer,2020-12-17T01:09:07Z,Merge pull request #1424 from sanjaymsh/ppc64le  Travis-ci: added support for ppc64le,https://github.com/ggreer/the_silver_searcher/commit/a61f1780b64266587e7bc30f0f5f71c6cca97c0f
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,0da08b7,sanjay-cpu,2020-12-11T07:18:23Z,Travis-ci: added support for ppc64le,https://github.com/ggreer/the_silver_searcher/commit/0da08b76af44140de931197c5059f205981a69a4
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,5a1c8d8,Geoff Greer,2020-07-04T19:27:44Z,Fix test.,https://github.com/ggreer/the_silver_searcher/commit/5a1c8d83ba1514ca8d045ba80403f93772fb371a
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,cb9941b,Geoff Greer,2020-07-04T19:22:31Z,Merge pull request #1393 from JFLarvoire/winget  Document how to install ag.exe for Windows using winget,https://github.com/ggreer/the_silver_searcher/commit/cb9941b4bbcd63c7f565fe3b5f46af571f682e07
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,ed0fe56,JFLarvoire,2020-06-29T16:17:37Z,Document how to install ag.exe for Windows using winget,https://github.com/ggreer/the_silver_searcher/commit/ed0fe56e79690b7dca2dac6b432bd239ce46d913
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,5600c1b,Geoff Greer,2020-06-26T18:49:34Z,Merge pull request #1389 from aswild/getenv-segfault  options: fix segfault when TERM or HOME isn't set,https://github.com/ggreer/the_silver_searcher/commit/5600c1b6b11c1e293cde882bac82fe9d3a6b2584
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,6169c2d,Geoff Greer,2020-06-26T18:48:57Z,Merge pull request #1392 from corelight-chris/master  Change bro filetype support to zeek.,https://github.com/ggreer/the_silver_searcher/commit/6169c2d608e680dcc889f9f8fa0858f12b351319
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,9b23390,Geoff Greer,2020-06-26T18:48:44Z,Merge pull request #1390 from matthewhughes934/fix-list_file_types-test  Add missing whitespace to test,https://github.com/ggreer/the_silver_searcher/commit/9b23390076b33cb8807599ede7a150feb19d0ea8
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,01f2a97,Christopher M. Hobbs,2020-06-25T22:19:16Z,Change bro filetype support to zeek.,https://github.com/ggreer/the_silver_searcher/commit/01f2a97ab6609e6a9702a4d51ff674054604d457
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,0da483f,Allen Wild,2020-06-22T15:13:11Z,"tests: add empty_environment test, fix whitespace in list_file_types  Verify that ag works with no environment variables set.",https://github.com/ggreer/the_silver_searcher/commit/0da483f0a58f42d6d00c765a4f509890a2a7ebd3
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,d949e71,Matthew Hughes,2020-06-22T14:43:57Z,Add missing whitespace to test  This fixes the failing test.  * Add missing indentation (missed in c95d72f) * Add missing newline at end of file (removed with 328afb2),https://github.com/ggreer/the_silver_searcher/commit/d949e71d9d74730eaea438bedd9c8554f4d9b817
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,1dae7a2,Allen Wild,2020-06-22T04:12:34Z,"options: fix segfault when TERM or HOME isn't set  Regression from 3289ab8fba2141211487ef0572c995b122b5ad7b, if TERM isn't set in the environment, getenv returns NULL which we shouldn't strcmp. Similarly guard against using home_dir if it's null when looking for global gitignore files.  This can be reproduced and tested with `env -i ./ag foo`.",https://github.com/ggreer/the_silver_searcher/commit/1dae7a25a340985c4db03fa4b31f9e1b987b61d1
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,a9917e4,Geoff Greer,2020-06-21T00:09:43Z,Merge pull request #1326 from Redfoxymoon/master  midipix support,https://github.com/ggreer/the_silver_searcher/commit/a9917e449016b93cf1c93a769168e6c130d1d223
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,cd0705f,Geoff Greer,2020-06-21T00:09:22Z,Merge pull request #1350 from sergeyklay/feature/zephir-support  Add Zephir support,https://github.com/ggreer/the_silver_searcher/commit/cd0705f12a5769aa4d1dfae635dc852400db0b89
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,8a7032e,Geoff Greer,2020-06-21T00:08:02Z,Merge pull request #1387 from yymm/master  Add support for Vue SFC,https://github.com/ggreer/the_silver_searcher/commit/8a7032e89bb0956a651c5bdac8de6af84bf199d9
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,f7b15a0,Geoff Greer,2020-06-21T00:07:50Z,Merge pull request #1384 from felipefiali/master  Add support for Bazel files,https://github.com/ggreer/the_silver_searcher/commit/f7b15a0b038618243690c67dc1dfa4fa51b1252b
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,3f6ecb6,Geoff Greer,2020-06-21T00:07:07Z,Merge pull request #1377 from shlomif/fix-multi-defs-of-globals  Fix multiple global symbols definitions.,https://github.com/ggreer/the_silver_searcher/commit/3f6ecb6c02f147d5d180b9d85373e74c83f675ec
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,092d73b,Geoff Greer,2020-06-20T01:40:58Z,Merge pull request #1330 from MicahElliott/clojure-add-edn-file-type  Add .edn file type for clojure files,https://github.com/ggreer/the_silver_searcher/commit/092d73b190e2264639a6b1adfd806b59ff79782e
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,56e73c9,Geoff Greer,2020-06-20T01:40:29Z,Merge pull request #1332 from wgrr/nodefault-color  Default to no color when $TERM is dumb,https://github.com/ggreer/the_silver_searcher/commit/56e73c9f0a55a3e393d3fd3ba5e1aa9a80c99ca5
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,0aa76d6,Geoff Greer,2020-06-20T01:40:07Z,Merge pull request #1383 from Alexis-D/ad/add-gradle  Add --gradle,https://github.com/ggreer/the_silver_searcher/commit/0aa76d6bfeac57b9c26ce94f1290d86d3cd773f8
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,6342a8e,Geoff Greer,2020-06-20T00:31:59Z,Merge pull request #1374 from equwal/master  Update link to ack3,https://github.com/ggreer/the_silver_searcher/commit/6342a8ed28add082db160930a9acb7d600e8038e
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,e55cc9b,Geoff Greer,2020-06-20T00:31:45Z,Merge pull request #1372 from dzmitry-lahoda/patch-1  added fzf,https://github.com/ggreer/the_silver_searcher/commit/e55cc9baa6032395e7a33c40f2ead64d40a98c31
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,4fc15ec,Geoff Greer,2020-06-20T00:28:13Z,Merge pull request #1359 from nbarrios1337/fix_bash_completion  Update bash completion script to reflect v2.0 changes,https://github.com/ggreer/the_silver_searcher/commit/4fc15ecd70b93f68f1ca5474d93ba775df99efd7
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,594c447,Geoff Greer,2020-06-20T00:27:55Z,Merge pull request #1362 from veprbl/patch-1  README: add NixOS/Nix/Nixpkgs instructions,https://github.com/ggreer/the_silver_searcher/commit/594c447d28a3e4dcaa27da222f138906ffed476a
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,cbebe3b,yuya yano,2020-06-09T05:57:14Z,Add support for Vue SFC,https://github.com/ggreer/the_silver_searcher/commit/cbebe3b77e5c905f194adac4af7e0d8da9bab078
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,c95d72f,Felipe Fiali,2020-05-26T08:52:52Z,Add support for Bazel files,https://github.com/ggreer/the_silver_searcher/commit/c95d72f3e71f8ac212d1ffc525c9818e136446d2
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,31376c9,Alexis Daboville,2020-05-22T15:24:54Z,Add --gradle,https://github.com/ggreer/the_silver_searcher/commit/31376c9c5cd49e31df3c73c60a99ddf290d91cd1
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,21eaa1c,Shlomi Fish,2020-04-15T17:23:52Z,Fix multiple global symbols definitions.  See the use of extern here:  * https://www.geeksforgeeks.org/understanding-extern-keyword-in-c/  * https://en.wikipedia.org/wiki/External_variable  * https://stackoverflow.com/questions/496448/how-to-correctly-use-the-extern-keyword-in-c,https://github.com/ggreer/the_silver_searcher/commit/21eaa1c4160b868b0c5bbf59da17974429f30055
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,2936979,Spenser Truex,2020-03-28T22:41:46Z,Update link to ack3  New version has a new repo.,https://github.com/ggreer/the_silver_searcher/commit/293697938c562c07285de77788a9812a8acdc48b
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,cba17bc,Dzmitry Lahoda,2020-03-25T12:01:24Z,added fzf,https://github.com/ggreer/the_silver_searcher/commit/cba17bc01ff3bc3d91fbeb62ad3190802851369e
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,232b85b,Dmitry Kalinkin,2020-02-27T16:10:26Z,README: add NixOS/Nix/Nixpkgs instructions,https://github.com/ggreer/the_silver_searcher/commit/232b85bed5ed8e7c204d9888b23f487a1d250798
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,b93c271,Geoff Greer,2020-02-24T23:18:49Z,Merge pull request #1358 from gliptak/patch-1  Bring Ubuntu to 16.04 in Travis,https://github.com/ggreer/the_silver_searcher/commit/b93c2719933d8824d749bfa8573cc02e4f050c10
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,8600468,Nicolas Barrios,2020-02-21T19:01:01Z,Updated bash completion script to reflect v2.0 changes,https://github.com/ggreer/the_silver_searcher/commit/860046891cce1088477f83fed6888f541868aa50
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,9fc018f,Gábor Lipták,2020-02-18T15:26:31Z,Bring Ubuntu to 16.04 in Travis,https://github.com/ggreer/the_silver_searcher/commit/9fc018f0f123cfede05825e0929edd8ebb9f5198
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,a509a81,Geoff Greer,2020-01-10T19:25:39Z,Fix formatting.,https://github.com/ggreer/the_silver_searcher/commit/a509a8172b4a67803e1b367bf4356450bc97130b
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,de3e3c7,Geoff Greer,2020-01-10T19:23:05Z,Merge pull request #1354 from emoses/master  Fix ignore patterns in subdirectories with leading slashes,https://github.com/ggreer/the_silver_searcher/commit/de3e3c7cac2d9cf8fa87900832d267fb1c76f966
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,755c6e5,Evan Moses,2020-01-10T01:34:44Z,"Fix ignore patterns in subdirectories with leading slashes  Currenetly if you have an ignore file in a subdirectory ""sub"" with a pattern like     /ignorethis The directory sub/ignorethis will be ignored if you run ag from within sub, but it won't be ignored if you run it from sub's parent. that is      $ ag needle  will search files in sub/ignorethis, but      $ cd sub     $ ag needle  Will not.  This is a bug",https://github.com/ggreer/the_silver_searcher/commit/755c6e5c06fc38903fa0d66be68a9c8ffa525c1b
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,328afb2,Serghei Iakovlev,2019-12-20T10:47:20Z,Add Zephir support,https://github.com/ggreer/the_silver_searcher/commit/328afb27d3d5241db22d772244d1827f04929372
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,3289ab8,Wagner Riffel,2019-08-19T01:30:01Z,default to no color when terminal is dumb  Signed-off-by: Wagner Riffel <wgrriffel@gmail.com>,https://github.com/ggreer/the_silver_searcher/commit/3289ab8fba2141211487ef0572c995b122b5ad7b
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,c1514ae,Micah Elliott,2019-08-13T17:47:17Z,Add .edn file type for clojure files  It's common that you'd want edn files to show up in your clojure searching.  https://github.com/edn-format/edn,https://github.com/ggreer/the_silver_searcher/commit/c1514aeee084433a96614817ce48760e04c30ceb
