项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
git/git,https://github.com/git/git,f0ef5b6,Junio C Hamano,2025-12-01T02:31:24Z,The fifth batch  Signed-off-by: Junio C Hamano <gitster@pobox.com>,https://github.com/git/git/commit/f0ef5b6d9bcc258e4cbef93839d1b7465d5212b9
git/git,https://github.com/git/git,aea8cc3,Junio C Hamano,2025-12-01T02:31:41Z,Merge branch 'jk/asan-bonanza'  Various issues detected by Asan have been corrected.  * jk/asan-bonanza:   t: enable ASan's strict_string_checks option   fsck: avoid parse_timestamp() on buffer that isn't NUL-terminated   fsck: remove redundant date timestamp check   fsck: avoid strcspn() in fsck_ident()   fsck: assert newline presence in fsck_ident()   cache-tree: avoid strtol() on non-string buffer   Makefile: turn on NO_MMAP when building with ASan   pack-bitmap: handle name-hash lookups in incremental bitmaps   compat/mmap: mark unused argument in git_munmap(),https://github.com/git/git/commit/aea8cc3a10c325a22a75e2d4f582db959d3854ae
git/git,https://github.com/git/git,6912d80,Junio C Hamano,2025-12-01T02:31:40Z,Merge branch 'je/doc-data-model'  Add a new manual that describes the data model.  * je/doc-data-model:   doc: add an explanation of Git's data model,https://github.com/git/git/commit/6912d80f55ad6d6598c9c6986c1035a51784a836
git/git,https://github.com/git/git,3b212a8,Junio C Hamano,2025-12-01T02:31:40Z,"Merge branch 'jc/whitespace-incomplete-line'  Both ""git apply"" and ""git diff"" learn a new whitespace error class, ""incomplete-line"".  * jc/whitespace-incomplete-line:   attr: enable incomplete-line whitespace error for this project   diff: highlight and error out on incomplete lines   apply: check and fix incomplete lines   whitespace: allocate a few more bits and define WS_INCOMPLETE_LINE   apply: revamp the parsing of incomplete lines   diff: update the way rewrite diff handles incomplete lines   diff: call emit_callback ecbdata everywhere   diff: refactor output of incomplete line   diff: keep track of the type of the last line seen   diff: correct suppress_blank_empty hack   diff: emit_line_ws_markup() if/else style fix   whitespace: correct bit assignment comments",https://github.com/git/git/commit/3b212a83feea0962d437a3d5883cdd635403fe3c
git/git,https://github.com/git/git,ffd9bb1,Junio C Hamano,2025-12-01T02:31:39Z,Merge branch 'ja/doc-synopsis-style'  Doc mark-up updates.  * ja/doc-synopsis-style:   doc: pull-fetch-param typofix   doc: convert git push to synopsis style   doc: convert git pull to synopsis style   doc: convert git fetch to synopsis style,https://github.com/git/git/commit/ffd9bb1bc7ffc635ff8687b79c23a6a0a3551185
git/git,https://github.com/git/git,0fec747,Junio C Hamano,2025-12-01T02:31:39Z,"Merge branch 'lo/repo-info-all'  ""git repo info"" learned ""--all"" option.  * lo/repo-info-all:   repo: add --all to git-repo-info   repo: factor out field printing to dedicated function",https://github.com/git/git/commit/0fec747d599c9f8b8304c97f501bf3022b99f5c8
git/git,https://github.com/git/git,b31ab93,Junio C Hamano,2025-11-26T18:22:08Z,The fourth batch  Signed-off-by: Junio C Hamano <gitster@pobox.com>,https://github.com/git/git/commit/b31ab939fe8e3cbe8be48dddd1c6ac0265991f45
git/git,https://github.com/git/git,54af646,Junio C Hamano,2025-11-26T18:32:43Z,Merge branch 'gf/win32-pthread-cond-wait-err'  Emulation code clean-up.  * gf/win32-pthread-cond-wait-err:   win32: return error if SleepConditionVariableCS fails,https://github.com/git/git/commit/54af6469044a2c7980442a84e1c3791a25a2a142
git/git,https://github.com/git/git,536d284,Junio C Hamano,2025-11-26T18:32:43Z,"Merge branch 'jk/ci-windows-meson-test-fix'  ""Windows+meson"" job at the GitHub Actions CI was hard to debug, as it did not show and save failed test artifacts, which has been corrected.  * jk/ci-windows-meson-test-fix:   ci(windows-meson-test): handle options and output like other test jobs   unit-test: ignore --no-chain-lint",https://github.com/git/git/commit/536d284f3b351c301181df9844a6abae65959c8a
git/git,https://github.com/git/git,d65eab5,Junio C Hamano,2025-11-26T18:32:42Z,"Merge branch 'pw/worktree-list-display-width-fix'  ""git worktree list"" attempts to show paths to worktrees while aligning them, but miscounted display columns for the paths when non-ASCII characters were involved, which has been corrected.  * pw/worktree-list-display-width-fix:   worktree list: quote paths   worktree list: fix column spacing",https://github.com/git/git/commit/d65eab5d303aa63cf8e6f9556d7f984eac43d3ec
git/git,https://github.com/git/git,e539545,Junio C Hamano,2025-11-26T18:32:42Z,Merge branch 'js/wincred-get-credential-alloc-fix'  Under-allocation fix.  * js/wincred-get-credential-alloc-fix:   wincred: avoid memory corruption,https://github.com/git/git/commit/e539545396d99a18835f0b1c09172082389bc9b5
git/git,https://github.com/git/git,35eaf96,Junio C Hamano,2025-11-26T18:32:42Z,Merge branch 'js/cmake-libgit-fix'  Makefile based build have recently been updated to build a libgit.a that also has reftable and xdiff objects; CMake based build procedure has been updated to match.  * js/cmake-libgit-fix:   cmake: stop trying to build the reftable and xdiff libraries,https://github.com/git/git/commit/35eaf96addb428fa22913f1091782a4002adfd61
git/git,https://github.com/git/git,eb474aa,Junio C Hamano,2025-11-26T18:32:41Z,"Merge branch 'js/mingw-assign-comma-fix'  The ""return errno = EFOO, -1"" construct, which is heavily used in compat/mingw.c and triggers warnings under ""-Wcomma"", has been rewritten to avoid the warnings.  * js/mingw-assign-comma-fix:   mingw: avoid the comma operator",https://github.com/git/git/commit/eb474aa7e60b9d7d9ffdd6bac6451ebfba71d8e6
