项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
glfw/glfw,https://github.com/glfw/glfw,dbadda2,Camilla Löwy,2025-08-14T16:03:35Z,Formatting,https://github.com/glfw/glfw/commit/dbadda26835ec5089ef922e6c290bcf58cf12056
glfw/glfw,https://github.com/glfw/glfw,08449b7,Camilla Löwy,2025-11-25T18:46:34Z,Linux: Add missing header for ioctl  Fixes #2778,https://github.com/glfw/glfw/commit/08449b71830c82d5341b97d3eb84261106552ace
glfw/glfw,https://github.com/glfw/glfw,1ce855b,Camilla Löwy,2025-09-01T16:43:26Z,Wayland: Fix missing checks for optional protocol,https://github.com/glfw/glfw/commit/1ce855b0b1c8c7418ef2925d75f3b7f366ff5cd1
glfw/glfw,https://github.com/glfw/glfw,ebff660,Camilla Löwy,2025-09-01T15:27:07Z,Simplify test for shared library build,https://github.com/glfw/glfw/commit/ebff6606ee1e30f12859c6c308452110022a4aa8
glfw/glfw,https://github.com/glfw/glfw,162896e,Doug Binks,2025-11-14T16:35:47Z,Wayland: free modules at end of terminate function  - Fixes #2744,https://github.com/glfw/glfw/commit/162896e5b9a40dc382c5c438cd12c90a5ff86ddd
glfw/glfw,https://github.com/glfw/glfw,9363075,Doug Binks,2025-11-08T10:37:52Z,"X11: Clamp w,h in glfwSetWindowSize to >= 1   -  prevents BadValue error and program exit",https://github.com/glfw/glfw/commit/936307558ee25bf5d50d7ecf22972efd4c3abd4f
glfw/glfw,https://github.com/glfw/glfw,4df5129,Drew Weymouth,2025-09-06T14:33:27Z,X11: check crtcInfo for NULL when polling monitors,https://github.com/glfw/glfw/commit/4df5129529b1af57d04a51f09145da5079822c3e
glfw/glfw,https://github.com/glfw/glfw,6de70d8,Ivor Wanders,2025-08-09T15:13:20Z,"X11: Prevent BadWindow when creating small windows  The glfwCreateWindow function ensures that the width and height are at least greater or equal than zero, but on X11 it is invalid to create a window with dimensions that equal zero, see [1].  This change ensures that the dimensions passed to XCreateWindow are at least 1 by 1.  This issue was detected in [2], where a call to glfwCreateWindow was done to request a 1x1 window, with a _glfw.x11.contentScaleX of less than 1.0 (0.958333) this results in a request for a 0x0 window which then causes an BadWindow error from X11.  [1]: https://gitlab.freedesktop.org/xorg/lib/libx11/-/blob/e003f52661679e95b51ff24e317af6178fe2a73c/specs/libX11/CH03.xml#L1333-1337 [2]: https://github.com/WerWolv/ImHex/pull/2390",https://github.com/glfw/glfw/commit/6de70d82522a8b884b1b271686707697ce193238
glfw/glfw,https://github.com/glfw/glfw,8e15281,knokko,2021-06-27T15:36:01Z,Add glfwGetGLXFBConfig native access function  This adds the glfwGetGLXFBConfig function for querying the GLXFBConfig the GLXWindow of a window.  This commit is a squashed and modified version of PR #1925 by knokko. The following changes were made by elmindreda:  The function signature was changed to handle GLXFBConfig being an opaque value in core GLX.  The function error checks were fixed and updated. The struct member name was changed.  The struct member clearing on context destruction was removed.  All documentation snippets were updated.  Closes #1925,https://github.com/glfw/glfw/commit/8e15281d34a8b9ee9271ccce38177a3d812456f8
glfw/glfw,https://github.com/glfw/glfw,621e99d,Camilla Löwy,2025-08-29T13:44:34Z,"Add glfwGetEGLConfig native access function  This adds the glfwGetEGLConfig function for querying the EGLConfig of the EGLSurface of a window.  This is a re-implementation of the PR #2045 by knokko, slightly redesigned to handle EGLConfig being an opaque type in core EGL.  Closes #2045",https://github.com/glfw/glfw/commit/621e99d53ec3a49033f59e2656436d607812f5ca
glfw/glfw,https://github.com/glfw/glfw,1a0b782,Camilla Löwy,2025-08-29T15:08:36Z,EGL: Fix error return value for glfwGetEGLSurface  This is a semantic fix only.  The behavior is unchanged.,https://github.com/glfw/glfw/commit/1a0b7827d45238e23df05f13dee47dda331bde05
glfw/glfw,https://github.com/glfw/glfw,4c64184,Camilla Löwy,2024-03-12T23:19:11Z,Remove title member from window config  The window title is already available in the window struct.,https://github.com/glfw/glfw/commit/4c64184455f393b85ca55408ece3e8c596af7050
glfw/glfw,https://github.com/glfw/glfw,bfcb98f,Camilla Löwy,2024-03-12T18:59:04Z,Replace some Doxygen aliases with Markdown,https://github.com/glfw/glfw/commit/bfcb98fb6cfcee008207f9252bd5c76a98e76e7e
glfw/glfw,https://github.com/glfw/glfw,f8582d2,Camilla Löwy,2025-08-21T21:51:45Z,Add Markdown files as sources to IDE docs target,https://github.com/glfw/glfw/commit/f8582d26d0c88c67ddee5606dcf688107e875d52
glfw/glfw,https://github.com/glfw/glfw,1fdd39c,Camilla Löwy,2025-08-21T19:36:59Z,Fix documentation target dependency  Related to #2704,https://github.com/glfw/glfw/commit/1fdd39cf3e5badfd61d051d686b21c1963bbb045
glfw/glfw,https://github.com/glfw/glfw,c9b1297,Camilla Löwy,2025-08-21T19:36:19Z,Update Doxygen version handling,https://github.com/glfw/glfw/commit/c9b129753aa3a002de90c8458e4c8121a2fe6d8a
glfw/glfw,https://github.com/glfw/glfw,04a67c8,Camilla Löwy,2025-08-28T16:56:48Z,Fix X11 clipboard compatibility description,https://github.com/glfw/glfw/commit/04a67c826718c7099c532bd90aa9d2ac97958d08
glfw/glfw,https://github.com/glfw/glfw,5c87937,Camilla Löwy,2025-08-21T17:07:33Z,Update README,https://github.com/glfw/glfw/commit/5c87937e444bef5b796f6f877bd9bcf549e3ef9f
glfw/glfw,https://github.com/glfw/glfw,63a7e8b,Camilla Löwy,2025-08-18T19:06:50Z,Add and update Wayland-specific notes in docs  Fixes #2746,https://github.com/glfw/glfw/commit/63a7e8b7f82497b0459acba5c1ce7f39aa2bc0e8
glfw/glfw,https://github.com/glfw/glfw,acb9294,Doug Binks,2025-08-19T09:30:52Z,"Revert readme for ""Wayland: Keyboard leave event handler now processes key repeats""",https://github.com/glfw/glfw/commit/acb92944d4e97e6efa36057927c9fcf114710226
glfw/glfw,https://github.com/glfw/glfw,7ef6efe,Camilla Löwy,2025-08-14T19:38:37Z,"Wayland: Fix cursor position after a modal  If a modal surface like the window menu was active, clicking on the GLFW window content area to close it would correctly emit the cursor enter event but would not propagate the cursor position from the event.",https://github.com/glfw/glfw/commit/7ef6efeb662e0833645e4b03b910e054fc7d8a85
glfw/glfw,https://github.com/glfw/glfw,3cf9f67,Camilla Löwy,2025-08-18T14:17:55Z,"Wayland: Fix fallback decoration cursor updating  When a click through to the fallback decorations caused the end of a modal like the window menu, the cursor shape would not be updated until the next time the cursor moved.  This commit adds an update of the cursor for the pointer enter event for fallback decoration surfaces, in addition to the updates at pointer motion events.",https://github.com/glfw/glfw/commit/3cf9f6726d1062c219d861755768ec5a2a238ae4
glfw/glfw,https://github.com/glfw/glfw,bfa1c42,Camilla Löwy,2025-08-14T19:19:13Z,"Wayland: Fix fallback decoration menu placement  The fallback decorations would place the menu at the wrong position, by not translating the last decoration surface position into toplevel surface coordinates.  This also limits the menu to the caption area of the top decoration surface, similar to how other toolkits work.",https://github.com/glfw/glfw/commit/bfa1c424e56093bc4a08184ec68543e45b468374
glfw/glfw,https://github.com/glfw/glfw,0d2d85d,Doug Binks,2025-08-15T09:27:59Z,"Revert ""Wayland: Keyboard leave event handler now processes key repeats""",https://github.com/glfw/glfw/commit/0d2d85d19c16ae936fb6b076a1a9ccdd732e65c0
glfw/glfw,https://github.com/glfw/glfw,768e81a,Jan Hendrik Farr,2024-05-30T23:42:53Z,"Wayland: Fix key repeat halting  Key repeat shoud only be halted when the repeating key is released, not when another key is released.",https://github.com/glfw/glfw/commit/768e81a0eb3ae411d108168fdff7cd3335f2a34a
glfw/glfw,https://github.com/glfw/glfw,161fb1b,Camilla Löwy,2025-07-18T14:35:57Z,Wayland: Fix fallback decoration scroll events  The fallback decorations would emit scroll events as if scrolling had occurred over the content area of the window.,https://github.com/glfw/glfw/commit/161fb1b6f6adaf92a88a922bb2d974fb62e911d1
