项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
gojue/ecapture,https://github.com/gojue/ecapture,24ab575,Hugo,2025-12-04T05:07:14Z,fix(ecaptureq): adjust heartbeat frequency and trigger immediate ping (#884),https://github.com/gojue/ecapture/commit/24ab5753c4f421e92b9f3209efefffec2e69d312
gojue/ecapture,https://github.com/gojue/ecapture,5e7fb92,Jatin,2025-12-04T04:36:27Z,"fix: use actual data_len while reading payload (#882)  This PR fixes a bug in the Go TLS kernel tracing code where the wrong length was being used when reading payload data from user space. The fix ensures that only the actual data length (capped at the maximum buffer size) is read, rather than always reading the full buffer size.  Replaces simple bit masking with proper length capping logic Uses calculated event->data_len instead of sizeof(event->data) in bpf_probe_read_user() calls Adopts the BPF-verifier-friendly length calculation pattern used in other SSL/TLS interception modules",https://github.com/gojue/ecapture/commit/5e7fb920944254be45dee6fafa98c21c59a4e182
gojue/ecapture,https://github.com/gojue/ecapture,5223547,Copilot,2025-12-02T13:27:34Z,fix: prevent nil pointer panic in gnutls probe when setup fails (#879)  * fix: prevent panic when bpfManager is nil in gnutls probe  Move pcapFilter handling after the error check in MGnutlsProbe.start() to prevent nil pointer dereference when setupManagersPcap() fails.   ---------  Co-authored-by: copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com> Co-authored-by: cfc4n <709947+cfc4n@users.noreply.github.com>,https://github.com/gojue/ecapture/commit/5223547751aa4c58315518e4ee953359339135dc
gojue/ecapture,https://github.com/gojue/ecapture,5e44bd4,CFC4N,2025-11-29T12:45:02Z,doc: update PR Agent profile  Signed-off-by: CFC4N <cfc4n.cs@gmail.com>,https://github.com/gojue/ecapture/commit/5e44bd4a46635374a485ba8a7ebb9db47cf5535f
gojue/ecapture,https://github.com/gojue/ecapture,bfa0b33,CFC4N,2025-11-29T12:41:35Z,chore  Signed-off-by: CFC4N <cfc4n.cs@gmail.com>,https://github.com/gojue/ecapture/commit/bfa0b33fad0261b4c8eff6805f1b90d05e1667fc
gojue/ecapture,https://github.com/gojue/ecapture,5d3f4d4,CFC4N,2025-11-29T12:39:29Z,feat:  add eCapture PR  Agent Profile. (#878)  * feat: add eCapture Issue Responder template for Copilot Agent. * feat: add draft for eCapture Auto PR Agent profile   ---------  Signed-off-by: CFC4N <cfc4n.cs@gmail.com>,https://github.com/gojue/ecapture/commit/5d3f4d4cb78b0b6551ff8c15942193cfaceb612f
gojue/ecapture,https://github.com/gojue/ecapture,b6b259d,CFC4N,2025-11-25T13:44:28Z,feat: add eCapture Issue Responder template for Copilot Agent. (#873)  Signed-off-by: CFC4N <cfc4n.cs@gmail.com>,https://github.com/gojue/ecapture/commit/b6b259da48217d35509eae286ba0c632ee9e032d
gojue/ecapture,https://github.com/gojue/ecapture,00c2058,Hugo,2025-11-25T13:20:14Z,"docs: update READMEs with protobuf protocol links and refactor visualizer docs (#869)  * docs: update READMEs with protobuf protocol links and refactor visualizer docs  - Add ""Protobuf Protocols"" section to README.md, README_CN.md, and README_JA.md linking to protocol details. - Rewrite `utils/protobuf_visualizer/README.md` in English:   - Simplify usage instructions and command-line flags.   - Rename tool description to ""eCapture Protobuf Debugger"".   - Remove verbose legacy documentation.  * update protocol docs",https://github.com/gojue/ecapture/commit/00c205823305f63b2d5114e001bcaead4e6fc48b
gojue/ecapture,https://github.com/gojue/ecapture,55c2be3,Copilot,2025-11-24T13:44:40Z,Add protobuf-based WebSocket client example and fix ecaptureq documentation (#868)  * Initial plan  * Add ecaptureq WebSocket client example with protobuf support  Co-authored-by: cfc4n <709947+cfc4n@users.noreply.github.com>  * Fix ecaptureq README to accurately document protobuf protocol  Co-authored-by: cfc4n <709947+cfc4n@users.noreply.github.com>  * Address code review feedback: add constant and improve comments  Co-authored-by: cfc4n <709947+cfc4n@users.noreply.github.com>  * Add comprehensive testing guide for ecaptureq client  Co-authored-by: cfc4n <709947+cfc4n@users.noreply.github.com>  ---------  Co-authored-by: copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com> Co-authored-by: cfc4n <709947+cfc4n@users.noreply.github.com>,https://github.com/gojue/ecapture/commit/55c2be306a4149f039f1a50e2bd75959866684a7
gojue/ecapture,https://github.com/gojue/ecapture,e52cfd1,dependabot[bot],2025-11-20T12:47:50Z,build(deps): bump golang.org/x/crypto from 0.38.0 to 0.45.0 (#864)  Bumps [golang.org/x/crypto](https://github.com/golang/crypto) from 0.38.0 to 0.45.0. - [Commits](https://github.com/golang/crypto/compare/v0.38.0...v0.45.0)  --- updated-dependencies: - dependency-name: golang.org/x/crypto   dependency-version: 0.45.0   dependency-type: direct:production ...  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/gojue/ecapture/commit/e52cfd1d0fb6dc638f46606d41f721e926d4fdc2
