项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
haiwen/seafile,https://github.com/haiwen/seafile,6d7aaaa,feiniks,2025-11-21T02:40:56Z,Check deleted files when delete a dir (#2969)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/6d7aaaafc5cfbf451150f75ac026cab68a3893ac
haiwen/seafile,https://github.com/haiwen/seafile,9a29317,feiniks,2025-11-21T02:31:57Z,Add log rotate (#2967)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/9a29317932470773f73386ce7584462de3354c90
haiwen/seafile,https://github.com/haiwen/seafile,f85ebed,feiniks,2025-11-21T02:30:35Z,Use canon server url (#2965)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/f85ebede4b0ce30b0f75a26bb120734e895d914e
haiwen/seafile,https://github.com/haiwen/seafile,882997f,feiniks,2025-11-18T05:57:58Z,Merge pull request #2968 from haiwen/update_index  Update index when rename with case conflict,https://github.com/haiwen/seafile/commit/882997ff7182e53e9cea80481e53f7c1bc1115ea
haiwen/seafile,https://github.com/haiwen/seafile,f0302d2,yangheran,2025-11-18T05:54:54Z,Update index when rename with case conflict,https://github.com/haiwen/seafile/commit/f0302d28abd9b242104eeb360f4a828cd6ea99b3
haiwen/seafile,https://github.com/haiwen/seafile,28f0fef,feiniks,2025-11-18T04:29:32Z,Fix rename error when name case is the same (#2966)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/28f0fef8cafeb1a94ee70a0619ea25d28597be90
haiwen/seafile,https://github.com/haiwen/seafile,5e1243c,rumtid,2025-10-25T08:40:14Z,Update build configurations of DEBUG profile (#2960),https://github.com/haiwen/seafile/commit/5e1243cf05ea2e72a84d75493d47d8641b540ae8
haiwen/seafile,https://github.com/haiwen/seafile,c39c80f,feiniks,2025-10-25T08:33:48Z,Cancel context when client is closed (#2963)  * Cancel context when client is closed  * Add comment  ---------  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/c39c80f10a6e96e285a678d74c04642dc79f1563
haiwen/seafile,https://github.com/haiwen/seafile,ec36616,feiniks,2025-10-25T06:55:14Z,Set UserAgent for notification server request (#2959)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/ec366168d7531436e20afe930498540764f3c826
haiwen/seafile,https://github.com/haiwen/seafile,6930a57,feiniks,2025-09-23T04:44:28Z,Ignore Documnets index error (#2947)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/6930a571b3eeaae490c0e77e7be766f3799150ce
haiwen/seafile,https://github.com/haiwen/seafile,ad7e30d,rumtid,2025-08-06T05:51:15Z,Update version to 9.0.15,https://github.com/haiwen/seafile/commit/ad7e30d03bd1f490cee83df8953d6261d7473152
haiwen/seafile,https://github.com/haiwen/seafile,d483f83,feiniks,2025-07-05T09:23:46Z,Add rewind func to handle http redirect (#2932)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/d483f83dd59006cabd4ff61a89339bc941cf9bc8
haiwen/seafile,https://github.com/haiwen/seafile,852f1d0,feiniks,2025-06-23T04:02:47Z,Set fs-id-list timeout to 1800s (#2929)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/852f1d0112a12905291ae2c965e34719ca93decd
haiwen/seafile,https://github.com/haiwen/seafile,29aeb1d,feiniks,2025-06-13T06:11:45Z,Fix free path error (#2926)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/29aeb1d4d142100558b3d4e66de8f588cf1fce10
haiwen/seafile,https://github.com/haiwen/seafile,ed1e5db,rumtid,2025-06-10T06:41:25Z,Fix building scripts (#2921),https://github.com/haiwen/seafile/commit/ed1e5db5e2c1a86d5079f6d1357389f3389ee675
haiwen/seafile,https://github.com/haiwen/seafile,e6b18a4,rumtid,2025-06-09T02:57:25Z,Update version to 9.0.14,https://github.com/haiwen/seafile/commit/e6b18a46f8e1c96600b77d006ad4e770986db7a5
haiwen/seafile,https://github.com/haiwen/seafile,579dd01,feiniks,2025-06-06T09:38:06Z,Update folder mtime when file is changed (#2919)  * Update folder mtime when file is changed  * Set parent folder mtime to local time  * Adjust code  * Adjust code  * Delete comment  ---------  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/579dd018ef83e8a2d1d77975f9ed01d48de1bc18
haiwen/seafile,https://github.com/haiwen/seafile,1099e51,feiniks,2025-06-05T10:37:14Z,Start to check enc repo blocks after start (#2917)  * Start to check enc repo blocks after start  * Add comment and set empty_enc_key  ---------  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/1099e51dc2fae0e7c8579692456b42f30db86b00
haiwen/seafile,https://github.com/haiwen/seafile,35c7126,rumtid,2025-05-24T04:05:29Z,Update build configurations of DEBUG profile (#2915),https://github.com/haiwen/seafile/commit/35c7126269792a87eba9c31706a014828e19e7b3
haiwen/seafile,https://github.com/haiwen/seafile,9f3c959,feiniks,2025-05-24T03:38:44Z,Stop sync when encrypted files can be decrypted by empty enc key (#2914)  * Stop sync when encrypted files can be decrypted by empty enc key  * Don't need set empty_enc_key in sync info  ---------  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/9f3c959a4052c5b38a437c3ca2d75e5ceba41ad8
haiwen/seafile,https://github.com/haiwen/seafile,4db12ed,feiniks,2025-05-20T08:37:10Z,"Skip index error for My Music, My Pictures and My Videos (#2905)  Co-authored-by: yangheran <heran.yang@seafile.com>",https://github.com/haiwen/seafile/commit/4db12ed2e3781737ef1c9e8e9e898bbb5fe1c8c5
haiwen/seafile,https://github.com/haiwen/seafile,03c8ee8,feiniks,2025-05-20T07:53:35Z,Check if load repo password success (#2911)  * Check if repo enc key is zero and use all zero key to decrypt block  * Add corrupted enc key sync error  ---------  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/03c8ee85f1c0e4194f93e125ed3c9588cf2f5df8
haiwen/seafile,https://github.com/haiwen/seafile,a96c870,yangheran,2025-05-19T06:51:28Z,"Revert ""Distinguish between network errors and checkout errors (#2909)""  This reverts commit e0509e57d91b6899efa7a50caf9b7a6271c818b3.",https://github.com/haiwen/seafile/commit/a96c870607add24c87f780425f38cc19ff42246d
haiwen/seafile,https://github.com/haiwen/seafile,e0509e5,feiniks,2025-05-14T06:50:44Z,Distinguish between network errors and checkout errors (#2909)  * Distinguish between network errors and checkout errors  * Callback return FETCH_CHECKOUT error code  ---------  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/e0509e57d91b6899efa7a50caf9b7a6271c818b3
haiwen/seafile,https://github.com/haiwen/seafile,fc97fb6,feiniks,2025-04-17T04:15:50Z,Adjust init folder perms (#2902)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/fc97fb6d98112b9ff61726a8608a17c747a8172d
haiwen/seafile,https://github.com/haiwen/seafile,bc71a58,rumtid,2025-03-28T09:22:36Z,Update version to 9.0.13,https://github.com/haiwen/seafile/commit/bc71a5876e27a3810f3917fba1493d7487eb3876
haiwen/seafile,https://github.com/haiwen/seafile,93fa0ae,rumtid,2025-03-28T08:49:02Z,Upgrade vcpkg (#2898),https://github.com/haiwen/seafile/commit/93fa0ae5d319b006073e0c232b6698ecc142bb26
haiwen/seafile,https://github.com/haiwen/seafile,ef184c8,feiniks,2025-03-28T02:49:33Z,Support lock office file on linux (#2889)  Co-authored-by: Heran Yang <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/ef184c83af67fa550429dbe183c3fcc67ec70c3a
haiwen/seafile,https://github.com/haiwen/seafile,b863cc1,feiniks,2025-03-12T06:38:14Z,Add stopped by logout sync error (#2894)  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/b863cc110981523ba7b59e5398179489096fe62d
haiwen/seafile,https://github.com/haiwen/seafile,33e302e,feiniks,2025-02-24T10:16:07Z,Optimize renaming handling on macOS (#2888)  * Optimize renaming handling on macOS  * Add debug log for rename event  ---------  Co-authored-by: yangheran <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/33e302ed3664390a729f1cd240cd6928eb99c490
haiwen/seafile,https://github.com/haiwen/seafile,c34b12e,rumtid,2025-02-12T02:55:50Z,Update version to 9.0.12,https://github.com/haiwen/seafile/commit/c34b12e943139327d62239281da5a5d4e603e5ac
haiwen/seafile,https://github.com/haiwen/seafile,9d6359c,feiniks,2025-02-08T07:34:33Z,Check and load ca path (#2885)  Co-authored-by: Heran Yang <heran.yang@seafile.com>,https://github.com/haiwen/seafile/commit/9d6359c0d9324f5d4b52a913e45aaea3b3d939dd
