项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
hashcat/hashcat,https://github.com/hashcat/hashcat,2d71af3,Jens Steube,2025-11-20T19:30:16Z,Merge pull request #4566 from bbrtj/master  Replace deprecated Bitcoin::Crypto symbols with supported counterparts,https://github.com/hashcat/hashcat/commit/2d71af3718ef76f69c675e933cb4900c40788c58
hashcat/hashcat,https://github.com/hashcat/hashcat,d69e4d0,Jens Steube,2025-11-20T19:25:40Z,Merge pull request #4574 from ahmed-alnassif/master  doc(BUILD_Android.md): Add GitHub for better support,https://github.com/hashcat/hashcat/commit/d69e4d0007dfe0e6ba87f867f3a11f2a97523055
hashcat/hashcat,https://github.com/hashcat/hashcat,c2506be,Ahmed Al-Nassif,2025-11-19T02:06:13Z,fix(BUILD.md): Android section,https://github.com/hashcat/hashcat/commit/c2506beb2457c94b0bffb2e0599340b09615ec12
hashcat/hashcat,https://github.com/hashcat/hashcat,d64db6c,Ahmed Al-Nassif,2025-11-18T22:45:40Z,doc(BUILD_Android.md): Add GitHub for better support,https://github.com/hashcat/hashcat/commit/d64db6cf27b55172d4cc76106f3aabd9f70d0a8f
hashcat/hashcat,https://github.com/hashcat/hashcat,6c5dc35,Jens Steube,2025-11-18T18:03:44Z,Merge pull request #4570 from Foxushka/patch-1  fix: Skip unencrypted data info in luks2hashcat.py,https://github.com/hashcat/hashcat/commit/6c5dc354c5d802ead782e8be8fa298cd1dd68a1a
hashcat/hashcat,https://github.com/hashcat/hashcat,e62bc16,Jens Steube,2025-11-18T17:44:34Z,Merge pull request #4563 from ahmed-alnassif/master  Full Android/Termux support,https://github.com/hashcat/hashcat/commit/e62bc16eb9763e182ebb635f00bb5b15159f1961
hashcat/hashcat,https://github.com/hashcat/hashcat,190342d,Ahmed Al-Nassif,2025-11-17T01:25:09Z,Update BUILD.md - Alignment fix,https://github.com/hashcat/hashcat/commit/190342d20763d4bfed061130711fdbf299f72226
hashcat/hashcat,https://github.com/hashcat/hashcat,95e6124,Ahmed Al-Nassif,2025-11-17T01:08:55Z,Update Makefile - No indents,https://github.com/hashcat/hashcat/commit/95e612490a149aa864a7098b642981dd3c864f51
hashcat/hashcat,https://github.com/hashcat/hashcat,5e7bd33,Jens Steube,2025-11-16T17:48:57Z,"Merge pull request #4552 from Chick3nman/insert-after-every-rule  Add 1 new rule op, ""insert every""",https://github.com/hashcat/hashcat/commit/5e7bd33e1bae584a8beaa007c64bacff0fc02baf
hashcat/hashcat,https://github.com/hashcat/hashcat,68bb13b,Jens Steube,2025-11-16T17:48:43Z,Merge branch 'master' into insert-after-every-rule,https://github.com/hashcat/hashcat/commit/68bb13b253b3ac49cd7dc65c4b8e8dbb2d75405a
hashcat/hashcat,https://github.com/hashcat/hashcat,75b2187,Foxushka,2025-11-10T22:08:29Z,fix: Skip unencrypted data info in luks2hashcat.py,https://github.com/hashcat/hashcat/commit/75b2187adf5dadc5600d5f442b97824a55261d67
hashcat/hashcat,https://github.com/hashcat/hashcat,8fe0ae6,Jens Steube,2025-11-09T17:25:02Z,"Merge pull request #4562 from fukc-gihtub/add_n_rule  Add a new rule op, ""add byte value""",https://github.com/hashcat/hashcat/commit/8fe0ae692005a74da8b85f4925417f4cb8563c4b
hashcat/hashcat,https://github.com/hashcat/hashcat,c3e243c,Jens Steube,2025-11-09T17:23:58Z,"Merge pull request #4558 from Suyun114/architectures  Add support for LoongArch, PowerPC and MIPS",https://github.com/hashcat/hashcat/commit/c3e243cafbc52b7a1d3e48b013a9e2f08fba45e1
hashcat/hashcat,https://github.com/hashcat/hashcat,6caa155,bbrtj,2025-11-05T19:30:36Z,Replace deprecated Bitcoin::Crypto symbols with supported counterparts  Resolves #3894,https://github.com/hashcat/hashcat/commit/6caa155bb3c00f8c6d67e9f6aab4dd7c3833611c
hashcat/hashcat,https://github.com/hashcat/hashcat,66a55d2,justpretending,2025-11-03T02:32:50Z,Rename 'A' to 'B',https://github.com/hashcat/hashcat/commit/66a55d22866bde481b094b23fd59b249808a658e
hashcat/hashcat,https://github.com/hashcat/hashcat,f4eb4d9,Ahmed Al-Nassif,2025-11-02T23:14:46Z,Android support (follow code style),https://github.com/hashcat/hashcat/commit/f4eb4d976cc6a9def24a6a7b96ca3c2f0646f8b7
hashcat/hashcat,https://github.com/hashcat/hashcat,4a6cb5e,Ahmed Al-Nassif,2025-11-02T22:50:52Z,Update BUILD_Android.md,https://github.com/hashcat/hashcat/commit/4a6cb5e05a3f0af58b3d42ee7b1409babfd29bfa
