项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
iovisor/bcc,https://github.com/iovisor/bcc,7da5916,Jerome Marchand,2025-11-27T13:53:16Z,libbpf-tools/cpufreq: Print a more informative message when CPU Frequency Scaling isn't available  The cpufreq tool relies on CPU Frequency Scaling. Display a more informative message to the user when the feature isn't available than just complaining about a missing sysfs file.  Signed-off-by: Jerome Marchand <jmarchan@redhat.com>,https://github.com/iovisor/bcc/commit/7da5916622dc3a581e4c4adc3003e588657f66fa
iovisor/bcc,https://github.com/iovisor/bcc,380ee01,Jian Zhao,2025-11-12T07:21:27Z,"tools/offwaketime: Add raw tracepoint support to reduce overhead  This patch adds support for raw tracepoints in offwaketime tool to reduce overhead compared to kprobes. Raw tracepoints have lower overhead because they don't require function entry/exit instrumentation.  The implementation: - Adds RAW_TRACEPOINT_PROBE handlers for sched_switch and sched_wakeup - Creates kprobe wrapper functions for backward compatibility - Automatically selects raw tracepoints when supported, falls back to   kprobes otherwise - Refactors oncpu() function to accept both prev and next task_struct   parameters for raw tracepoint compatibility  This follows the same pattern used in other BCC tools like wakeuptime.py and runqlat.py.  Signed-off-by: Jack Zhao <jackjzhao@tencent.com>",https://github.com/iovisor/bcc/commit/380ee018bbd04e0300c811bebd88c84da59f715f
iovisor/bcc,https://github.com/iovisor/bcc,9691c56,xixiliguo,2025-11-08T16:12:24Z,Add support for fuse to fsdist and fsslower tools,https://github.com/iovisor/bcc/commit/9691c56891fb833351d3cfe69bda4a57076c3b62
iovisor/bcc,https://github.com/iovisor/bcc,fb8910a,Jerome Marchand,2025-10-09T10:23:53Z,"tools/javaobjnew: Use MIN macro instead of min function  The function min() is called among the arguments of bpf_probe_read_user(). Depending on kernel version, the expansion of the macro may emmit a fake function that prevent the compilation of the BPF code.  Replace the min() function by the MIN() macro to solve the issue. This is safe since both members of the comparison are unsigned integer.  Solves the following error: /virtual/main.c:48:36: error: cannot call non-static helper function    48 |     bpf_probe_read_user(&key.name, min(sizeof(key.name), (size_t)length), (void *)classptr);       |                                    ^ include/linux/minmax.h:129:19: note: expanded from macro 'min'   129 | #define min(x, y)       __careful_cmp(min, x, y)       |                         ^ include/linux/minmax.h:105:2: note: expanded from macro '__careful_cmp'   105 |         __careful_cmp_once(op, x, y, __UNIQUE_ID(x_), __UNIQUE_ID(y_))       |         ^ include/linux/minmax.h:100:2: note: expanded from macro '__careful_cmp_once'   100 |         BUILD_BUG_ON_MSG(!__types_ok(x,y,ux,uy),        \       |         ^ note: (skipping 2 expansions in backtrace; use -fmacro-backtrace-limit=0 to see all) include/linux/compiler_types.h:418:2: note: expanded from macro '_compiletime_assert'   418 |         __compiletime_assert(condition, msg, prefix, suffix)       |         ^ include/linux/compiler_types.h:411:4: note: expanded from macro '__compiletime_assert'   411 |                         prefix ## suffix();                             \       |                         ^ <scratch space>:91:1: note: expanded from here    91 | __compiletime_assert_317       | ^ 1 error generated. Traceback (most recent call last):   File ""/usr/share/bcc/tools/lib/uobjnew"", line 178, in <module>     bpf = BPF(text=program, usdt_contexts=[usdt])   File ""/usr/lib/python3.9/site-packages/bcc/__init__.py"", line 507, in __init__     raise Exception(""Failed to compile BPF module %s"" % (src_file or ""<text>"")) Exception: Failed to compile BPF module <text>  Signed-off-by: Jerome Marchand <jmarchan@redhat.com>",https://github.com/iovisor/bcc/commit/fb8910a8bc6e0bf6de8351318309e8638818a9db
iovisor/bcc,https://github.com/iovisor/bcc,c351210,Hoyeon Lee,2025-10-23T05:08:54Z,"tests: add coverage for versioned SONAME resolution  Add tests for bcc_procutils_which_so{_in_process}() to verify correct behavior when resolving versioned SONAME fragments.  Use library with long-stable SONAME version (libc.so.6), which have remained unchanged for over a decade and ensure deterministic results across systems.  Signed-off-by: Hoyeon Lee <hoyeon.lee@suse.com>",https://github.com/iovisor/bcc/commit/c3512104c23baff0385f9d45999ac4c09378a635
iovisor/bcc,https://github.com/iovisor/bcc,beb1fe4,Hoyeon Lee,2025-10-23T05:01:23Z,"cc: support versioned SONAME in shared library resolution  bcc_procutils_which_so() and related helpers previously handled only short library names (e.g. ""ssl""), constructing ""lib%s.so"" and selecting the first cache entry from /etc/ld.so.cache.  This change makes to recognize versioned SONAME fragments that contain "".so.x"" (e.g. ""ssl.so.3.5.3"", ""crypto.so.3""), treating such names as exact matches instead of appending another "".so"". This enables correct resolution of versioned libraries (e.g. libssl.so.3 vs libssl.so.59) while maintaining compatibility with existing short-name lookups.  This improves correctness on systems where multiple SONAME variants coexist in the cache (e.g. OpenSSL vs LibreSSL).  Related: #5412  Signed-off-by: Hoyeon Lee <hoyeon.lee@suse.com>",https://github.com/iovisor/bcc/commit/beb1fe40e1183a9068c93640e4687342d822c4e3
iovisor/bcc,https://github.com/iovisor/bcc,c208d0e,Jerome Marchand,2025-10-07T14:58:04Z,tools/tcpaccept: Fix tcpaccept on recent kernel  The tcpaccept use the relative offset of gso_max_segs and sk_lingertime_offset to check whether sk_protocol is its own field of part of a bitfield and find it's location. This is not very robust.  Use BPF.kernel_struct_has_field() to find out whether it's its own field and revert to the old workaround if it's part of a bitfield or BTF is unavailable.  Closes: #5316  Signed-off-by: Jerome Marchand <jmarchan@redhat.com>,https://github.com/iovisor/bcc/commit/c208d0e67ff8ee7ae88885d0eedb82abe6824934
iovisor/bcc,https://github.com/iovisor/bcc,1cc15c3,Jerome Marchand,2025-10-07T12:05:56Z,tools: Don't use the old bpf_probe_read() helper.  The old bpf_probe_read() helper doesn't work on s390 arch. Use bpf_probe_read_user/kernel() instead.  Signed-off-by: Jerome Marchand <jmarchan@redhat.com>,https://github.com/iovisor/bcc/commit/1cc15c3db556d2f61d0bc7cd8aedeb245ef532a1
iovisor/bcc,https://github.com/iovisor/bcc,b63d7e3,Stefan Walter,2025-10-11T08:35:41Z,re-generate syscall list (add file_getattr / file_setattr),https://github.com/iovisor/bcc/commit/b63d7e38e8a0f6339fbd57f3a1ae7297e1993d92
iovisor/bcc,https://github.com/iovisor/bcc,b3f4d6d,Jerome Marchand,2025-10-07T13:32:36Z,"libbpf-tools/javagc: Include usdt.bpf.h header  Include usdt.bpf.h header to javagc.bpf.c.  Fixes the following error: libbpf: usdt: failed to find USDT support BPF maps, did you forget to include bpf/usdt.bpf.h? attach usdt mem__pool__gc__begin failed: No such process  Signed-off-by: Jerome Marchand <jmarchan@redhat.com>",https://github.com/iovisor/bcc/commit/b3f4d6d2fc421952e8115fcf70f2551e6791f7ef
