项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
ish-app/ish,https://github.com/ish-app/ish,b9887c8,github-actions[bot],2025-11-29T06:11:36Z,Bump version to 800,https://github.com/ish-app/ish/commit/b9887c89507040ab3a08855f6f2dc7788a18599b
ish-app/ish,https://github.com/ish-app/ish,db92fb2,github-actions[bot],2025-11-29T00:52:31Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/db92fb2fdd4030da4d0507cc815bba8758325e45
ish-app/ish,https://github.com/ish-app/ish,0c998ad,github-actions[bot],2025-11-28T06:13:32Z,Bump version to 799,https://github.com/ish-app/ish/commit/0c998adb08f441a5fbdae71cd7de90cfa17bca69
ish-app/ish,https://github.com/ish-app/ish,f52d372,tbodt,2025-11-27T22:46:48Z,Merge pull request #2594 from parport0/master,https://github.com/ish-app/ish/commit/f52d372a6c279cc007c07364f44ad61e2b9b5cd3
ish-app/ish,https://github.com/ish-app/ish,69114f8,github-actions[bot],2025-11-22T06:11:26Z,Bump version to 798,https://github.com/ish-app/ish/commit/69114f815018f10228750dbfcddb006894deb3e1
ish-app/ish,https://github.com/ish-app/ish,940fb2d,github-actions[bot],2025-11-22T00:55:15Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/940fb2d52e6fe32db8295dbd02a46c9d5a0b426a
ish-app/ish,https://github.com/ish-app/ish,22d6c32,github-actions[bot],2025-11-15T06:11:24Z,Bump version to 797,https://github.com/ish-app/ish/commit/22d6c32d3541d54eefd1baa704ab2203e982f69f
ish-app/ish,https://github.com/ish-app/ish,be33cc8,github-actions[bot],2025-11-15T00:51:47Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/be33cc83551d9b9a8029865e30d0066c9e8cf3ed
ish-app/ish,https://github.com/ish-app/ish,877678f,github-actions[bot],2025-11-08T06:10:51Z,Bump version to 796,https://github.com/ish-app/ish/commit/877678ff10b3d408837c9b66889bf0dfbbcddaa8
ish-app/ish,https://github.com/ish-app/ish,ccc711e,github-actions[bot],2025-11-08T00:54:53Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/ccc711e441a6f5bd0b4dc075313f53cdd211e8f9
ish-app/ish,https://github.com/ish-app/ish,c98ef82,github-actions[bot],2025-11-01T06:10:51Z,Bump version to 795,https://github.com/ish-app/ish/commit/c98ef82adb434d610b0f6821be1a29f6d76444e8
ish-app/ish,https://github.com/ish-app/ish,1433f29,github-actions[bot],2025-11-01T00:56:38Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/1433f29fdae77e3de205af45c1d654d9ea4f9c68
ish-app/ish,https://github.com/ish-app/ish,3e7a393,github-actions[bot],2025-10-25T06:10:57Z,Bump version to 794,https://github.com/ish-app/ish/commit/3e7a3931f9b4071f6cf2d956fd22570e7f02328a
ish-app/ish,https://github.com/ish-app/ish,3ab4653,github-actions[bot],2025-10-25T00:48:08Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/3ab4653b7c26f6117f682be25d375ce74b018ad5
ish-app/ish,https://github.com/ish-app/ish,3c80928,github-actions[bot],2025-10-18T06:11:07Z,Bump version to 793,https://github.com/ish-app/ish/commit/3c80928b50e9b0732daf0beb42183f12945cae2a
ish-app/ish,https://github.com/ish-app/ish,7ad6222,github-actions[bot],2025-10-18T00:38:42Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/7ad6222b3bb0b5fee6f858d58bb0fd62db603eaa
ish-app/ish,https://github.com/ish-app/ish,f7f6b31,github-actions[bot],2025-10-11T06:10:35Z,Bump version to 792,https://github.com/ish-app/ish/commit/f7f6b3188998384a57f745b2c271be3cd4156d48
ish-app/ish,https://github.com/ish-app/ish,07070c2,github-actions[bot],2025-10-11T00:47:25Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/07070c2c763c6434286db6b43d6b1256baa4fcb5
ish-app/ish,https://github.com/ish-app/ish,8035087,github-actions[bot],2025-10-04T06:10:30Z,Bump version to 791,https://github.com/ish-app/ish/commit/803508750eeffd24f12f620ed4131d021a8ada21
ish-app/ish,https://github.com/ish-app/ish,50cf0cd,github-actions[bot],2025-10-04T00:56:23Z,Update Alpine repositories,https://github.com/ish-app/ish/commit/50cf0cd075799e514a8db817bb6472c16f1a8ba0
ish-app/ish,https://github.com/ish-app/ish,3e78ed2,github-actions[bot],2025-09-27T06:10:20Z,Bump version to 790,https://github.com/ish-app/ish/commit/3e78ed26bf5ff1e688201ffb20925dc289a0f372
