项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
jart/cosmopolitan,https://github.com/jart/cosmopolitan,b444b3a,Justine Tunney,2025-12-02T08:12:39Z,"Fix regressions in strcasechr, wcschr, strchr16  This change fixes a regression introduced by string library improvements in 5ddb5c2adad79407fb800fce47f389611f90a511 that could cause wcschr(s,0) to return NULL rather than a pointer to the end of the string.",https://github.com/jart/cosmopolitan/commit/b444b3a6e0d442162f800142a349371386b374c6
jart/cosmopolitan,https://github.com/jart/cosmopolitan,b0fdf97,Justine Tunney,2025-11-19T02:30:50Z,Syntax highlight .inc files,https://github.com/jart/cosmopolitan/commit/b0fdf97054e13f4ad5292d0d4e5cfdf72cbc743a
jart/cosmopolitan,https://github.com/jart/cosmopolitan,2f78645,Justine Tunney,2025-11-19T01:24:31Z,Fix VSCode,https://github.com/jart/cosmopolitan/commit/2f786453ee82b2f179baff32a94f15544aa81469
jart/cosmopolitan,https://github.com/jart/cosmopolitan,694ef1a,Justine Tunney,2025-11-18T22:12:55Z,Remove optlinux from github actions  The cosmocc -moptlinux mode assumes you have an Intel / AMD CPU with AVX however the GA instances we've been getting are faulting on AVX opcodes.,https://github.com/jart/cosmopolitan/commit/694ef1aa8bbf386af95ba09bc2081e511566961c
jart/cosmopolitan,https://github.com/jart/cosmopolitan,bc0fc70,Justine Tunney,2025-11-18T20:31:12Z,Remove more miniaudio.h ifdefs,https://github.com/jart/cosmopolitan/commit/bc0fc702fefc4c405a979053ad986a6d691973a0
jart/cosmopolitan,https://github.com/jart/cosmopolitan,bea62f3,Justine Tunney,2025-11-18T19:52:06Z,Upgrade miniaudio to v0.11.23,https://github.com/jart/cosmopolitan/commit/bea62f363161a77ede3f3e8d0e7765bbaccfa94b
jart/cosmopolitan,https://github.com/jart/cosmopolitan,dee2527,Gautham,2025-11-17T19:17:02Z,"Use --std=gnu17 for cosmocc (#1452)  Third party libraries in superconfigure have compiler checks, that error out for C23, so the preference would be to use C17 for a while until all those libraries are updated.",https://github.com/jart/cosmopolitan/commit/dee25272f111f63c127175b2d54f19a6dc0505bd
jart/cosmopolitan,https://github.com/jart/cosmopolitan,5ddb5c2,Justine Tunney,2025-11-17T05:13:56Z,"Make improvements  - Open flags (e.g. O_CREAT) are now constants - Error numbers (e.g. EINVAL) are now constants - Signal numbers (e.g. SIGINT) are now constants - fcntl() file locks now work properly on Windows - Significantly improve Windows path handling code - Implement true vfork() on Windows and make fork() faster - Implement scanf %[charset] support and improve conformance - Introduce $COSMOSDRIVE so you can use Windows 11 dev drives - Fix stdio seek/tell bug and make stdio locks faster and safer - Change TLS ABI to use tlscc wrapper that inserts function calls - Make malloc() faster on all platforms using new cosmo_shard() api - Make malloc() fast like tcmalloc on Linux using restartable sequences - Improve fsync() and fdatasync() polyfills so they abstract robustness - Fix CLOCK_BOOTTIME and CLOCK_MONOTONIC on XNU so it reflects uptime - Fix bugs in Windows overlapped code that could possibly cause crash - Fix bugs in Windows signal code that could possibly cause crash - Make symlinks with multiple components work right on Windows - Add FreeBSD ELF note to remove SIGBUS issue and other quirks - Support symlinks on Windows under non-administrator accounts - Make kisdangerous() scalable by adding radix trie to mmap() - Make large realloc() operations zero-cost on all platforms - Fix bugs in readdir() on Windows where d_reclen wasn't set - Make all system call wrappers memory safe (raises EFAULT) - Fix bugs in poll() and select() on Windows with 64+ fds - Fix bug in madvise() on Windows that could cause crash - Support WUNTRACED, SIGSTOP, and SIGCONT on Windows - Increase x86 image base from 0x400000 to 0x4200000 - Introduce -msysv and -mtinylinux flags to cosmocc - Fix issues with siglongjmp() on XNU and NetBSD - Make pthread_barrier_wait() work correctly - Make clock_gettime() faster on FreeBSD ARM - Support file mode bits better on Windows - Improve performance of string libraries - Raise EILSEQ when creating evil paths - Fix std::terminate to not use malloc - Modernize more c11 and c23 features - Make pthread_once() exception safe - Support RLIMIT_CPU on Windows - Introduce HACL* cryptography - Introduce cosmopolitan make - Introduce fasterzip program - Introduce open_memstream() - Introduce dedupe program - Introduce arc4random() - Introduce f2fs support",https://github.com/jart/cosmopolitan/commit/5ddb5c2adad79407fb800fce47f389611f90a511
jart/cosmopolitan,https://github.com/jart/cosmopolitan,f1dc5cf,Alexar,2025-11-15T16:28:34Z,"Make redbean probe for port on bind failure (#1451)  When redbean is starting up, if you don't explicitly specify a port then it'll choose the default one, which is 8080. If that port is in use then redbean will increment the port number up to 20 times before it gives up",https://github.com/jart/cosmopolitan/commit/f1dc5cff44cfad5d11ce8e652d4070716a167909
jart/cosmopolitan,https://github.com/jart/cosmopolitan,f1e83d5,Hugues Morisset,2025-05-21T08:20:22Z,Add IPv6 support to getifaddrs() on Linux (#1415),https://github.com/jart/cosmopolitan/commit/f1e83d52403060d674161944e849b51f95707c9a
