项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
jedisct1/libsodium,https://github.com/jedisct1/libsodium,9bd8c45,Frank Denis,2025-11-26T22:03:42Z,Add XOF tests at rate boundary,https://github.com/jedisct1/libsodium/commit/9bd8c451406ef8634169a6ec8c9b99d7f5cdf6c0
jedisct1/libsodium,https://github.com/jedisct1/libsodium,6a89267,Frank Denis,2025-11-26T22:00:42Z,"SHAKE: if the rate is exactly full, process that block before padding",https://github.com/jedisct1/libsodium/commit/6a892675bc6d0624ff158715548728eb068210a0
jedisct1/libsodium,https://github.com/jedisct1/libsodium,9b161dc,Frank Denis,2025-11-18T11:34:20Z,Sort .gitignore,https://github.com/jedisct1/libsodium/commit/9b161dccfa1ab30bbdaf2b3eb5381cccaeab2f49
jedisct1/libsodium,https://github.com/jedisct1/libsodium,37e4f58,Frank Denis,2025-11-18T11:10:59Z,SHAKE: align default separator and test vectors with Zig  And remove redundant macros,https://github.com/jedisct1/libsodium/commit/37e4f5860befad606bc5b0eb91dfdbfcf9873927
jedisct1/libsodium,https://github.com/jedisct1/libsodium,a3cd05f,Frank Denis,2025-11-18T11:09:20Z,Update msys2 to 20250830,https://github.com/jedisct1/libsodium/commit/a3cd05fa08ecb0311605c3004c53a1b99c4382b4
jedisct1/libsodium,https://github.com/jedisct1/libsodium,0451996,Frank Denis,2025-11-18T11:00:20Z,Update ChangeLog,https://github.com/jedisct1/libsodium/commit/0451996dc99dfe9840e78ee91f76a7369e6a5b43
jedisct1/libsodium,https://github.com/jedisct1/libsodium,ca3aceb,Frank Denis,2025-11-18T11:14:59Z,XOF: don't absorb/squeeze bytes one by one,https://github.com/jedisct1/libsodium/commit/ca3acebf8f9d019ffb23106391d27d76cb1ce282
jedisct1/libsodium,https://github.com/jedisct1/libsodium,9f94ff3,Frank Denis,2025-11-18T11:00:41Z,AppVeyor: use MSVC 2022,https://github.com/jedisct1/libsodium/commit/9f94ff30f91bf86c579655eae182de20d5d18e30
jedisct1/libsodium,https://github.com/jedisct1/libsodium,19b1c53,Frank Denis,2025-11-18T11:00:35Z,build.zig: update OpenOptions / CopyFileOptions,https://github.com/jedisct1/libsodium/commit/19b1c53024a807ca0366de65a8eb77b6ef0750c6
jedisct1/libsodium,https://github.com/jedisct1/libsodium,ab3621b,Frank Denis,2025-11-18T11:10:59Z,Add support for MSVC 2026,https://github.com/jedisct1/libsodium/commit/ab3621b29e2f398918f32b81f86f93cd5b9263f1
jedisct1/libsodium,https://github.com/jedisct1/libsodium,7c70a28,Frank Denis,2025-11-18T11:07:59Z,"XOF: use size_t internally, unsigned long long externally",https://github.com/jedisct1/libsodium/commit/7c70a2807ec52f2afcf9cbd11082027bb62407df
jedisct1/libsodium,https://github.com/jedisct1/libsodium,d11e907,Frank Denis,2025-11-18T11:00:59Z,Remove crypto_xof_*_final,https://github.com/jedisct1/libsodium/commit/d11e9071070bed2484b6069bd44db40548fb62f8
jedisct1/libsodium,https://github.com/jedisct1/libsodium,7f7873c,Frank Denis,2025-11-03T22:00:33Z,Add support for FilC,https://github.com/jedisct1/libsodium/commit/7f7873c21b5819f45927ecd344ac047ffb8b1a00
jedisct1/libsodium,https://github.com/jedisct1/libsodium,0a9450c,Frank Denis,2025-10-17T21:00:28Z,Add SHAKE and TurboSHAKE,https://github.com/jedisct1/libsodium/commit/0a9450c679480a187e7f9e77d55b76fad92991ea
jedisct1/libsodium,https://github.com/jedisct1/libsodium,bd329a3,Frank Denis,2025-10-17T09:55:45Z,buildbase.bat: prevent the PATH from getting too large,https://github.com/jedisct1/libsodium/commit/bd329a39740a482f2797c1fd26a9469fa3a1d0c2
jedisct1/libsodium,https://github.com/jedisct1/libsodium,af3a8ff,Frank Denis,2025-10-17T09:50:40Z,azure-pipelines: compile with windows-latest,https://github.com/jedisct1/libsodium/commit/af3a8ffcce20431ae75b30fb9a20e947074ade04
jedisct1/libsodium,https://github.com/jedisct1/libsodium,a78c8d1,Frank Denis,2025-10-17T10:00:57Z,CI: try to use android NDK r29,https://github.com/jedisct1/libsodium/commit/a78c8d1fde34eb73cd59935388be5c374158cf90
jedisct1/libsodium,https://github.com/jedisct1/libsodium,589d67b,Frank Denis,2025-10-04T12:03:33Z,configure.ac: fix typos in warning flags,https://github.com/jedisct1/libsodium/commit/589d67b8396abebfcf3fc7a754c6797a9e93b8b4
jedisct1/libsodium,https://github.com/jedisct1/libsodium,09e995c,Frank Denis,2025-09-12T21:07:20Z,Relax ((nonnull)) attributes where applicable  Reported by @stef -- Thanks!  Fixes #1477,https://github.com/jedisct1/libsodium/commit/09e995c0c85a0026510704b8ce7f5867a09a3841
jedisct1/libsodium,https://github.com/jedisct1/libsodium,800410c,Frank Denis,2025-09-12T21:00:20Z,"Generate position-independent static libraries by default  "".pie"" on a static library enables PIC when it is supported by the target.  Fixes #1474",https://github.com/jedisct1/libsodium/commit/800410cfe7ca44cecf1aa2b807cc51f4d334bd78
jedisct1/libsodium,https://github.com/jedisct1/libsodium,85ddc5c,Frank Denis,2025-08-28T21:09:19Z,apple-xcframework.sh: remove i386 iOS simulators,https://github.com/jedisct1/libsodium/commit/85ddc5c2c6c7b8f7c99f9af6039e18f1f2ca0daa
jedisct1/libsodium,https://github.com/jedisct1/libsodium,93030d2,Frank Denis,2025-08-28T21:04:19Z,apple-xcframework.sh: force cross-compilation when relevant  Works around instabilities of the latest Tahoe beta version,https://github.com/jedisct1/libsodium/commit/93030d2caed9abb587b3d99518a716c6cf2a3993
jedisct1/libsodium,https://github.com/jedisct1/libsodium,ce526f9,Frank Denis,2025-08-28T21:07:25Z,apple-xcframework.sh: remove support for iOS32,https://github.com/jedisct1/libsodium/commit/ce526f94aad2b815ae46398124279c323f0cb0ac
jedisct1/libsodium,https://github.com/jedisct1/libsodium,110138f,Frank Denis,2025-08-27T21:03:09Z,Wasmer now needs --mapdir=./:. to load files from the current directory,https://github.com/jedisct1/libsodium/commit/110138f3cd0d6581e38ed839d510069ed9368d32
jedisct1/libsodium,https://github.com/jedisct1/libsodium,e6d6321,Frank Denis,2025-08-27T18:27:02Z,More optblockers.  - ristretto255_is_canonical - fe25519_reduce64 - ge25519_from_uniform,https://github.com/jedisct1/libsodium/commit/e6d6321ab5a579b0956e67585d909d560364107d
jedisct1/libsodium,https://github.com/jedisct1/libsodium,def5b9d,Frank Denis,2025-08-22T10:11:40Z,Add -Werror=vla,https://github.com/jedisct1/libsodium/commit/def5b9d306c3707255b948ac10885dc880184efe
jedisct1/libsodium,https://github.com/jedisct1/libsodium,377a664,Frank Denis,2025-08-22T10:04:40Z,Update for Zig 0.15,https://github.com/jedisct1/libsodium/commit/377a6640e81546cb4a20a363a21f58ca80cc5114
jedisct1/libsodium,https://github.com/jedisct1/libsodium,59b8ba3,Frank Denis,2025-07-30T21:04:45Z,Include <threads.h> if it exists,https://github.com/jedisct1/libsodium/commit/59b8ba3573b6cde4c2dfca96326175c30b07961b
jedisct1/libsodium,https://github.com/jedisct1/libsodium,4f21b2f,Frank Denis,2025-07-30T21:03:45Z,Remove duplicate include,https://github.com/jedisct1/libsodium/commit/4f21b2f4afb328f36dbbb3d0e48080af32327717
jedisct1/libsodium,https://github.com/jedisct1/libsodium,d2c7817,Frank Denis,2025-07-30T10:34:28Z,Update m4/ax_add_fortify_source.m4 and m4/ax_valgrind_check.m4,https://github.com/jedisct1/libsodium/commit/d2c78175008e6f5ff065cb053d3d4015bc927bde
jedisct1/libsodium,https://github.com/jedisct1/libsodium,c390510,Frank Denis,2025-07-15T21:06:45Z,Update for zig-current,https://github.com/jedisct1/libsodium/commit/c3905104847c760fa61037aad4373e6a67b41f68
jedisct1/libsodium,https://github.com/jedisct1/libsodium,fd8c876,Frank Denis,2025-06-06T10:00:10Z,Update mlugg/setup-zig,https://github.com/jedisct1/libsodium/commit/fd8c876bb5ad9d5ad79074ccd6b509f845631807
jedisct1/libsodium,https://github.com/jedisct1/libsodium,135fe28,Frank Denis,2025-06-06T10:00:10Z,Sync ChangeLog,https://github.com/jedisct1/libsodium/commit/135fe28fc51d03ad095b9ad8c20dd7486b1e3372
jedisct1/libsodium,https://github.com/jedisct1/libsodium,d537f30,Frank Denis,2025-05-21T21:11:26Z,Improve AES256-GCM performance on ARM,https://github.com/jedisct1/libsodium/commit/d537f3010a4e8e4ab5afdbf782799c48d8f09272
