项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
jqlang/jq,https://github.com/jqlang/jq,0eb3da1,bigmoonbit,2025-11-27T09:44:45Z,chore: fix typo in  tests/jq.test (#3441)  fix typo in  tests/jq.test  Signed-off-by: bigmoonbit <bigmoonbit@outlook.com>,https://github.com/jqlang/jq/commit/0eb3da11ed489189963045a3d4eb21ba343736cb
jqlang/jq,https://github.com/jqlang/jq,39572e1,dependabot[bot],2025-11-24T06:15:18Z,build(deps): bump actions/checkout from 5 to 6 in the official-actions group (#3439),https://github.com/jqlang/jq/commit/39572e129f3b1e5d0cf894d6c8fe8ab8eaa04551
jqlang/jq,https://github.com/jqlang/jq,4829059,Jan-Piet Mens,2025-11-18T00:49:59Z,Add missing word in manual for rawfile (#3434),https://github.com/jqlang/jq/commit/482905914759ef8cfb85315f671e76130951db43
jqlang/jq,https://github.com/jqlang/jq,33b3a68,itchyny,2025-11-04T12:21:21Z,"Fix expected value assertion (fix #3430, ref #3393) (#3431)",https://github.com/jqlang/jq/commit/33b3a68f9c32413cf3a1afa76addf0dd64c2922b
jqlang/jq,https://github.com/jqlang/jq,cff4e00,Mattias Wadman,2025-10-31T09:17:25Z,website: Add wiki link to navigation bar (#3424)  Related to #3423,https://github.com/jqlang/jq/commit/cff4e009828fa552275e3f024be757514ef8eb7e
jqlang/jq,https://github.com/jqlang/jq,5529788,itchyny,2025-10-31T06:16:29Z,Fix slurping raw input not to corrupt multi-byte characters (fix #3389) (#3421),https://github.com/jqlang/jq/commit/55297882922c3def24cbddc3ea24d4c304cf3a42
jqlang/jq,https://github.com/jqlang/jq,8d9a3c3,dependabot[bot],2025-10-27T07:48:33Z,build(deps): bump the official-actions group with 2 updates (#3429),https://github.com/jqlang/jq/commit/8d9a3c3ab3e6e964fd5c013e209dece0cda07650
jqlang/jq,https://github.com/jqlang/jq,b29504b,Ish Nagy,2025-10-14T05:12:57Z,Increase the maximum printing depth from 256 to 10000 (fixes #3413) (#3414),https://github.com/jqlang/jq/commit/b29504b4e191a4b1028bd1c252aaab0c62fbdbfa
jqlang/jq,https://github.com/jqlang/jq,589a694,Sudhakar Verma,2025-10-05T03:50:42Z,jq_fuzz_execute: limit oniguruma depth to 1024 (#3377)  Fixes #3375 - I'll also fix the oss-fuzz build for this in a PR  Signed-off-by: Sudhakar Verma <sudhakar.verma@canonical.com>,https://github.com/jqlang/jq/commit/589a6947fa5e6f6f1d3f340053a8c92fa8b9f445
jqlang/jq,https://github.com/jqlang/jq,c9c96b3,dependabot[bot],2025-10-01T06:39:11Z,build(deps): bump lxml from 6.0.1 to 6.0.2 in /docs (#3416),https://github.com/jqlang/jq/commit/c9c96b3cdd4f74ea5f2f2efa7d3357bb1f9024cf
