项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
karpathy/llama2.c,https://github.com/karpathy/llama2.c,350e04f,Andrej,2024-05-29T17:01:04Z,Merge pull request #514 from jameswdelancey/patch-1  Add llama3.c port to README.md,https://github.com/karpathy/llama2.c/commit/350e04fe35433e6d2941dce5a1f53308f87058eb
karpathy/llama2.c,https://github.com/karpathy/llama2.c,2eb7430,Andrej,2024-05-29T17:00:48Z,Merge pull request #521 from code-cp/patch-1  Add another Rust port,https://github.com/karpathy/llama2.c/commit/2eb7430e1a5ea8c6ac2b0a70d55b869b1b14fc20
karpathy/llama2.c,https://github.com/karpathy/llama2.c,c502b6b,code-cp,2024-05-12T01:47:36Z,Add another Rust port   Add my Rust port using Burn,https://github.com/karpathy/llama2.c/commit/c502b6ba4c416bee0f15ffef1b52d4c7f064c1f4
karpathy/llama2.c,https://github.com/karpathy/llama2.c,e6fd170,James Delancey,2024-04-29T08:48:20Z,"Add llama3.c port to README.md  A faithful clone of Karpathy's llama2.c (one file inference, zero dependency) but fully functional with LLaMA 3 8B base and instruct models.",https://github.com/karpathy/llama2.c/commit/e6fd170dc9431ca600e65fcf00a0100474ba2c2b
karpathy/llama2.c,https://github.com/karpathy/llama2.c,b3c4b6c,Andrej,2024-02-13T01:23:39Z,Merge pull request #358 from micsh/patch-1  Adding F# Port to README.md,https://github.com/karpathy/llama2.c/commit/b3c4b6c3c4bbff42e5211293280307019368ccb5
karpathy/llama2.c,https://github.com/karpathy/llama2.c,b50a757,Andrej,2024-02-13T01:21:54Z,Merge pull request #440 from neoremind/master  Add a Java port information in README.,https://github.com/karpathy/llama2.c/commit/b50a7572b3856bcfd42495bc8d6dcb421daee879
karpathy/llama2.c,https://github.com/karpathy/llama2.c,2934c3d,Andrej,2024-02-13T01:21:34Z,Merge pull request #433 from mtb0x1/master  One web page demo of all rust ports in WASM.,https://github.com/karpathy/llama2.c/commit/2934c3db7382fbc34826cec6090163c53ee562d5
karpathy/llama2.c,https://github.com/karpathy/llama2.c,e0eb8b2,Andrej,2024-02-13T01:21:08Z,Merge pull request #444 from maxbbraun/patch-1  Fix typo in runq.c comment,https://github.com/karpathy/llama2.c/commit/e0eb8b29ab2ab137c43841a15ef5a0d373f83aa4
karpathy/llama2.c,https://github.com/karpathy/llama2.c,1fb5d15,Andrej,2024-02-13T01:20:45Z,Merge pull request #446 from kyoungje/kyoungje-patch-1  Update run.ipynb to use export.py and --meta-llama parameter,https://github.com/karpathy/llama2.c/commit/1fb5d150be7b85d0b9ac35ff8265f0bd8838e909
karpathy/llama2.c,https://github.com/karpathy/llama2.c,f8a501c,Andrej,2024-02-13T01:19:41Z,Merge branch 'master' into master,https://github.com/karpathy/llama2.c/commit/f8a501c522ed6a0484ad1414bf3cae99961576b1
