项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,a8336c1,kingToolbox,2025-02-10T20:26:46Z,Update README.md,https://github.com/kingToolbox/WindTerm/commit/a8336c1d1e3dd1a981500dae8ef9eb42066de95f
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,b8d2cb7,kingToolbox,2025-01-12T02:19:14Z,Update README.md  Introduced support for `Tmux Integration`.,https://github.com/kingToolbox/WindTerm/commit/b8d2cb7d1841e75ea821e176a47b8843af70125d
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,3dc9041,kingToolbox,2022-08-22T09:02:39Z,Added acknowledgement,https://github.com/kingToolbox/WindTerm/commit/3dc9041343d8d97f77835cbc54aba24a1ca823b4
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,52b5301,kingToolbox,2022-07-24T22:52:23Z,Fix typo.,https://github.com/kingToolbox/WindTerm/commit/52b53014f9699114f219bfc6ad8313bb1664c4d8
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,ba078c0,kingToolbox,2022-07-24T22:47:46Z,Update features of v2.5 and roadmap of v2.6,https://github.com/kingToolbox/WindTerm/commit/ba078c0c7cdf6c1932356bb2aa15642ef29d5a18
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,1030468,kingToolbox,2022-07-24T19:00:19Z,Merge pull request #917 from dnlchen/master  should be tag 2.4.0,https://github.com/kingToolbox/WindTerm/commit/10304684e30df5886586f2ee16b08bd76b76bb66
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,13101e0,Daniel Chen,2022-07-21T17:27:43Z,"should be tag 2.4.0  please either create a tag 2.4 or fix the link. tag 2.4.1 is also needed.",https://github.com/kingToolbox/WindTerm/commit/13101e098b3ce232f27384974f0e9b95387d9196
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,24c96a6,kingToolbox,2022-05-19T00:18:01Z,Add the download url of v2.5.0 Prerelease 1,https://github.com/kingToolbox/WindTerm/commit/24c96a6aa611675aeb5decf7f673318c0b626399
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,ee11e00,kingToolbox,2022-04-18T03:09:57Z,Update features of v2.4 and roadmap of v2.5,https://github.com/kingToolbox/WindTerm/commit/ee11e00722ee5a11318a4a651798a72a4bfabaec
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,aa779b4,kingToolbox,2022-03-20T21:57:45Z,Add the download url of v2.4.0 Prerelease 1,https://github.com/kingToolbox/WindTerm/commit/aa779b4b098307edadd9ce5a18a97bcf07a922d1
