项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
koekeishiya/yabai,https://github.com/koekeishiya/yabai,e33e94c,koekeishiya,2025-11-06T16:24:21Z,#2693 fix space destroy pattern for macOS 26.1 arm64,https://github.com/koekeishiya/yabai/commit/e33e94c0b25f807891e0e70101122afaec796e02
koekeishiya/yabai,https://github.com/koekeishiya/yabai,9868ae3,koekeishiya,2025-10-07T13:27:16Z,v7.1.16,https://github.com/koekeishiya/yabai/commit/9868ae3fc5348d0fcb54ce71fbd6dd39c87cb61d
koekeishiya/yabai,https://github.com/koekeishiya/yabai,3861367,koekeishiya,2025-10-07T06:38:11Z,#2680 replace (autoreleasepool handling) CFRunLoopRunInMode with [NSApp run] which should handle the main thread runloop properly for macOS Tahoe,https://github.com/koekeishiya/yabai/commit/3861367694c0cc8bc71238242ed5e54cbd10d90b
koekeishiya/yabai,https://github.com/koekeishiya/yabai,ff42cea,koekeishiya,2025-09-18T07:41:25Z,#2634 apply sequoia fixes to tahoe,https://github.com/koekeishiya/yabai/commit/ff42ceadc92dfc50df63b73e3e1384b8b4059864
koekeishiya/yabai,https://github.com/koekeishiya/yabai,fe34a03,Åsmund Vikane,2025-09-15T10:27:46Z,Merge pull request #2644 from tbiehn/TahoeBeta2Dock  Patterns and offsets for ARM Tahoe Beta (4-9 & RC1) added.,https://github.com/koekeishiya/yabai/commit/fe34a03e390a17a48ae0e489bd40d668a5c5c542
koekeishiya/yabai,https://github.com/koekeishiya/yabai,6669074,Travis Biehn,2025-09-04T17:37:43Z,"Bumped OSAX_VERSION to 2.1.23, we have some ARM Tahoe support now for a while, and possible x86_64 as well.",https://github.com/koekeishiya/yabai/commit/66690749e820d06a7a0c8ba152b3872640163dd3
koekeishiya/yabai,https://github.com/koekeishiya/yabai,bc6ac08,Travis Biehn,2025-09-04T17:34:45Z,Adjusted payload.m to detect Tahoe on x86_64 targets.,https://github.com/koekeishiya/yabai/commit/bc6ac080f0320ef170e99d22eafd0d1e4cdf4731
koekeishiya/yabai,https://github.com/koekeishiya/yabai,dc4de9e,Travis Biehn,2025-09-04T10:12:37Z,"Patterns added for x86_64, untested.",https://github.com/koekeishiya/yabai/commit/dc4de9e0c0635baaff1c79cefbd99264fe3e7939
koekeishiya/yabai,https://github.com/koekeishiya/yabai,2b60180,Travis Biehn,2025-08-06T13:14:19Z,Patterns adjusted for Tahoe 26 Beta 5. Matches Beta 3 and 4. sha256sum 9ac2007d110967c98838fb15e507c33b2476df92fdd62b96f8c6e61c7dccbb47  Dock26b5,https://github.com/koekeishiya/yabai/commit/2b60180e37de4e4641ca20f49c0e87440901c9ae
koekeishiya/yabai,https://github.com/koekeishiya/yabai,b666918,Travis Biehn,2025-07-22T19:20:02Z,Patterns adjusted for Tahoe 26 Beta 4 - also matching Beta 3. sha256sum of the dock: 18373ee1956850f4af47466d16c1359df53050a37cbd3df4aca87aa7cff11f26,https://github.com/koekeishiya/yabai/commit/b666918e94e716079663392f3a30c2556bbd74bc
