项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
libsdl-org/SDL,https://github.com/libsdl-org/SDL,8e64411,Vicki Pfau,2025-12-05T04:17:32Z,gamepad_db: Remove obsolete entry  This autodetects properly with modern SDL as-is,https://github.com/libsdl-org/SDL/commit/8e644111c2220e654f53de4ea0aa3afdfc7813c5
libsdl-org/SDL,https://github.com/libsdl-org/SDL,c7133a6,Ozkan Sezer,2025-12-05T00:30:10Z,stb_image.h: update mainstream issue/1838 patch from mainstream PR/1839  patch authored by @NBickford-NV.,https://github.com/libsdl-org/SDL/commit/c7133a67207b257abb54aa001fe8428b163a8ace
libsdl-org/SDL,https://github.com/libsdl-org/SDL,12e3162,Sam Lantinga,2025-12-04T22:07:55Z,"Use the Vision Pro headset native refresh rate  The headset actually has dynamically adjusting refresh rate, but 90Hz is closer to it's normal operating mode.",https://github.com/libsdl-org/SDL/commit/12e3162c5ff65be27bf08a7e2a28568c02d80543
libsdl-org/SDL,https://github.com/libsdl-org/SDL,2cb9a4f,Eddy Jansson,2025-12-04T19:43:30Z,"log: Fix unlikely out-of-bounds issue.  In the unlikely case that the overflow check should fail, the else clause would switch to the truncated stack message without updating the len variable. This would contain the return value from vsnprintf(), meaning it could point beyond the buffer.  The subsequent code which trims NL and CR from the buffer, would then read -- and possibly write -- out-of-bounds.  To fix this, we split the two joint conditions into separate if-clauses, and adjust the len variable in the case where we know the message buffer was truncated.",https://github.com/libsdl-org/SDL/commit/2cb9a4fcc14121305e9a0975ded67bc67a66ae57
libsdl-org/SDL,https://github.com/libsdl-org/SDL,bc17a89,Ryan C. Gordon,2025-12-04T18:17:33Z,emscripten: Allow SDL_HINT_EMSCRIPTEN_FILL_DOCUMENT to be toggled on a window.  Fixes #14567.,https://github.com/libsdl-org/SDL/commit/bc17a8922bbf022eaf6eae65257798a1232905b3
libsdl-org/SDL,https://github.com/libsdl-org/SDL,ccdc923,Anonymous Maarten,2025-12-04T18:22:19Z,test: allow GNU extensions,https://github.com/libsdl-org/SDL/commit/ccdc9231f59425bb380469530bbb9b9da47643c5
libsdl-org/SDL,https://github.com/libsdl-org/SDL,7b74fbb,Anonymous Maarten,2025-12-04T17:50:19Z,"test: build testver in with the C90 standard  By building at least one test in C90 mode, we make sure the SDL headers are C90 compatible.",https://github.com/libsdl-org/SDL/commit/7b74fbb73f0725ddf17cbf85a91d86d36b17e0d5
libsdl-org/SDL,https://github.com/libsdl-org/SDL,b5dd0ee,Sam Lantinga,2025-12-04T15:30:28Z,Relax the requirement that test programs be C90 compliant  Fixes https://github.com/libsdl-org/SDL/issues/14588,https://github.com/libsdl-org/SDL/commit/b5dd0ee07b6bd7b1d30e820be259bc70defce500
libsdl-org/SDL,https://github.com/libsdl-org/SDL,3b12019,hwsmm,2025-12-04T13:47:53Z,Fix an inverted condition in Wayland pen tip handling,https://github.com/libsdl-org/SDL/commit/3b12019892c667051407e77456a3a87f370c97e1
libsdl-org/SDL,https://github.com/libsdl-org/SDL,c61497b,Sam Lantinga,2025-12-04T05:21:52Z,Account for indexed formats when matching texture formats  Fixes https://github.com/libsdl-org/SDL/issues/14569,https://github.com/libsdl-org/SDL/commit/c61497b744f64806eeea1b3d8289a5c97ca862da
libsdl-org/SDL,https://github.com/libsdl-org/SDL,d83fa92,Sam Lantinga,2025-12-04T04:50:59Z,Added notes on main callbacks with other language bindings,https://github.com/libsdl-org/SDL/commit/d83fa92d58129cbbd4e2efea2db6cfa908b16c47
libsdl-org/SDL,https://github.com/libsdl-org/SDL,aae2f74,cosmonaut,2025-12-03T22:18:08Z,GPU: Remove erroneous buffer usage flag from defrag process,https://github.com/libsdl-org/SDL/commit/aae2f74ae611652b2858393fdf6e4d6d6cb85384
libsdl-org/SDL,https://github.com/libsdl-org/SDL,70c2f57,milkmull,2025-12-03T22:17:11Z,fixed issue where video events could be posted while system was quitting (#14572),https://github.com/libsdl-org/SDL/commit/70c2f576c83fffb4176b728f58783ec58c530c76
libsdl-org/SDL,https://github.com/libsdl-org/SDL,f97e535,Sam Lantinga,2025-12-03T22:11:25Z,"Removed SDL_MAIN_AVAILABLE on platforms that don't benefit from it  We already set the main thread when creating a thread or calling SDL_Init(), and applications can call SDL_SetMainReady() themselves for special cases, so there isn't a lot of value of forcing everyone through the SDL_RunApp() flow.  Fixes https://github.com/libsdl-org/SDL/issues/14580",https://github.com/libsdl-org/SDL/commit/f97e53509e41a4c58406cd6a5f82b3db6506f271
libsdl-org/SDL,https://github.com/libsdl-org/SDL,36b85ce,SDL Wiki Bot,2025-12-03T20:01:41Z,Sync SDL3 wiki -> header  [ci skip],https://github.com/libsdl-org/SDL/commit/36b85ce909776a5dc7d0badf4cc349c7d705773c
libsdl-org/SDL,https://github.com/libsdl-org/SDL,5ae68e9,Jakub Wasilewski,2025-12-03T12:03:56Z,Docs: GPU: Added documentation on the WinPixEventRuntime.dll requirement to affected functions.,https://github.com/libsdl-org/SDL/commit/5ae68e9a0fd1ae82f9c7837fbad285a6475ea28b
libsdl-org/SDL,https://github.com/libsdl-org/SDL,0c5ad99,Jakub Wasilewski,2025-12-03T11:01:06Z,"GPU: D3D12: Use WinPixEventRuntime.dll for debug events when available.  This prevents validation errors on D3D12 caused by the previous solution that utilized internal D3D12 functions. This is still the fallback solution if WinPixEventRuntime.dll is not present in PATH, but a warning is printed to let you know how to fix these errors.",https://github.com/libsdl-org/SDL/commit/0c5ad99ec1ac0b1f65f934346390219fdcdce2f0
libsdl-org/SDL,https://github.com/libsdl-org/SDL,65ef4df,Simon McVittie,2025-12-03T15:37:28Z,testver: Assert that SDL_GetRevision() starts with SDL-  https://github.com/libsdl-org/SDL/issues/14575  Signed-off-by: Simon McVittie <smcv@collabora.com>,https://github.com/libsdl-org/SDL/commit/65ef4df6d4d4afae3746df934837852f84345564
