项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
libuv/libuv,https://github.com/libuv/libuv,d7dda9e,Ben Noordhuis,2025-12-02T15:37:17Z,"win: handle sshfs-win quirk in uv_fs_readdir() (#4953)  The initial FindFirstFile can fail with ERROR_FILE_NOT_FOUND, meaning no matches (read: empty directory), which leaves dir_handle set to INVALID_HANDLE_VALUE. Not an actual error, it just means no results.  I can't get FindFirstFile to work like that on regular file systems but it's been reported that it does under sshfs-win and the MSDN documentation clearly states it's possible. Handle it.  Fixes: https://github.com/libuv/libuv/issues/4952",https://github.com/libuv/libuv/commit/d7dda9edfec189f9087d13f970525188db06464d
libuv/libuv,https://github.com/libuv/libuv,bf44c3f,Ayush Kumar,2025-12-02T07:42:44Z,"unix: support nanosecond resolution in uv__fs_to_timespec (#4951)  Remove the microsecond truncation in uv__fs_to_timespec() function to enable full nanosecond resolution support. The utimensat() system call already supports nanosecond precision, so the artificial truncation to microseconds is no longer necessary.  This allows file modification and access times to be set with full nanosecond precision instead of being limited to microsecond resolution.  Fixes the TODO comment about removing the microsecond resolution limit.",https://github.com/libuv/libuv/commit/bf44c3fdcc45f190e6c1f1478ba3beb9ba45bfef
libuv/libuv,https://github.com/libuv/libuv,8fc7034,Ben Noordhuis,2025-11-29T19:21:40Z,"win: fix race in uv_fs_event_start() (#4948)  Fetch file metadata by handle instead of by path, otherwise there is a race window between fetching and acting on said metadata where another process can replace the file with another one.  There is still a potential race when upgrading the short path to a long path but that that one is intrinsic. It's not something libuv can solve except by refraining from calling GetLongPathName.  Fixes: https://github.com/libuv/libuv/issues/4568",https://github.com/libuv/libuv/commit/8fc70344df789d95c18f3c5282f11dcd85205545
libuv/libuv,https://github.com/libuv/libuv,8e02462,dependabot[bot],2025-11-24T06:17:37Z,build(deps): bump actions/checkout from 5 to 6  Bumps [actions/checkout](https://github.com/actions/checkout) from 5 to 6. - [Release notes](https://github.com/actions/checkout/releases) - [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md) - [Commits](https://github.com/actions/checkout/compare/v5...v6)  --- updated-dependencies: - dependency-name: actions/checkout   dependency-version: '6'   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/libuv/libuv/commit/8e024629fe76c7e4d009fd01ccf8b329c99433d3
libuv/libuv,https://github.com/libuv/libuv,f6e19be,Andy Pan,2025-09-06T02:15:18Z,win: rename minimal_windows10_version1709() for libuv's convention  ---------  Signed-off-by: Andy Pan <i@andypan.me>,https://github.com/libuv/libuv/commit/f6e19be74388ff9dfa8583da226d605a7eb4e022
libuv/libuv,https://github.com/libuv/libuv,0125043,Gang Zhuo,2025-11-18T19:45:29Z,"doc: fix documentation for uv_utf16_to_wtf8() function (#4935)  When `wtf8_ptr` is NULL, the length will be stored in `wtf8_len_ptr` (not in `wtf8_ptr`).  Fixes: https://github.com/libuv/libuv/issues/4934",https://github.com/libuv/libuv/commit/01250432eba011c367189bb74e6b162268b8f5d4
libuv/libuv,https://github.com/libuv/libuv,b33162d,Ben Noordhuis,2025-11-06T21:34:44Z,"unix: fix use of uninitialized variable (#4924)  The `flags` argument to `uv__udp_recvmsg_errqueue` was not initialized in all code paths. Shuffle code around to make the control flow more obvious (at the cost of a less legible diff.)  Also fixes an unused label warning when building on systems that aren't Linux.  Introduced last month in commit 80a5e3ba0, ""linux: add MSG_ERRQUEUE ipv4/ipv6 udp support"".",https://github.com/libuv/libuv/commit/b33162dd0b6767fbc3c833ecbe3c2f2607ba0dca
libuv/libuv,https://github.com/libuv/libuv,12d1ed1,dependabot[bot],2025-10-27T06:43:10Z,build(deps): bump actions/upload-artifact from 4 to 5  Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 4 to 5. - [Release notes](https://github.com/actions/upload-artifact/releases) - [Commits](https://github.com/actions/upload-artifact/compare/v4...v5)  --- updated-dependencies: - dependency-name: actions/upload-artifact   dependency-version: '5'   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/libuv/libuv/commit/12d1ed1380c59c5ec27503cf149833de6f0e6bb0
libuv/libuv,https://github.com/libuv/libuv,300fc32,dependabot[bot],2025-10-27T11:56:06Z,build(deps): bump actions/download-artifact from 5 to 6 (#4914)  Bumps [actions/download-artifact](https://github.com/actions/download-artifact) from 5 to 6. - [Release notes](https://github.com/actions/download-artifact/releases) - [Commits](https://github.com/actions/download-artifact/compare/v5...v6)  --- updated-dependencies: - dependency-name: actions/download-artifact   dependency-version: '6'   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,https://github.com/libuv/libuv/commit/300fc32263f5f5393058ee1d607be0ec12b58173
libuv/libuv,https://github.com/libuv/libuv,a944c42,Christian Guinard,2025-10-15T06:35:42Z,darwin: better heuristic for available memory (#4908)  Fixes: https://github.com/libuv/libuv/issues/3897,https://github.com/libuv/libuv/commit/a944c422cca5522073e03710ca7fd08f53218358
libuv/libuv,https://github.com/libuv/libuv,f3ce527,Ben Noordhuis,2025-10-07T21:08:33Z,ibmi: add stub function to satisfy linker (#4905)  Add a stub function for no-ahafs builds. src/unix/core.c won't actually call uv__ahafs_event but the linker still needs to see a symbol.  Like commit 87943b03 but for IBM i instead of AIX this time.,https://github.com/libuv/libuv/commit/f3ce527ea940d926c40878ba5de219640c362811
libuv/libuv,https://github.com/libuv/libuv,80a5e3b,Juan José,2025-10-06T14:45:58Z,linux: add MSG_ERRQUEUE ipv4/ipv6 udp support (#4902)  Fixes: https://github.com/libuv/libuv/issues/4447 Signed-off-by: Juan José Arboleda <soyjuanarbol@gmail.com> Co-authored-by: theanarkh <theratliter@gmail.com>,https://github.com/libuv/libuv/commit/80a5e3ba01cd12c4dababdfac2e2baac2349b710
libuv/libuv,https://github.com/libuv/libuv,87943b0,Ben Noordhuis,2025-10-05T16:40:12Z,aix: add stub function to satisfy linker (#4903)  Add a stub function for no-ahafs builds. src/unix/core.c won't actually call uv__ahafs_event but the linker still needs to see a symbol.,https://github.com/libuv/libuv/commit/87943b03b32f23b139510f64b3f0b9386b0e71ec
libuv/libuv,https://github.com/libuv/libuv,ee67f3d,Juan José,2025-10-04T07:43:07Z,"unix,win: implement `uv_udp_open_ex` (#4896)  Fixes: https://github.com/libuv/libuv/issues/4551  Signed-off-by: Juan José Arboleda <soyjuanarbol@gmail.com>",https://github.com/libuv/libuv/commit/ee67f3db8836fb0690834ba699b6550585ce17a2
