项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
lizongying/my-tv,https://github.com/lizongying/my-tv,d65ac50,Li ZongYing,2024-05-31T04:27:23Z,readme,https://github.com/lizongying/my-tv/commit/d65ac508eb56d454d565d7a53df35fa4d5403720
lizongying/my-tv,https://github.com/lizongying/my-tv,b372d52,Li ZongYing,2024-04-26T12:44:07Z,add license,https://github.com/lizongying/my-tv/commit/b372d52510a494bfc57b3c05fa8cf95a78028c82
lizongying/my-tv,https://github.com/lizongying/my-tv,608a7e3,Li ZongYing,2024-04-19T10:01:01Z,readme,https://github.com/lizongying/my-tv/commit/608a7e3fefc673225cb812da5dd3e11bef77c23d
lizongying/my-tv,https://github.com/lizongying/my-tv,b980729,Li ZongYing,2024-04-19T09:57:58Z,readme,https://github.com/lizongying/my-tv/commit/b980729224d43c02badf8af2dcac3fa90b49abbd
lizongying/my-tv,https://github.com/lizongying/my-tv,641f8a9,Li ZongYing,2024-04-19T07:22:05Z,add time,https://github.com/lizongying/my-tv/commit/641f8a91080ad0a746f302fa2d64f77d4c12fa43
lizongying/my-tv,https://github.com/lizongying/my-tv,74b6287,Li ZongYing,2024-04-03T10:46:49Z,some channel epg,https://github.com/lizongying/my-tv/commit/74b62870c6a5e5a09229513c02e71194f28a0993
lizongying/my-tv,https://github.com/lizongying/my-tv,a3a9bdc,Li ZongYing,2024-04-03T00:50:00Z,dpad-right to enter the menu & dpad-left for channel list,https://github.com/lizongying/my-tv/commit/a3a9bdc76299f8cdf47e4dfebf5fd7785271d1d7
lizongying/my-tv,https://github.com/lizongying/my-tv,019c5a8,Li ZongYing,2024-04-03T00:33:21Z,dpad-right to enter the menu,https://github.com/lizongying/my-tv/commit/019c5a8e6634ed0dc4ba75c3242aa5b085e2f134
lizongying/my-tv,https://github.com/lizongying/my-tv,fd897f6,Li ZongYing,2024-03-29T08:19:27Z,fix crash on setting,https://github.com/lizongying/my-tv/commit/fd897f68c078b7fa5899a4629095d2c5c9ec2b7d
lizongying/my-tv,https://github.com/lizongying/my-tv,65c4b0c,Li ZongYing,2024-03-26T05:36:26Z,channel filter,https://github.com/lizongying/my-tv/commit/65c4b0cf5250e1d00dd031faa40c684ea8b94270
