项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
lvgl/lvgl,https://github.com/lvgl/lvgl,c87ae44,André Costa,2025-12-05T10:38:48Z,fix(screen): double free when loading screens (#9276),https://github.com/lvgl/lvgl/commit/c87ae441113d9eb5f02c55a8fd3a66c36af93af6
lvgl/lvgl,https://github.com/lvgl/lvgl,fecef80,KAIHE-HelloWorld,2025-12-05T10:37:24Z,fix(ime): restrict to lowercase input to avoid overflow (#9320),https://github.com/lvgl/lvgl/commit/fecef809af705e77e35cd734cd514a833db936e4
lvgl/lvgl,https://github.com/lvgl/lvgl,edb81ba,André Costa,2025-12-05T07:07:47Z,test: update demo widgets ref image (#9358),https://github.com/lvgl/lvgl/commit/edb81ba4351e91a831035d663649283e949d1625
lvgl/lvgl,https://github.com/lvgl/lvgl,dd2b055,Victor Wheeler,2025-12-04T18:06:43Z,docs(examples): add back show c code button in widget pages (#9354),https://github.com/lvgl/lvgl/commit/dd2b0550e2f4c194703c1565a69ce995ec60b684
lvgl/lvgl,https://github.com/lvgl/lvgl,7d3cc8d,VIFEX,2025-12-04T17:31:03Z,perf(vg_lite): add bitmap font cache for non-aligned fonts (#9343),https://github.com/lvgl/lvgl/commit/7d3cc8d337b6f4fff9abe79ebfca7fd34bf864bf
lvgl/lvgl,https://github.com/lvgl/lvgl,a8b4599,André Costa,2025-12-04T13:53:29Z,ci: deploy doc builds to release folders (#9352),https://github.com/lvgl/lvgl/commit/a8b459948689359178c9832479558f70f9209af2
lvgl/lvgl,https://github.com/lvgl/lvgl,c6a276f,André Costa,2025-12-04T13:47:12Z,chore: update version to v9.5.0-dev (#9350),https://github.com/lvgl/lvgl/commit/c6a276f5650d62b51f4bdac42e5ed507b4c15357
lvgl/lvgl,https://github.com/lvgl/lvgl,eb023d3,Philipp,2025-12-04T12:58:47Z,fix(spinbox): fix stack corruption (#9256)  Co-authored-by: Gabor Kiss-Vamosi <kisvegabor@gmail.com> Co-authored-by: André Costa <andre_miguel_costa@hotmail.com>,https://github.com/lvgl/lvgl/commit/eb023d304b83f0557550a1b1503cd4e5006f0101
lvgl/lvgl,https://github.com/lvgl/lvgl,050ed13,Victor Wheeler,2025-12-04T03:06:06Z,docs(redirects):  add redirect for renesas XML integration page (#9345),https://github.com/lvgl/lvgl/commit/050ed1325f045b674bf71339e9fa02946011eee4
lvgl/lvgl,https://github.com/lvgl/lvgl,c9caee9,Victor Wheeler,2025-12-03T18:04:31Z,fix(binfont_loader): add include to include missing function from API page (#9344),https://github.com/lvgl/lvgl/commit/c9caee9ac64a216ef487729c57828f4d50a12cd4
lvgl/lvgl,https://github.com/lvgl/lvgl,4d05cc6,André Costa,2025-12-03T16:56:29Z,feat(array): add remove_unordered function (#9339),https://github.com/lvgl/lvgl/commit/4d05cc60a7984a8ebb4fbea63ae82c11cfbc6c5c
lvgl/lvgl,https://github.com/lvgl/lvgl,9160f83,Victor Wheeler,2025-12-02T18:50:52Z,docs(examples):  make `example_list.py` robust (#9317),https://github.com/lvgl/lvgl/commit/9160f83e0e390748c99acb0c385ea8e349afa75e
