项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
memcached/memcached,https://github.com/memcached/memcached,62b3447,dormando,2025-07-29T01:02:35Z,tests: improve extstore-tiered2 reliability  Test would fail to move items to the OLD compaction bucket reliably on slow systems (rpi 3 32bit)  Think I have a real bug in the LRU balancer... somehow too much data is ending up in the COLD LRU and that's causing items to not move to OLD. Could also be a race with the LRU maintainer... would be nice to be able to pause that for tests.,https://github.com/memcached/memcached/commit/62b3447380d3fd547e432d1128d94cd12f2e6852
memcached/memcached,https://github.com/memcached/memcached,dcdae52,dormando,2025-07-25T05:04:21Z,proxy: very limited flagcopyall function  can only handle responses as source and no flag exemptions. just copies result line.,https://github.com/memcached/memcached/commit/dcdae52f9d138685e88f6e97af9e9e130d529c59
memcached/memcached,https://github.com/memcached/memcached,da93938,dormando,2025-07-25T00:32:08Z,proxy: flagcopy removes flag if source is nil,https://github.com/memcached/memcached/commit/da93938350fffc6d8dba1b0e3c420946d994b00b
memcached/memcached,https://github.com/memcached/memcached,37c9467,Tianon Gravi,2025-07-23T19:48:53Z,Fix typecast on setting stop_time during restart,https://github.com/memcached/memcached/commit/37c94672231c471de2d75ff73f46ec9e72f15f44
memcached/memcached,https://github.com/memcached/memcached,b37f6e5,dormando,2025-07-18T21:08:30Z,tests: make slabs-mover test more resilient  ... to slow machines.,https://github.com/memcached/memcached/commit/b37f6e517259ec609f73a3df96224e5ab88eb30c
memcached/memcached,https://github.com/memcached/memcached,bb01954,dormando,2025-07-18T20:39:34Z,"tests: fix low TTL test on slow systems  Was giving 20 seconds of TTL for a ""low TTL item test"" - the test was to ensure that the TEMP_LRU gets recovered properly on restart, not that an item of 20 seconds survives. So we can set that TTL to be much higher to cope with very slow ARM or emulated systems.",https://github.com/memcached/memcached/commit/bb019547f163aaed715df4f9e11c25879ac2d4bd
memcached/memcached,https://github.com/memcached/memcached,cff9e68,dormando,2025-07-15T23:54:07Z,mcmc: upstream updates,https://github.com/memcached/memcached/commit/cff9e685c638054eca586f6807a4e8a119ae431b
memcached/memcached,https://github.com/memcached/memcached,a9fdca2,dormando,2025-07-11T21:12:11Z,proxy: add test for corruption fault  confirmed asserts without the fix in previous commit.,https://github.com/memcached/memcached/commit/a9fdca2918dcd9deb7754921398251c91cc9198a
memcached/memcached,https://github.com/memcached/memcached,5267f14,dormando,2025-07-11T20:39:48Z,proxy: fix memory corruption from bad set uploads  Double-freeing of an rctx was possible if the data format from a set was corrupt (missing final \r\n),https://github.com/memcached/memcached/commit/5267f14c0b439206af856368ff8c951bdb4dffcb
memcached/memcached,https://github.com/memcached/memcached,28f4abf,dormando,2025-07-10T19:21:23Z,"core: fix pipelined set failures on pending reads  - IO objects are enqueued per-worker-thread since a refactor in ec1fb560 - If a set payload is being read off the network but the read gets   EAGAIN, _and_ there are already pending IO objects on the connection,   the worker thread will execute the pending IOs - The worker resume code did not check for conn_nread state and would   resume the connection's state machine if those IO's completed before   the conn_nread state completes. - The connection state is now corrupt and will both leak memory and   throw parsing errors.  This is a one-line fix to avoid resuming the state machine if we were in conn_nread state, as well as avoiding finalizing a connection from the conn_closing state if there are pending suspended responses.",https://github.com/memcached/memcached/commit/28f4abf8edc3ed652fad4c03767d8ee84e70015a
memcached/memcached,https://github.com/memcached/memcached,a5b3ce9,dormando,2025-07-03T18:16:40Z,mcmc: upstream updates  tokenizer optimizations.,https://github.com/memcached/memcached/commit/a5b3ce99806724320b3e81770037dc543ed32806
memcached/memcached,https://github.com/memcached/memcached,750a7d1,dormando,2025-06-25T22:59:33Z,proxy: more inspector tests  nothing was explicitly testing missing flags.,https://github.com/memcached/memcached/commit/750a7d1e6d2ba1ffc992efdc95285900f8bb83c4
memcached/memcached,https://github.com/memcached/memcached,4c5b1e9,dormando,2025-05-23T01:32:51Z,"proxy: fix subrctx issues during error handling  If subrctx hits a fatal error inbetween enqueueing subrctxs but before dispatching requests, the parent rctx will attempt to run the cleanup routines and hit a debug assert since the final pending_reqs never decremented.  If the tree runs again and does _not_ hit the same fatal error it would not return to the cache properly since pending_reqs would never hit 0 on the leaf nodes.  In reality if lua's throwing fatals you've probably goofed the code and it will never work again, so impact is minimal.",https://github.com/memcached/memcached/commit/4c5b1e99b62de642b777baf0ec9e7c6bfde129ee
memcached/memcached,https://github.com/memcached/memcached,c25ddfe,dormando,2025-05-19T22:42:59Z,"proxy: repair proxy_req_active counter  much to my surprise: no actual unit tests checking that proxy_req_active works! Dammit!  Missed the spot in the stat aggregator, so the previous update worked internally but always printed zero in stats output.",https://github.com/memcached/memcached/commit/c25ddfe3a6007d3595be6850d8596c35de170224
memcached/memcached,https://github.com/memcached/memcached,f47aa28,dormando,2025-05-17T00:38:40Z,tls: minor fix when tls disabled  forgot to check before committing..,https://github.com/memcached/memcached/commit/f47aa28c4a0578a45309efd76568c7efec136dde
memcached/memcached,https://github.com/memcached/memcached,53163d9,dormando,2025-05-17T00:26:08Z,"proxy: improvements for proxy_req_active  Improves test coverage for returning request contexts. Changes proxy_req_active from unsigned to signed int, so accidental overdecrements won't trigger the request limit.",https://github.com/memcached/memcached/commit/53163d9259e65bd79df27cc37b19510b659f546d
memcached/memcached,https://github.com/memcached/memcached,96e05b7,dormando,2025-05-16T18:47:57Z,"tls: fix potential hang when pipelining sets  If TLS is in use and sets are being pipelined together, it's possible for OpenSSL to read the next command into pending BIO data while we're reading the payload of a prior set. We then go to sleep expecting epoll to wake us up if data is still available on the socket.  We now check for SSL_pending bytes before stopping the state machine loop.  This _may_ not be the only fix required for this state but it will be the most common one.",https://github.com/memcached/memcached/commit/96e05b75f0e095e0a603ac64422976ef1e0c9363
memcached/memcached,https://github.com/memcached/memcached,94026ef,dormando,2025-04-02T03:15:47Z,proxy: fix idiot bug  dormando is stupid. how did this work when I tested it?,https://github.com/memcached/memcached/commit/94026ef1c309386ccdbcecd24621eb573fafec73
memcached/memcached,https://github.com/memcached/memcached,3047889,dormando,2025-04-01T23:18:10Z,proxy: missing OR for error flag,https://github.com/memcached/memcached/commit/3047889f983617fb7a7aa6da01998120ffe0e55b
memcached/memcached,https://github.com/memcached/memcached,e895b82,dormando,2025-03-31T23:01:29Z,proxy: fix double logging with subrctx's,https://github.com/memcached/memcached/commit/e895b8262451f04f151b39500c6ab66e5544d46b
memcached/memcached,https://github.com/memcached/memcached,a2e47b5,dormando,2025-03-29T01:14:21Z,"tests: attempt to make extstore tests less flaky  on very slow systems we may not wait long enough for background threads to run, and may end up waiting a long time for them to wake up. So we changed the item_age from 2 seconds to 0 seconds in hopes of preventing the bg thread from sleeping. We also watch the sysevents log to ensure the compaction thread is idle for a while after we expect it to run.",https://github.com/memcached/memcached/commit/a2e47b5afdf6ad7deeb54ce9fb1d45cf8cfd1024
memcached/memcached,https://github.com/memcached/memcached,9f9d286,dormando,2025-03-27T21:59:02Z,crawler: fix issue with strict alignment (ARM)  introduced in c46431105 - copying wrong amount of bytes.,https://github.com/memcached/memcached/commit/9f9d286d3128fa666d486c303ce62c63b008b642
memcached/memcached,https://github.com/memcached/memcached,1a0a0b2,Tianon Gravi,2025-03-25T00:00:10Z,"proxy: fix `time_*_millis` overflow on 32bit sys  This fixes a time overflow by casting `tv_sec` to `lua_Integer` (which is `long long` unless explicitly configured otherwise) before multiplying it by 1000, which ensures the result doesn't become negative before being assigned to a `lua_Integer` value and returned.  Concretely, this fixes the test failure in `t/proxyunits.t` on systems that have not yet transitioned to `time64_t` (notably, Debian 12 / Bookworm; that transition should be part of 13 / Trixie, which will likely be released later this year).",https://github.com/memcached/memcached/commit/1a0a0b2591176a7c82412e27f3e17ba9133cd8dd
memcached/memcached,https://github.com/memcached/memcached,c464311,dormando,2025-03-24T19:56:42Z,crawler: speedup and extstore info  Unrolls the sprintf used for `lru_crawler metadump` since it is a hot path. Increases dump speed with no crawler sleep by 30%.  Also adds the disk page and disk page offset via `ext_page` and `ext_offset` if the item is on disk.  Credit to @hemal-shah for the idea on dumping extstore information.,https://github.com/memcached/memcached/commit/c464311059b54bbd92f07550f1eb3a1eb49dae68
memcached/memcached,https://github.com/memcached/memcached,efac473,dormando,2025-03-20T02:41:09Z,mcmc: upstream updates,https://github.com/memcached/memcached/commit/efac473013a9bc967b6fec22a73c7027a926c0ab
memcached/memcached,https://github.com/memcached/memcached,db6cc06,dormando,2025-03-19T21:49:00Z,docs: clean up README more,https://github.com/memcached/memcached/commit/db6cc06efcd77ca6c74f568507159066d2104349
memcached/memcached,https://github.com/memcached/memcached,7c8b7f2,dormando,2025-03-19T21:44:46Z,proxy: extra test for subrctx code  ensuring FASTGOOD isn't returning early on errors from subrctx.,https://github.com/memcached/memcached/commit/7c8b7f23507762343ceac2099f27c239aae99224
memcached/memcached,https://github.com/memcached/memcached,7ae9de6,dormando,2025-03-19T17:09:16Z,"proxy: wait for all possible responses on errors  previous commit ""fixed"" a situation where it waits for all responses in impossible situations, but this breaks FASTGOOD specifically.  I may add the early resume code back to non-FASTGOOD cases but that requires a test suite audit first.",https://github.com/memcached/memcached/commit/7ae9de68fa74db0ceec84fac31f29db5c7d9b09a
memcached/memcached,https://github.com/memcached/memcached,2ae1b4e,jinyaoguo,2025-03-18T23:06:08Z,Release memory in function restart_get_kv,https://github.com/memcached/memcached/commit/2ae1b4ee7e40ec10b78ddada391c20c5a86e30e8
memcached/memcached,https://github.com/memcached/memcached,f9fc4e4,jinyaoguo,2025-03-18T22:31:47Z,Release memory in function _evict_page,https://github.com/memcached/memcached/commit/f9fc4e4e6d44bbeca39531c5e1781e3cfc608ecc
memcached/memcached,https://github.com/memcached/memcached,a3f9fed,Kanak Kshetri,2025-03-07T17:48:50Z,assoc.c: fix leak in assoc_get_iterator  when trylock fails,https://github.com/memcached/memcached/commit/a3f9fedd11d29d53f789456d14f17292490d666c
memcached/memcached,https://github.com/memcached/memcached,91de5e8,mugitya03,2025-02-26T17:34:29Z,Free `subopts_orig` in function main  The memory allocated at line 5179 is not freed when function exits.,https://github.com/memcached/memcached/commit/91de5e8e55303ae410c4b35cd188b22ed75c5478
memcached/memcached,https://github.com/memcached/memcached,e505574,mugitya03,2025-02-26T17:15:58Z,Free `temp_portnumber_filename` before exits  A memory is allocated and stored in pointer `temp_portnumber_filename`  temp_portnumber_filename = malloc(len);  It is not freed when the function exits at exception branches.,https://github.com/memcached/memcached/commit/e5055740aebd04492f02179b0e8f3bbccd7d71bb
memcached/memcached,https://github.com/memcached/memcached,6fb5ef7,dormando,2025-03-19T00:27:32Z,proxy: flag error res objects properly  pertains to fix in previous commit.  also improves `rctx:worst_result` since the flags are increasingly-worse numerically.,https://github.com/memcached/memcached/commit/6fb5ef76014a32f9e13ad54f4ea10c87614252fa
memcached/memcached,https://github.com/memcached/memcached,d0341eb,dormando,2025-03-18T22:19:52Z,"proxy: fix wait_cond with subrctx errors  If a subrctx completes a response to the parent but still has an executing child (ie; async request or wait timeout), the pending_reqs counter would not decrement on the parent rctx and a wait_cond will either delay or never complete when there are not potential responses to wait for.",https://github.com/memcached/memcached/commit/d0341eb159d6c5a409d4908626a3029fa0d68ba4
memcached/memcached,https://github.com/memcached/memcached,1396d75,dormando,2025-03-18T00:58:43Z,docs: move build instructions to README.md,https://github.com/memcached/memcached/commit/1396d755a3db863d16a2b917ddc21693439ab703
memcached/memcached,https://github.com/memcached/memcached,8280485,dormando,2025-03-18T00:48:11Z,"proxy: rctx:best_result fix for missed responses  best_result would return an initialized but not filled response object if the underlying handler had either not been dispatched or did not respond yet.  now returns nil, nil properly if all responses are missing.",https://github.com/memcached/memcached/commit/8280485d2b93432d9dd532ef7b2147d09ae5488c
memcached/memcached,https://github.com/memcached/memcached,dfe439d,dormando,2025-03-04T00:43:42Z,proxy: add tests for best/worst result API  Feels like I'm missing a deeper test case but can't come up with it right now.,https://github.com/memcached/memcached/commit/dfe439d4cba3748bad5b0c8adaf1b7fb0c98ea40
