项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,9509d91,Nathan Brake,2025-11-05T17:06:18Z,feat: move docs to mkdocs (#824)  * feat: move docs to mkdocs  * Refactor so that docs are direct copy paste  * Fix links  * Update README.md  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>  * Update docs/quickstart.md  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>  * Apply suggestions from code review  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>  ---------  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>,https://github.com/mozilla-ai/llamafile/commit/9509d911179dcb18ca61ee9e45de26d29c4f9bd5
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,9d975d0,Nathan Brake,2025-11-04T15:42:46Z,"chore: llama.cpp as submodule (#819)  * feat: integrate whisper.cpp as a submodule with patches  * simplify naming  * Not final state but wanted to get this up: with these edits now the apply-patches script perfectly lines up with the current whisper.cpp folder in the main branch  * apply patches in CI  * Update ci.yml  * Update ci.yml  * fix: register whisper.cpp submodule  * pin whisper.cpp to commit  * move to patches  * patches  * Refactor  * convert stable diffusion to submodule  * llama.cpp as submodule  * add to make setup  * whitespace  * patch all deps  * Fix whitespace issues  * Cleanup of files that are both renamed and copied, part 1  * further cleanup  * split patches out into their own files  * Update llama.cpp.patches/apply-patches.sh  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>  ---------  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>",https://github.com/mozilla-ai/llamafile/commit/9d975d095e6cfceac01f4586ad601136efaeaed4
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,7ee25fe,Nathan Brake,2025-11-03T18:48:55Z,chore: convert stable diffusion to submodule (#818)  * feat: integrate whisper.cpp as a submodule with patches  * simplify naming  * Not final state but wanted to get this up: with these edits now the apply-patches script perfectly lines up with the current whisper.cpp folder in the main branch  * apply patches in CI  * Update ci.yml  * Update ci.yml  * fix: register whisper.cpp submodule  * pin whisper.cpp to commit  * move to patches  * patches  * Refactor  * convert stable diffusion to submodule  * allow manual trigger,https://github.com/mozilla-ai/llamafile/commit/7ee25fea6360a2a2f8b45006ca004d2db74158b2
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,1a5d1c2,Nathan Brake,2025-11-03T18:12:27Z,chore: integrate whisper.cpp as a submodule (#813)  * feat: integrate whisper.cpp as a submodule with patches  * simplify naming  * Not final state but wanted to get this up: with these edits now the apply-patches script perfectly lines up with the current whisper.cpp folder in the main branch  * apply patches in CI  * Update ci.yml  * Update ci.yml  * fix: register whisper.cpp submodule  * pin whisper.cpp to commit  * move to patches  * patches  * Refactor  * Update Makefile  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>  ---------  Co-authored-by: Davide Eynard <davide.eynard@gmail.com>,https://github.com/mozilla-ai/llamafile/commit/1a5d1c2e5bc9fdb8c2e0192d93dfe716f7fdd4de
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,6b46419,Nathan Brake,2025-10-31T16:26:26Z,chore: Update README.md to include call for community feedback on llamafile (#812)  * Update README.md to include a call for community feedback on llamafile  * Update README.md to include a call for community feedback on llamafile,https://github.com/mozilla-ai/llamafile/commit/6b464191def244cd9f97bba098129424672196fb
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,cfa861a,CJ Pais,2025-06-30T19:03:05Z,Merge pull request #760 from henfiber/accept-content-array  Accept array in chat message content field,https://github.com/mozilla-ai/llamafile/commit/cfa861a69cb9fb3b1101d1c435ec6c2bfa35365c
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,1562542,henfiber,2025-06-01T04:05:48Z,accept array in chat message content field,https://github.com/mozilla-ai/llamafile/commit/15625421c83c8b18042c57160da439c32b934702
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,ff0c02e,CJ Pais,2025-05-14T22:05:36Z,Release llamafile v0.9.3,https://github.com/mozilla-ai/llamafile/commit/ff0c02e6c560d88324966e88a718485989b41c1e
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,51b357b,CJ Pais,2025-05-13T19:48:05Z,Merge pull request #743 from cjpais/qwen3-support  Qwen3 Support,https://github.com/mozilla-ai/llamafile/commit/51b357b9774796d455716134c323477156a4c7b7
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,e7b29e1,CJ Pais,2025-05-13T19:45:58Z,use code from ik,https://github.com/mozilla-ai/llamafile/commit/e7b29e19119e17be6bca372f9da63a9655873c78
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,5d67144,CJ Pais,2025-04-30T18:42:23Z,add names of models in,https://github.com/mozilla-ai/llamafile/commit/5d67144ccf42742a0bdf5b34922e4ba2665fdba6
mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,bd1bbe9,CJ Pais,2025-04-21T18:29:37Z,Merge pull request #744 from cjpais/phi4-support  Add phi4 support,https://github.com/mozilla-ai/llamafile/commit/bd1bbe9aabb1ee12dbdcafa8936db443c571eb9d
