项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
mpv-player/mpv,https://github.com/mpv-player/mpv,dbd7a90,nanahi,2025-12-03T16:33:55Z,"clipboard-x11: request selection at init  XFixesSelectionNotifyEvent does not give an initial notification, so initial selection needs to be requested manually.",https://github.com/mpv-player/mpv/commit/dbd7a905b6ed47dd8f0acd09a1f4cc9a08e854a6
mpv-player/mpv,https://github.com/mpv-player/mpv,1ee2073,nanahi,2025-12-03T16:23:40Z,clipboard-x11: use separate properties to receive primary and clipboard  Fixes one of the property not being set when a client sets primary and clipboard at the same time.,https://github.com/mpv-player/mpv/commit/1ee207329a45ca41bd73be7cacad7438b4ff82ad
mpv-player/mpv,https://github.com/mpv-player/mpv,72dbcf1,Kacper Michajłow,2025-11-30T16:09:27Z,ci: update some github actions,https://github.com/mpv-player/mpv/commit/72dbcf119a9ed5082be2f226593194e20f611eea
mpv-player/mpv,https://github.com/mpv-player/mpv,3a4e0fc,sfan5,2025-11-30T13:27:47Z,ci/mingw: update dependency versions,https://github.com/mpv-player/mpv/commit/3a4e0fc2007b6571564bcf4c4d93443cbf4321cf
mpv-player/mpv,https://github.com/mpv-player/mpv,393b3fc,sfan5,2025-11-30T13:24:26Z,ci/mingw: use a mirror instead of ftp.gnu.org  it's apparently constantly down these days...,https://github.com/mpv-player/mpv/commit/393b3fc11592f0dba30f5a5efdc394cefa845c43
mpv-player/mpv,https://github.com/mpv-player/mpv,584b368,sfan5,2025-11-30T13:13:24Z,demux_playlist: clarify reason for HLS detection  see 0b1c3e8de22afc89868ad4aeb2a70738de33288c,https://github.com/mpv-player/mpv/commit/584b3689724dab4657356b5a7e64646ae86313ed
mpv-player/mpv,https://github.com/mpv-player/mpv,2ad27be,sfan5,2025-11-30T12:12:00Z,demux_lavf: remove 'bin' format from blacklist  A probing function was implemented in ffmpeg 4.0: <https://github.com/FFmpeg/FFmpeg/commit/8f6a71f7f13d21614f5140e672976e96dca04af8>,https://github.com/mpv-player/mpv/commit/2ad27be8beb0ce876f16bd69fbc7ce239764600f
mpv-player/mpv,https://github.com/mpv-player/mpv,4614dd6,Guido Cella,2025-10-12T05:41:01Z,"etc/mpv.conf: replace the --sharpen example  gpu-next doesn't support --sharpen and it is now the default VO, so replace it with something that actually works.",https://github.com/mpv-player/mpv/commit/4614dd6859dc6630cdc80de73414f90649714fcf
mpv-player/mpv,https://github.com/mpv-player/mpv,6756e86,nanahi,2025-11-22T13:46:07Z,"player/command: fix playlist-remove argument requirement  playlist-remove has a required index argument, as indicated by the documentation. However, in 332907e1d7225ae39565d462aac5c45c3a5cad97 MP_CMD_OPT_ARG was mistakenly added, making it optional. The effect of not specifying the argument is defaulting the index to 0 and always removing the first element in the playlist, which is not expected.  Fix this by making the argument required.  Fixes: 332907e1d7225ae39565d462aac5c45c3a5cad97",https://github.com/mpv-player/mpv/commit/6756e8638456b9a1253340242103a7f3f7ae69f8
mpv-player/mpv,https://github.com/mpv-player/mpv,69e7341,Lynne,2025-11-26T09:05:32Z,"vd_lavc: enable hwdec for DPX by default  Another Vulkan compute codec was merged in FFmpeg, for DPX.",https://github.com/mpv-player/mpv/commit/69e7341e8a1bf26f407809004a8e77734cf26356
