项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
netdata/netdata,https://github.com/netdata/netdata,b921c2e,Ilya Mashchenko,2025-12-05T13:44:10Z,"fix(rabbitmq): remove ""rabbitmq_version"" check (#21411)",https://github.com/netdata/netdata/commit/b921c2ea6d413ae8cb957462935f98f544fb7266
netdata/netdata,https://github.com/netdata/netdata,9417d56,Ilya Mashchenko,2025-12-05T13:18:32Z,fix(kickstart): install epel before repo config pkg (#21410),https://github.com/netdata/netdata/commit/9417d5644a9aba218d12fd2594a71b5094c7debf
netdata/netdata,https://github.com/netdata/netdata,739cd71,Austin S. Hemmelgarn,2025-12-05T11:54:30Z,"Disable MongoDB exporter for Ubuntu 20.04, 22.04, and 24.04 packages. (#21403)",https://github.com/netdata/netdata/commit/739cd718ff7298f12fe78c6223a82b1272cb17c3
netdata/netdata,https://github.com/netdata/netdata,40d85f6,Austin S. Hemmelgarn,2025-12-05T11:54:10Z,Update bundled components for static builds. (#21401)  * Bump versions of vendored dependencies for static builds.  * Disable brotli in bundled libcurl.  It doesn’t build correctly against the version of libbrotli in Alpine 3.23.0.,https://github.com/netdata/netdata/commit/40d85f6641fe699ed951640b9facb6cf833e67c6
netdata/netdata,https://github.com/netdata/netdata,5c61d4a,Netdata bot,2025-12-05T08:50:16Z,Regenerate integrations docs (#21407)  Co-authored-by: Ancairon <70198089+Ancairon@users.noreply.github.com>,https://github.com/netdata/netdata/commit/5c61d4a85087a10a40c8e91b91700c3d397ab3b9
netdata/netdata,https://github.com/netdata/netdata,a95b034,Fotis Voutsas,2025-12-05T08:36:57Z,Add keyword support to the documentation map (#21402)  * Update map.csv  * Update map.csv  * Fix keywords format in map.csv  Updated keywords format for better clarity.  * Update map.csv  * Fix formatting of keywords in map.csv  * Fix formatting of keywords in map.csv  * Update keywords in map.csv for consistency  * Update map.csv  * Update map.csv  * Update README.md  * don't use brackets for keywords  * :D README  * keywords in integrations  * keywords are in different spot in collectors than rest,https://github.com/netdata/netdata/commit/a95b034fb8adcf1e917debc95687b0cf007c0981
netdata/netdata,https://github.com/netdata/netdata,f483da8,Ilya Mashchenko,2025-12-05T05:21:40Z,fix(go.d/pkg/ndexec): return the output along with the error (#21405),https://github.com/netdata/netdata/commit/f483da8f13949288e3045ec5d144bb9790429d4b
netdata/netdata,https://github.com/netdata/netdata,5a31800,netdatabot,2025-12-05T00:16:08Z,[ci skip] Update changelog and version for nightly build: v2.8.0-70-nightly.,https://github.com/netdata/netdata/commit/5a31800783d48943519abcad55729732b44c5d35
netdata/netdata,https://github.com/netdata/netdata,0f9a061,Ilya Mashchenko,2025-12-04T18:12:11Z,fix(kickstart): fix incorrect find command patterns (#21399),https://github.com/netdata/netdata/commit/0f9a0612f0fdf9588216f0ac855f376f6191b881
netdata/netdata,https://github.com/netdata/netdata,b50bc52,Stelios Fragkakis,2025-12-04T17:22:33Z,Fix validation of extent index in journal file (#21400),https://github.com/netdata/netdata/commit/b50bc52296980dbcedbc590bd08f2ea53b6d30ba
netdata/netdata,https://github.com/netdata/netdata,edb587b,Stelios Fragkakis,2025-12-04T07:17:11Z,Fix shutdown timeout handling in completion wait function (#21395),https://github.com/netdata/netdata/commit/edb587b89cc2c4983d97fd6751dea3bc0c09f2b6
netdata/netdata,https://github.com/netdata/netdata,7c36d82,netdatabot,2025-12-04T00:16:17Z,[ci skip] Update changelog and version for nightly build: v2.8.0-66-nightly.,https://github.com/netdata/netdata/commit/7c36d82892a1aaed5bb687a15e0048ed5baf0760
