项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
nginx/nginx,https://github.com/nginx/nginx,0427f53,QirunGao,2025-12-02T22:32:47Z,SSL: avoid warning when ECH is not configured and not supported.,https://github.com/nginx/nginx/commit/0427f5335f7abfbb733a72d6bf3561508f5d8a88
nginx/nginx,https://github.com/nginx/nginx,3671136,Alessandro Fael Garcia,2025-06-10T14:14:53Z,"Update GitHub templates and markdown files.  - Issue templates are replaced with forms.  Forms allow to explicitly ask   for certain info before an issue is opened, they can be programmatically   queried via GH actions to get the data in fields.  - Added language around GH discussions vs the forum in the issue forms.  - Added GH discussions templates.  These templates delineate which types   of discussions belong on GitHub vs the community forum.  - Created SUPPORT.md to delineate which types of topics belong on GitHub   vs different support channels (community forum/docs/commercial support).  - Updated CONTRIBUTING.md:   - Removed text that belongs in SUPPORT.md.   - Added F5 CLA clarifying text.  - Added badges to README.md.  Most of these are there to make information   even clearer, moreso for users reading README.md from sources outside   GitHub.",https://github.com/nginx/nginx/commit/367113670ecda664074926e1ceb66fcef03972d1
nginx/nginx,https://github.com/nginx/nginx,ab4f5b2,sftcd,2025-11-26T14:12:07Z,Add basic ECH shared-mode via OpenSSL.,https://github.com/nginx/nginx/commit/ab4f5b2d32c1f621ebdf5816a34b568015b98c63
nginx/nginx,https://github.com/nginx/nginx,bcb41c9,Sergey Kandaurov,2025-11-24T11:57:09Z,"Proxy: fixed segfault in URI change.  If request URI was shorter than location prefix, as after replacement with try_files, location length was used to copy the remaining URI part leading to buffer overread.  The fix is to replace full request URI in this case.  In the following configuration, request ""/123"" is changed to ""/"" when sent to backend.      location /1234 {         try_files /123 =404;         proxy_pass http://127.0.0.1:8080/;     }  Closes #983 on GitHub.",https://github.com/nginx/nginx/commit/bcb41c91939009b7d01074c9a8f3cef1da13ec50
nginx/nginx,https://github.com/nginx/nginx,6446f99,Sergey Kandaurov,2025-11-05T12:15:12Z,"Changed interface of ngx_http_validate_host().  This allows to process a port subcomponent and save it in r->port in a unified way, similar to r->headers_in.server.  For HTTP/1.x request line in the absolute form, r->host_end now includes a port subcomponent, which is also consistent with HTTP/2 and HTTP/3.",https://github.com/nginx/nginx/commit/6446f99107fff83469145b16983ebec99261a2db
nginx/nginx,https://github.com/nginx/nginx,511abb1,Sergey Kandaurov,2025-11-04T12:34:32Z,"Improved host header validation.  Validation is rewritten to follow RFC 3986 host syntax, based on ngx_http_parse_request_line().  The following is now rejected: - the rest of gen-delims ""#"", ""?"", ""@"", ""["", ""]"" - other unwise delims <"">, ""<"", "">"", ""\"", ""^"", ""`', ""{"", ""|"", ""}"" - IP literals with a trailing dot, missing closing bracket, or pct-encoded - a port subcomponent with invalid values - characters in upper half",https://github.com/nginx/nginx/commit/511abb19e1e1b127f6d0943ccac346211a490a35
nginx/nginx,https://github.com/nginx/nginx,6ed1188,Sergey Kandaurov,2025-11-14T14:14:18Z,"HTTP/2: extended guard for NULL buffer and zero length.  In addition to moving memcpy() under the length condition in 15bf6d8cc, which addressed a reported UB due to string function conventions, this is repeated for advancing an input buffer, to make the resulting code more clean and readable.  Additionally, although considered harmless for both string functions and additive operators, as previously discussed in GitHub PR 866, this fixes the main source of annoying sanitizer reports in the module.  Prodded by UndefinedBehaviorSanitizer (pointer-overflow).",https://github.com/nginx/nginx/commit/6ed1188411882086e3518eda779ab782d8ab4d3f
nginx/nginx,https://github.com/nginx/nginx,9d04b66,Sergey Kandaurov,2025-11-10T17:36:40Z,"SSL: fixed build with BoringSSL, broken by 38a701d88.",https://github.com/nginx/nginx/commit/9d04b6630aa77de45d8946f84edfc6c174f15c70
nginx/nginx,https://github.com/nginx/nginx,38a701d,Sergey Kandaurov,2025-11-06T13:30:41Z,"SSL: ngx_ssl_set_client_hello_callback() error handling.  The function interface is changed to follow a common approach to other functions used to setup SSL_CTX, with an exception of ""ngx_conf_t *cf"" since it is not bound to nginx configuration.  This is required to report and propagate SSL_CTX_set_ex_data() errors, as reminded by Coverity (CID 1668589).",https://github.com/nginx/nginx/commit/38a701d88b14f0747003c4e893d9fb13f51639ca
nginx/nginx,https://github.com/nginx/nginx,ac99f28,Thierry Bastian,2025-11-04T17:28:52Z,Configure: MSVC compatibility with PCRE2 10.47.,https://github.com/nginx/nginx/commit/ac99f2808b9ff7bdce91b129539cb1ed30dd1458
nginx/nginx,https://github.com/nginx/nginx,a386df6,Sergey Kandaurov,2025-11-06T11:31:37Z,Version bump.,https://github.com/nginx/nginx/commit/a386df6b239008f7b88fb8df8fdf1ac911d9f2e4
nginx/nginx,https://github.com/nginx/nginx,99312be,Andrew Clayton,2025-09-23T02:46:43Z,"Configure: ensure we get the ""built by ..."" line in nginx -V.  For certain compilers we embed the compiler version used to build nginx in the binary, retrievable via 'nginx -V', e.g.    $ ./objs/nginx -V   ...   built by gcc 15.2.1 20250808 (Red Hat 15.2.1-1) (GCC)   ...  However if the CFLAGS environment variable is set this would be omitted.  This is due to the compiler specific auto/cc files not being run when the CFLAGS environment variable is set, this is so entities can set their own compiler flags, and thus the NGX_COMPILER variable isn't set.  Nonetheless it is a useful thing to have so re-work the auto scripts to move the version gathering out of the individual auto/cc/$NGX_CC_NAME files and merge them into auto/cc/name.  Link: <https://github.com/nginx/nginx/issues/878>",https://github.com/nginx/nginx/commit/99312be10c0edd554a40df03591ed2d905f8bd10
nginx/nginx,https://github.com/nginx/nginx,fd0848b,Roman Arutyunyan,2025-10-27T11:32:12Z,nginx-1.29.3-RELEASE,https://github.com/nginx/nginx/commit/fd0848bdd3f7ed50a3a2cd5abe6bf4ae186927c6
nginx/nginx,https://github.com/nginx/nginx,65c0b2e,Roman Arutyunyan,2025-10-27T12:12:46Z,Modules compatibility: increased compat section size.,https://github.com/nginx/nginx/commit/65c0b2e7709aa6949747dc2925dc3bcbddc1659f
nginx/nginx,https://github.com/nginx/nginx,f04e2b7,Roman Arutyunyan,2025-10-27T17:16:49Z,Fixed compilation warnings on Windows after c93a0c48af87.,https://github.com/nginx/nginx/commit/f04e2b7f6e96a0587f091229272a5f060dbf32c0
nginx/nginx,https://github.com/nginx/nginx,ce30a1c,Roman Semenov,2025-10-22T18:24:27Z,OCSP: fixed invalid type for the 'ssl_ocsp' directive.,https://github.com/nginx/nginx/commit/ce30a1cb0ddce88027e760dc91145af6c6e8eef1
nginx/nginx,https://github.com/nginx/nginx,c93a0c4,Roman Arutyunyan,2025-07-14T17:44:05Z,"Headers filter: inheritance control for add_header and add_trailer.  The new directives add_header_inherit and add_trailer_inherit allow to alter inheritance rules for the values specified in the add_header and add_trailer directives in a convenient way.  The ""merge"" parameter enables appending the values from the previous level to the current level values.  The ""off"" parameter cancels inheritance of the values from the previous configuration level, similar to add_header """" (2194e75bb).  The ""on"" parameter (default) enables the standard inheritance behaviour, which is to inherit values from the previous level only if there are no directives on the current level.  The inheritance rules themselves are inherited in a standard way.  Thus, for example, ""add_header_inherit merge;"" specified at the top level will be inherited in all nested levels recursively unless redefined below.",https://github.com/nginx/nginx/commit/c93a0c48af87bbae1568eaf110e207e435bbe0bd
nginx/nginx,https://github.com/nginx/nginx,ac72ca6,Dmitry Plotnikov,2025-10-21T19:48:36Z,"Geo: the ""volatile"" parameter.  Similar to map's volatile parameter, creates a non-cacheable geo variable.",https://github.com/nginx/nginx/commit/ac72ca60c773a9ab6f3c6344ac1f2c03ca2b3201
nginx/nginx,https://github.com/nginx/nginx,71f8eb5,Sergey Kandaurov,2025-10-17T16:38:17Z,"SSL: $ssl_sigalg, $ssl_client_sigalg.  Variables contain the IANA name of the signature scheme[1] used to sign the TLS handshake.  Variables are only meaningful when using OpenSSL 3.5 and above, with older versions they are empty.  Moreover, since this data isn't stored in a serialized session, variables are only available for new sessions.  [1] https://www.iana.org/assignments/tls-parameters/tls-parameters.xhtml  Requested by willmafh.",https://github.com/nginx/nginx/commit/71f8eb52b7746d6d8ddeb6efab5fc115c187be31
nginx/nginx,https://github.com/nginx/nginx,364a94e,Roman Arutyunyan,2025-10-23T14:21:57Z,"Upstream: reset local address in case of error.  After f10bc5a763bb the address was set to NULL only when local address was not specified at all.  In case complex value evaluated to an empty or invalid string, local address remained unchanged.  Currenrly this is not a problem since the value is only set once.  This change is a preparation for being able to change the local address after initial setting.",https://github.com/nginx/nginx/commit/364a94ecec13037126f28f91cf8f290979ffc229
nginx/nginx,https://github.com/nginx/nginx,42ca3a4,Roman Arutyunyan,2025-09-23T11:03:52Z,"CONNECT method support for HTTP/1.1.  The change allows modules to use the CONNECT method with HTTP/1.1 requests. To do so, they need to set the ""allow_connect"" flag in the core server configuration.",https://github.com/nginx/nginx/commit/42ca3a4576a32d0a912b0bba4088b8169f55ab2d
