项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
nicbarker/clay,https://github.com/nicbarker/clay,389a044,Isaiah Paget,2025-12-05T03:23:56Z,[Bindings/Odin] Fixed incorrect assignment in README example (#533),https://github.com/nicbarker/clay/commit/389a044cd203473924082c9817655f661fd4fe4b
nicbarker/clay,https://github.com/nicbarker/clay,2749e56,github-actions[bot],2025-11-26T04:12:20Z,[bindings/odin] Update Odin bindings,https://github.com/nicbarker/clay/commit/2749e56e7e9aaa8a5f17b859fd49dd15a77fe553
nicbarker/clay,https://github.com/nicbarker/clay,0c8e300,TotallyGamerJet,2025-11-26T04:11:34Z,[Core] Update Clay_OnHover to take void* instead of uintptr_t (#334),https://github.com/nicbarker/clay/commit/0c8e30052493706663da2bf366574dcf6f31882b
nicbarker/clay,https://github.com/nicbarker/clay,7a9a976,Yang Zhang,2025-11-26T02:38:34Z,Remove unneeded semicolon so that Odin compiler won't fail with -strict-style -vet (#514),https://github.com/nicbarker/clay/commit/7a9a976d42acd28ca1f683c938fc4a4f1148c75e
nicbarker/clay,https://github.com/nicbarker/clay,c13feb2,Rats,2025-11-11T22:46:20Z,[Bindings/Odin] Improve example text measurement function (#541),https://github.com/nicbarker/clay/commit/c13feb2428f26d0e88d3d7d31ac0d5d2faa5fb4d
nicbarker/clay,https://github.com/nicbarker/clay,fd97d81,Daniel Mayovskiy,2025-10-23T01:58:39Z,[Renderers/termbox] fixed horizontal text culling bug (#525),https://github.com/nicbarker/clay/commit/fd97d8179e329be597bd8f7a1a9a2382d191ff1f
nicbarker/clay,https://github.com/nicbarker/clay,7216815,Daniel Mayovskiy,2025-10-23T01:57:11Z,"Fixed termbox2 demo build, added scroll functionality (#523)",https://github.com/nicbarker/clay/commit/7216815536a011d51427495ffcdce969a808c5ea
nicbarker/clay,https://github.com/nicbarker/clay,8312999,Thomas Anderson,2025-10-23T01:56:20Z,[Examples/official-website] updated paths in build.sh,https://github.com/nicbarker/clay/commit/83129995f7e9af9385d4b50be1fe6b2a1c02f5d2
nicbarker/clay,https://github.com/nicbarker/clay,588b931,Daniel Mayovskiy,2025-10-02T01:21:11Z,[Renderers/termbox] Fixing termbox2-image-demo build error (#524),https://github.com/nicbarker/clay/commit/588b93196cc7a182a024a9ef08ba8e352904a1bd
nicbarker/clay,https://github.com/nicbarker/clay,382dcde,github-actions[bot],2025-10-02T01:17:05Z,[bindings/odin] Update Odin bindings,https://github.com/nicbarker/clay/commit/382dcde89d460e1457a84acf14e7682f8bd86055
