项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
nothings/stb,https://github.com/nothings/stb,f1c79c0,Sean Barrett,2025-10-25T22:38:56Z,Merge pull request #1851 from jeffrbig2/master  stb_image_resize 2.17 - fix silly format bug in resize easy-to-use apis,https://github.com/nothings/stb/commit/f1c79c02822848a9bed4315b12c8c8f3761e1296
nothings/stb,https://github.com/nothings/stb,cf79a48,Jeff Roberts (LA),2025-10-25T19:06:56Z,fix silly format bug in easy-to-use apis,https://github.com/nothings/stb/commit/cf79a4819767b5c136712221be78c83e28c54a6a
nothings/stb,https://github.com/nothings/stb,4c56459,Sean Barrett,2025-10-22T21:55:44Z,update readme,https://github.com/nothings/stb/commit/4c5645949723fbb9c060c3f94157331fa1d043bf
nothings/stb,https://github.com/nothings/stb,f7381b3,Jeff Roberts (LA),2025-10-22T20:30:41Z,"stb_image_resize 2.16 - fixed the easy-to-use APIs to allow inverted bitmaps (negative strides), fix vertical filter kernel callback, fix threaded gather buffer priming (and assert)",https://github.com/nothings/stb/commit/f7381b3aaec4f2ff9e62311795c6397470380baf
nothings/stb,https://github.com/nothings/stb,fede005,Sean Barrett,2025-09-07T20:07:34Z,Merge pull request #1820 from jeffrbig2/resize2.14  stb_image_resize2 2.15 - couple small unusual asssert and warning workarounds,https://github.com/nothings/stb/commit/fede005abaf93d9d7f3a679d1999b2db341b360f
nothings/stb,https://github.com/nothings/stb,f6142a7,Jeff Roberts (LA),2025-07-17T21:58:12Z,stb_image_resize2 - couple small unusual asssert and warning workarounds,https://github.com/nothings/stb/commit/f6142a72e0791942c073c8c5768fd6065d21be19
nothings/stb,https://github.com/nothings/stb,f58f558,Sean Barrett,2025-05-26T12:08:07Z,fix typo,https://github.com/nothings/stb/commit/f58f558c120e9b32c217290b80bad1a0729fbb2c
nothings/stb,https://github.com/nothings/stb,981f08a,codealpha07,2025-05-26T07:07:08Z,Fixed typo in readme.header.md,https://github.com/nothings/stb/commit/981f08afbc7c4317f56cbbe80728774eeb8e8663
nothings/stb,https://github.com/nothings/stb,802cd45,Sean Barrett,2025-05-12T11:17:57Z,Create SECURITY.md,https://github.com/nothings/stb/commit/802cd454f25469d3123e678af41364153c132c2a
nothings/stb,https://github.com/nothings/stb,2dfbe86,Sean Barrett,2025-05-12T10:48:59Z,update stb_image_resize2 & readme,https://github.com/nothings/stb/commit/2dfbe86bef853be33cbbda07abcb4db58c7f817d
nothings/stb,https://github.com/nothings/stb,8cfb160,Jeff Roberts (LA),2025-05-09T20:11:07Z,resize 2.14 - fix off edge nans leaking in on some resize types,https://github.com/nothings/stb/commit/8cfb1605c02aee9fb6eb5d8ea559017745bd9a16
nothings/stb,https://github.com/nothings/stb,f056911,Sean Barrett,2025-03-14T18:27:34Z,update stb_image_resize2.h,https://github.com/nothings/stb/commit/f0569113c93ad095470c54bf34a17b36646bbbb5
nothings/stb,https://github.com/nothings/stb,adc1672,Jeff Roberts (LA),2025-02-28T19:02:10Z,"Resize 2.13 -  fixed a bug when using input callbacks,  turned off simd for tiny-c,  fixed some variables that should have been static, fixes a bug when calculating temp memory with resizes that exceed 2GB of temp memory (very large resizes).",https://github.com/nothings/stb/commit/adc1672878b63e7a59720f7c60c9f6f53cfa1d17
nothings/stb,https://github.com/nothings/stb,5c20573,Sean Barrett,2024-11-09T07:02:08Z,Merge branch 'master' of https://github.com/nothings/stb,https://github.com/nothings/stb/commit/5c205738c191bcb0abc65c4febfa9bd25ff35234
nothings/stb,https://github.com/nothings/stb,40adb99,Sean Barrett,2024-11-09T07:01:49Z,fix accidental check-in of typo in stb_ds.h,https://github.com/nothings/stb/commit/40adb995abeea13612ad73bda031c90e3c0cf821
nothings/stb,https://github.com/nothings/stb,0dd01c2,Sean Barrett,2024-11-08T12:05:02Z,Update issue templates,https://github.com/nothings/stb/commit/0dd01c26ef47750512cdc1830581480c25a19f1d
nothings/stb,https://github.com/nothings/stb,758b636,Sean Barrett,2024-11-08T11:58:10Z,reorder issues,https://github.com/nothings/stb/commit/758b6365aea39b45fc807175c7a444e427690722
nothings/stb,https://github.com/nothings/stb,42b75e7,Sean Barrett,2024-11-08T12:00:39Z,Update config.yml,https://github.com/nothings/stb/commit/42b75e79418433e0316df60af7240c77a82a41c5
nothings/stb,https://github.com/nothings/stb,8828c2e,Sean Barrett,2024-11-08T11:58:29Z,Update issue templates  add specific issue for stb_image incorrect load,https://github.com/nothings/stb/commit/8828c2e3174f0a5dd5608eeb840109feb9c6e295
nothings/stb,https://github.com/nothings/stb,2e2bef4,Sean Barrett,2024-10-18T17:26:20Z,stb_image_resize2: update version number,https://github.com/nothings/stb/commit/2e2bef463a5b53ddf8bb788e25da6b8506314c08
nothings/stb,https://github.com/nothings/stb,44092a1,xchellx,2024-10-18T05:22:02Z,Fix typo in fix (yes this does fix the ASAN error),https://github.com/nothings/stb/commit/44092a10791aec31d7c2880e879623a39094ce9d
nothings/stb,https://github.com/nothings/stb,9855da7,xchellx,2024-10-18T04:19:29Z,Update STBIR__FREE_AND_CLEAR fix as per suggestions,https://github.com/nothings/stb/commit/9855da7cb6e3e6371a0f4cb32db9d9584b03f96a
nothings/stb,https://github.com/nothings/stb,0625101,xchellx,2024-10-18T03:47:31Z,Fix STBIR__FREE_AND_CLEAR causing null reference member access  `stb_image_resize2.h:6734:5: runtime error: member access within null pointer of type 'stbir__info' (aka 'struct stbir__info')`,https://github.com/nothings/stb/commit/0625101dd3b585d98cc14366ccb80d5aada9676f
nothings/stb,https://github.com/nothings/stb,31707d1,Sean Barrett,2024-10-02T19:41:37Z,update readme,https://github.com/nothings/stb/commit/31707d14fdb75da66b3eed52a2236a70af0d0960
nothings/stb,https://github.com/nothings/stb,af07f9d,Jeff Roberts (Bellevue),2024-09-09T02:05:03Z,"image resize 2.11 - fix harmless asan, fix point sample crash",https://github.com/nothings/stb/commit/af07f9d6e951d5ec9e3d9a66b6f5c97bc159ee2a
nothings/stb,https://github.com/nothings/stb,f75e8d1,Sean Barrett,2024-07-29T04:39:05Z,update README,https://github.com/nothings/stb/commit/f75e8d1cad7d90d72ef7a4661f1b994ef78b4e31
nothings/stb,https://github.com/nothings/stb,64e783d,Jeff Roberts (Bellevue),2024-07-27T21:12:30Z,resize 2.10 - fix gcc loop control and msvc arm32,https://github.com/nothings/stb/commit/64e783d73879abe2e7589bc634bf6cb6f5e2baae
nothings/stb,https://github.com/nothings/stb,f7f20f3,Sean Barrett,2024-07-15T15:30:22Z,update README,https://github.com/nothings/stb/commit/f7f20f39fe4f206c6f19e26ebfef7b261ee59ee4
nothings/stb,https://github.com/nothings/stb,8503b88,Sean Barrett,2024-07-15T15:29:18Z,Merge branch 'resize_latest' of https://github.com/jeffrbig2/stb into working,https://github.com/nothings/stb/commit/8503b888748969606f3202d11492c29c12bac575
nothings/stb,https://github.com/nothings/stb,6e9f34d,Sean Barrett,2024-07-15T15:28:08Z,Merge branch 'master' into working,https://github.com/nothings/stb/commit/6e9f34d5429cf16790ec43c9bac3f1ee4ad1f760
nothings/stb,https://github.com/nothings/stb,2a58424,Jeff Roberts (Bellevue),2024-06-19T17:41:02Z,2.09 resize - fix defines for GCC arm 32,https://github.com/nothings/stb/commit/2a584248766f34ec3b89184023ba8b1cf48c6587
nothings/stb,https://github.com/nothings/stb,013ac3b,Sean Barrett,2024-05-31T17:43:47Z,stb_image: fix gcc bounds-check warning (believed erroneous),https://github.com/nothings/stb/commit/013ac3beddff3dbffafd5177e7972067cd2b5083
nothings/stb,https://github.com/nothings/stb,449758b,Sean Barrett,2024-05-25T17:56:08Z,update stb_image_resize2.h,https://github.com/nothings/stb/commit/449758bd74ce14b7d0ba9b24a3dbc4386702a0e0
nothings/stb,https://github.com/nothings/stb,43201e7,Jeff Roberts (Bellevue),2024-05-25T01:48:38Z,image resize 2.07,https://github.com/nothings/stb/commit/43201e7788f727bb307eb80cd8bd03c818d2c12d
nothings/stb,https://github.com/nothings/stb,ae721c5,Sean Barrett,2024-02-13T07:49:35Z,Merge pull request #1609 from jeffrbig2/fix_coeffs  Fix bug in coeff gen on more than 3x downsamples with w and h equal,https://github.com/nothings/stb/commit/ae721c50eaf761660b4f90cc590453cdb0c2acd0
nothings/stb,https://github.com/nothings/stb,2fb057a,Jeff Roberts (Bellevue),2024-02-13T06:14:27Z,remove test,https://github.com/nothings/stb/commit/2fb057af65b0951d063eafd3e052b06e8b4b365e
nothings/stb,https://github.com/nothings/stb,1828f35,Jeff Roberts (Bellevue),2024-02-13T06:10:02Z,Fix bug in coeff generation on more than 3x downsamples with width and height scale equal,https://github.com/nothings/stb/commit/1828f357dc8f18256618d32a1d3aa8dba5cd24df
nothings/stb,https://github.com/nothings/stb,b7cf124,Sean Barrett,2024-02-08T21:24:06Z,stb_image: fix VC6,https://github.com/nothings/stb/commit/b7cf1246284b49dfe7f1288e6f739b7a3a9d966b
nothings/stb,https://github.com/nothings/stb,c59da67,Jeff Roberts (Bellevue),2024-02-08T20:53:51Z,Mark row0 as unused,https://github.com/nothings/stb/commit/c59da6729e0b80af931548dda43c9ea964613315
nothings/stb,https://github.com/nothings/stb,7f7e346,Jeff Roberts (Bellevue),2024-02-08T18:36:54Z,clean up comments,https://github.com/nothings/stb/commit/7f7e3469cf21fa01b3dccc35649c0d7df6df73c5
nothings/stb,https://github.com/nothings/stb,7a075fe,Jeff Roberts (Bellevue),2024-02-04T22:42:51Z,Fix 2 pixel to 1 pixel with wrap Fix output buffer for output callback,https://github.com/nothings/stb/commit/7a075fe7c79d88ef0150e03fe6e20c828782c0ab
nothings/stb,https://github.com/nothings/stb,f4a71b1,Sean Barrett,2023-12-14T18:59:23Z,README.md: tweak credits,https://github.com/nothings/stb/commit/f4a71b13373436a2866c5d68f8f80ac6f0bc1ffe
nothings/stb,https://github.com/nothings/stb,a8a25e1,Sean Barrett,2023-12-14T11:11:33Z,update readme version numbers,https://github.com/nothings/stb/commit/a8a25e17b5fddf4976376f0e2024ffc824907679
nothings/stb,https://github.com/nothings/stb,0bc88af,Sean Barrett,2023-12-14T11:12:50Z,stb_image: optimizations,https://github.com/nothings/stb/commit/0bc88af4de5fb022db643c2d8e549a0927749354
nothings/stb,https://github.com/nothings/stb,0ca75da,Sean Barrett,2023-12-14T11:10:47Z,stb_image_resize2: remove whitespace,https://github.com/nothings/stb/commit/0ca75da4ec740f74d98bddbc79e0b264c564ad42
nothings/stb,https://github.com/nothings/stb,9d924f8,Sean Barrett,2023-12-14T11:09:00Z,stb_image_resize: 2.04,https://github.com/nothings/stb/commit/9d924f8a47649ce650fb6943d2394e563eae39c8
nothings/stb,https://github.com/nothings/stb,4da08a1,Fabian Giesen,2023-05-03T00:14:45Z,"stb_image: create_png_image_raw restructuring  Allocate filter_buf for two scan lines that we do all the filter processing in, then do all other conversions (bit depth, endianness, inserting alpha=255 values) on the way out.  Separating the two concerns makes everything much clearer.",https://github.com/nothings/stb/commit/4da08a1dbd3cdf7b3165da120d1d64dad03ed157
