项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
obsproject/obs-studio,https://github.com/obsproject/obs-studio,34a0a6a,Warchamp7,2025-12-02T23:33:21Z,frontend: Remove crash handler earlier in shutdown,https://github.com/obsproject/obs-studio/commit/34a0a6a530146201493a85102b77d18461cd665d
obsproject/obs-studio,https://github.com/obsproject/obs-studio,606e193,Dennis Sädtler,2025-10-23T23:04:54Z,frontend: Fix recursion during canvas removal causing crashes,https://github.com/obsproject/obs-studio/commit/606e1932b8f0913aec0a2c1333c46484fe49c186
obsproject/obs-studio,https://github.com/obsproject/obs-studio,bd2024e,Warchamp7,2025-11-19T20:55:14Z,cmake: Fix order of frontend targets  Updates targets to be consistent in their order putting uppercase before lowercase,https://github.com/obsproject/obs-studio/commit/bd2024eb814ea0380b2e1c4828b4307eacb5b458
obsproject/obs-studio,https://github.com/obsproject/obs-studio,1457249,Warchamp7,2025-09-26T01:10:40Z,"frontend: Adjust application shutdown logic  Improves app shutdown in a few ways, including separating out different pieces of the OBSBasic close handler into their own functions.  Removes the crash handler sentinel earlier when the main window is closed, preventing unclean shutdown warnings when a plugin causes issues. While not ideal, the dialog is not useful when we cannot specify which plugin caused the problem.  Increases shutdown priority of the main application so that when OBS interrupts the session ending, CEF is not closed at the same time. This fixes a crash.  Additional safeguards and event handling to try to ensure a smoother shutdown.",https://github.com/obsproject/obs-studio/commit/14572498dcf6e226510ecaba6a31496960b120dc
obsproject/obs-studio,https://github.com/obsproject/obs-studio,4ea2074,pkv,2025-11-12T18:59:11Z,libobs: Add devices_match to null monitor  This adds the devices_match function to null monitor to fix linking issues on linux when pulse audio is disabled. Fixes #12810  Signed-off-by: pkv <pkv@obsproject.com>,https://github.com/obsproject/obs-studio/commit/4ea2074eeda0baef0ff253f71d1070c2d92c7d0d
obsproject/obs-studio,https://github.com/obsproject/obs-studio,b6524fe,tytan652,2025-11-02T12:35:32Z,CI: Prepare more space for Flatpak jobs,https://github.com/obsproject/obs-studio/commit/b6524fef5ae07a1c0f3b031ba1b669deb19b261a
obsproject/obs-studio,https://github.com/obsproject/obs-studio,d97e5ad,shiina424,2025-07-29T17:01:40Z,frontend: Rename scrollbar in Acri theme,https://github.com/obsproject/obs-studio/commit/d97e5ad820abcccf826faf897df4c7f511857cd4
obsproject/obs-studio,https://github.com/obsproject/obs-studio,d664238,shiina424,2025-07-29T17:00:58Z,frontend: Rename scrollbar in Classic theme,https://github.com/obsproject/obs-studio/commit/d6642384dbb433c305f2d27e83147e0bbbf11fec
obsproject/obs-studio,https://github.com/obsproject/obs-studio,eb4161e,pkv,2025-10-29T22:54:38Z,"libobs: Monitoring deduplication for default devices  This adds comparison to default devices to the monitoring deduplication. When a user picks a default device, the device_id setting is 'default', which prevents any comparison. The comparison is done by leveraging the libobs/audio-monitoring devices_match function. For macOS, some special care is taken because the devices list differ for 'Desktop Audio' and 'monitoring' since coreaudio sdk has no pure audio capture; so 'default' in the two lists do not match in general. One then retrieves the device_id for the default desktop audio for macOS through get_desktop_default_id function.  Signed-off-by: pkv <pkv@obsproject.com>",https://github.com/obsproject/obs-studio/commit/eb4161e72ef89a3a66eabf71bd0d0d79e4de02dd
obsproject/obs-studio,https://github.com/obsproject/obs-studio,2f2c66a,pkv,2025-10-31T01:29:01Z,libobs: Enable retrieval of macOS default audio output capture device  This allows retrieval of the default audio output capture device.  Signed-off-by: pkv <pkv@obsproject.com>,https://github.com/obsproject/obs-studio/commit/2f2c66a59711aa5bb61e8e1d63da4240569a0d4b
obsproject/obs-studio,https://github.com/obsproject/obs-studio,d84ff0e,Exeldro,2025-10-09T07:33:59Z,libobs: Don't use removed sources,https://github.com/obsproject/obs-studio/commit/d84ff0eb6fa7b32ba9629d3d27c92b391b0310cc
obsproject/obs-studio,https://github.com/obsproject/obs-studio,e448c0a,katahtonic,2025-09-04T15:12:09Z,rtmp-services: Add additional SharePlay.tv servers,https://github.com/obsproject/obs-studio/commit/e448c0a963eda45f48515b2cb9a631daced9d503
obsproject/obs-studio,https://github.com/obsproject/obs-studio,335357a,Dan Coffey,2025-07-12T01:39:15Z,"rtmp-services: Rename Dolby Millicast to Dolby OptiView Real-time  Additionally, update info links.",https://github.com/obsproject/obs-studio/commit/335357a5629b564ab708cd9395cfe8362e28a2dd
obsproject/obs-studio,https://github.com/obsproject/obs-studio,c835bc5,태스키_박태연,2024-11-22T05:30:21Z,"rtmp-services: Change the server URL of AfreecaTV to SOOP Korea  Request a code modification due to the change of AfreecaTV name.  Effective October 15 2024, AfreecaTV has been rebranded to SOOP Korea.",https://github.com/obsproject/obs-studio/commit/c835bc57f14849e87efe9c4eb808b75a7c6e895a
obsproject/obs-studio,https://github.com/obsproject/obs-studio,32ba0c3,Fortune-SOOP,2024-11-21T01:35:52Z,rtmp-services: Add SOOP Global,https://github.com/obsproject/obs-studio/commit/32ba0c3897f38d30313a23874ac58850f3195660
