项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
openresty/openresty,https://github.com/openresty/openresty,d52d5b4,lijunlong,2025-11-03T07:20:55Z,bugfix: update stream-lua-nginx-module to R2.,https://github.com/openresty/openresty/commit/d52d5b4b9923ffea986b7095b6ae7b770d98e04a
openresty/openresty,https://github.com/openresty/openresty,924ee9a,lijunlong,2025-10-30T00:59:12Z,tests: update tests to match the latest change in util/mirror-tarballs.,https://github.com/openresty/openresty/commit/924ee9ae4d9dd561d12665acc0bb0161a083a36f
openresty/openresty,https://github.com/openresty/openresty,2200cb9,lijunlong,2025-10-22T16:07:37Z,feature: update luajit.,https://github.com/openresty/openresty/commit/2200cb932d156f46849ff60871345ba8e2ee62b5
openresty/openresty,https://github.com/openresty/openresty,dbb471f,lijunlong,2025-10-22T03:49:25Z,feature: update rds-csv-nginx-module and stream-lua-nginx-module.,https://github.com/openresty/openresty/commit/dbb471fbe131e663aadd46158a46773e89ed1d18
openresty/openresty,https://github.com/openresty/openresty,6e839f2,lijunlong,2025-10-22T03:18:01Z,bugfix: update lua-nginx-module and stream-lua-nginx-module.,https://github.com/openresty/openresty/commit/6e839f20ee562eee9044bc0bc4d6a48c44778105
openresty/openresty,https://github.com/openresty/openresty,95eca0b,lijunlong,2025-10-22T02:31:14Z,bugfix: update nginx-1.29.2-stream_proxy_protocol_v2.patch to build with openssl 1.x.x.,https://github.com/openresty/openresty/commit/95eca0b3b80eb8faf3a45a8cf052ea0b90d5158c
openresty/openresty,https://github.com/openresty/openresty,5b1f374,lijunlong,2025-10-21T14:13:18Z,feature: update lua-resty-core to 0.1.32rc2.,https://github.com/openresty/openresty/commit/5b1f3746d22f748eae95f1b7abcf9a52aebf7c98
openresty/openresty,https://github.com/openresty/openresty,aa43b63,lijunlong,2025-10-21T00:48:33Z,"feature: update lua-nginx-module, stream-lua-nginx-module, lua-resty-core.",https://github.com/openresty/openresty/commit/aa43b63ad3578baf37ad9c2741e3dd40d9562f48
openresty/openresty,https://github.com/openresty/openresty,5ee7d3a,willmafh,2025-10-19T06:16:42Z,feature: add proxy_ssl_verify_cb_yield.patch file for Nginx 1.29.2.,https://github.com/openresty/openresty/commit/5ee7d3ade19fab7ead463335015c54bc00043319
openresty/openresty,https://github.com/openresty/openresty,6623d56,lijunlong,2025-10-19T06:16:13Z,bugfix: fixed issue introduce by commit 305ebd07e..,https://github.com/openresty/openresty/commit/6623d561be9208fb7aa4b9b3eaf3c4502a6796ea
openresty/openresty,https://github.com/openresty/openresty,b1e4118,lijunlong,2025-10-16T05:10:10Z,feature: update openresty components.,https://github.com/openresty/openresty/commit/b1e411818513c676e2eb56ca7ce9f0b894be03b0
openresty/openresty,https://github.com/openresty/openresty,d08b0f1,willmafh,2025-10-14T05:13:24Z,feature:  proxy_ssl_verify_by_lua directives.,https://github.com/openresty/openresty/commit/d08b0f1f4456b732e85a0af5ccbf5ec8510b7b90
openresty/openresty,https://github.com/openresty/openresty,305ebd0,耗子,2025-10-13T07:50:32Z,feature: update nginx to v1.29.2 (#1045)  Co-authored-by: lijunlong <lijunlong@openresty.com>,https://github.com/openresty/openresty/commit/305ebd07e31e78d0a66d2b889d119b1746893c75
openresty/openresty,https://github.com/openresty/openresty,7c7c285,lijunlong,2025-09-13T14:55:35Z,feature: update resty-cli.,https://github.com/openresty/openresty/commit/7c7c28567126fcbb64130f8665c19111efb91f96
openresty/openresty,https://github.com/openresty/openresty,084d093,SohamM-Ibm,2025-09-12T03:22:12Z,feature: Enable PCRE for s390x.  The community is using `PCRE_VER=10.45` which is available for s390x.,https://github.com/openresty/openresty/commit/084d0931a3cc63ab8a551b3f30040a5061920e8c
