项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
openssl/openssl,https://github.com/openssl/openssl,64e96ec,Neil Horman,2025-12-03T19:36:54Z,"Make find-doc-nits compatible accross git versions  We recently found that the addition of a git config command in util/find-doc-nits is broken in some cases, sepecifically because git around version 2.46 broke command line compatibility, replacing the --regexp option with the --get-regexp option.  So to maintain usage of this specific command to parse the .gitconfig file, we would need to do some extra version detection to construct the proper command line.  However, find-doc-nits already has a fallback condition, which does some pure perl parsing of the gitconfig file, which works perfectly well.  Instead of trying to do version matching to construct the right form of the git config command line, just remove it all, and rely on the perl parrse to do this work for us, which works currently in all cases.  Fixes #29197  Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Paul Dale <paul.dale@oracle.com> (Merged from https://github.com/openssl/openssl/pull/29304)",https://github.com/openssl/openssl/commit/64e96ecf3c7edbd82322ddcc21a60be490ba2943
openssl/openssl,https://github.com/openssl/openssl,8482cb8,Dr. David von Oheimb,2025-12-03T18:00:44Z,CMP check_cert_path_3gpp(): add missing checks trying to retrieve newly enrolled cert  Fixes #29285  Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> (Merged from https://github.com/openssl/openssl/pull/29302),https://github.com/openssl/openssl/commit/8482cb8232444dde70c4b2b0a853fca050bea01a
openssl/openssl,https://github.com/openssl/openssl,bf236e0,Viktor Dukhovni,2025-12-03T04:24:46Z,"Clarify/fix encoder/decoder context docs and code  In was premature to make OSSL_(EN|DE)CODER_CTX_[sg]et_finalized() be public interfaces.  Forunately, these have not yet appeared outside the ""master"" branch, so we can still retract them.  Also, in the case of decoders, the implementation failed to take into account that the context was duplicated before it was returned to the user, and the duplicated copy failed to copy the ""finalized"" field.  This commit also renames ""finalized"" to ""frozen"", because finalisation is a misleading term in this context, it suggests resource reclamation during garbage collection or deallocation, not marking a structure partly immutable.  Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> Reviewed-by: Neil Horman <nhorman@openssl.org> Reviewed-by: Paul Dale <paul.dale@oracle.com> (Merged from https://github.com/openssl/openssl/pull/29206)",https://github.com/openssl/openssl/commit/bf236e07afbd235d609f057eb50c92d1d2ee5008
openssl/openssl,https://github.com/openssl/openssl,3720c94,Viktor Dukhovni,2025-11-24T13:37:49Z,"Per-key encoding formats for ML-KEM and ML-DSA  We support selection of ML-KEM and ML-DSA key formats on input and output at the provider level, these are essentially global defaults, in effect for the lifetime of the process.  Unfortunately, the JAVA interface in openssl-jostle needs to be able to output a specific key in seed-only form.  To that end, this PR introduces a new ""output-formats"" PKEY encoding parameter, that can be used with OSSL_ENCODER_CTX_set_params(3) when encoding a key to PKCS#8, after using OSSL_ENCODER_CTX_new_for_key(3), rather than i2d_PrivateKey(3), i2d_PKCS8PrivateKey(3) or PEM equivalents.  Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> Reviewed-by: Neil Horman <nhorman@openssl.org> Reviewed-by: Paul Dale <paul.dale@oracle.com> (Merged from https://github.com/openssl/openssl/pull/29206)",https://github.com/openssl/openssl/commit/3720c946f095d4f35f04f61cf6efa8b84e26fc7c
openssl/openssl,https://github.com/openssl/openssl,21069c9,Dimitri John Ledkov,2025-11-26T11:51:33Z,"seed_src_jitter: prevent hypothetical getrandom fallback  In a hypothetical scenario that jent_entropy_init_ex fails, or if get_jitter_random-value fails, there are a few unexpected posibilities.  If jent_entropy_init_ex fails, the seed initialisation may return NULL and then DRBG will be initiated with NULL seed, which will automatically fallback to os-seed, which will escape module boundary (if this jitter rng is from the fips module), and call getrandom syscall.  And separately if get_jitter_random_value fails, it may put DRBG in an error state, but it might not put the FIPS module in error state, like it should as per the ISO standard.  To instrument these things, I had to create tampered jitterentropy-library that always returns errors for init_ex and read_entropy apis, and then use gdb tracing on both libcrypto.so and fips.so.  The most minimal solution to above hypothetical error code paths, is to simply call ossl_set_error_state. It is either harmless, or in case of fips-jitter will correctly put the FIPS module into error state and prevent any further operation; and cruitially prevent silent fallback to getrandom syscall.  Note it is unlikely that this ever was out of compliance, as often enough getrandom syscall goes to a kernel with validated entropy source; and openssl fips module still did reject sampling which is too entropy source compliant.  Nonetheless it is good to fix this hypothetical error path, and backport this to 3.5 and up.  This is similar / additional fixes, to this previous change: - https://github.com/openssl/openssl/pull/25957 - https://github.com/openssl/openssl/commit/b9886a6f3483e0525596d3b3956416282038da82  Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Paul Dale <paul.dale@oracle.com> (Merged from https://github.com/openssl/openssl/pull/29226)",https://github.com/openssl/openssl/commit/21069c983bc385f46c522e0bf7edbefabc6d4d19
openssl/openssl,https://github.com/openssl/openssl,7f52f97,Norbert Pocs,2025-09-22T07:10:19Z,crypto: Remove internal ENGINE usage from the subdir  Engines can be removed safely from static and internal functions clearing out our codebase.  Resolves: https://github.com/openssl/project/issues/1625  Signed-off-by: Norbert Pocs <norbertp@openssl.org>  Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Neil Horman <nhorman@openssl.org> Reviewed-by: Matt Caswell <matt@openssl.org> (Merged from https://github.com/openssl/openssl/pull/29305),https://github.com/openssl/openssl/commit/7f52f97f6fa9e196bd8033ac45dd56ee71e59ebb
openssl/openssl,https://github.com/openssl/openssl,adc73bf,Norbert Pocs,2025-11-13T14:15:41Z,"Docs: Clean up ENGINE mentions  Engines are removed and the documentation should reflect that, even with deprecated and legacy API.  Resolves: https://github.com/openssl/project/issues/1366  Signed-off-by: Norbert Pocs <norbertp@openssl.org>  Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Neil Horman <nhorman@openssl.org> Reviewed-by: Matt Caswell <matt@openssl.org> (Merged from https://github.com/openssl/openssl/pull/29305)",https://github.com/openssl/openssl/commit/adc73bfcb30ea78b74caec3785d81ad9a281bd9c
openssl/openssl,https://github.com/openssl/openssl,7c8e2bf,Norbert Pocs,2025-11-13T13:28:56Z,Docs: Update ENGINE_add.pod to reflect the engine removal  Resolves: https://github.com/openssl/project/issues/1366  Signed-off-by: Norbert Pocs <norbertp@openssl.org>  Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Neil Horman <nhorman@openssl.org> Reviewed-by: Matt Caswell <matt@openssl.org> (Merged from https://github.com/openssl/openssl/pull/29305),https://github.com/openssl/openssl/commit/7c8e2bfcd5ba74bfe6f7d1597bf0ff599f7a984c
openssl/openssl,https://github.com/openssl/openssl,807928c,Norbert Pocs,2025-11-14T13:31:29Z,Remove engine related crypto_device option  Signed-off-by: Norbert Pocs <norbertp@openssl.org>  Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Neil Horman <nhorman@openssl.org> Reviewed-by: Matt Caswell <matt@openssl.org> (Merged from https://github.com/openssl/openssl/pull/29305),https://github.com/openssl/openssl/commit/807928c0aa1b2ad013f021c8f8ad15906a127ce7
openssl/openssl,https://github.com/openssl/openssl,4e96426,Norbert Pocs,2025-11-13T14:53:28Z,"apps: Remove opt_legacy_okay function  The function used to check for ENGINEs to determine if a legacy code path is available, but it makes no sense to keep it after the ENGINE removal, as the legacy path will always fail.  Signed-off-by: Norbert Pocs <norbertp@openssl.org>  Reviewed-by: Eugene Syromiatnikov <esyr@openssl.org> Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Saša Nedvědický <sashan@openssl.org> Reviewed-by: Neil Horman <nhorman@openssl.org> Reviewed-by: Matt Caswell <matt@openssl.org> (Merged from https://github.com/openssl/openssl/pull/29305)",https://github.com/openssl/openssl/commit/4e96426a8d857a13e09a213d72c1f59cf46ee813
