项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
openwrt/openwrt,https://github.com/openwrt/openwrt,3a10dd5,Marcin Maj,2025-12-04T00:43:41Z,"ath79: fix platform check image mikrotik nor  Every attempt to update a device with NOR flash and RouterBOOT v6 resulted in the error: “RouterBOOT 6 and earlier requires ELF-in-YAFFS image.” The cause was that xargs did not fully remove whitespace, so the condition ""$bootentry"" != ""kernel"" always evaluated to true.  Signed-off-by: Marcin Maj <marcinmajsc@gmail.com> Link: https://github.com/openwrt/openwrt/pull/21034 Signed-off-by: Robert Marko <robimarko@gmail.com>",https://github.com/openwrt/openwrt/commit/3a10dd596760ecebe5d8a5f3804bfe1d13f952ae
openwrt/openwrt,https://github.com/openwrt/openwrt,cc57e15,Christian Marangi,2025-12-04T23:54:38Z,"airoha: fix kernel panic from I2S driver  Commit 8f1914053b24 (""airoha: replace I2S patch with upstream pending version"") introduced a kernel panic with I2S driver.  Add the fixed patch to fix the kernel panic.  Fixes: 8f1914053b24 (""airoha: replace I2S patch with upstream pending version"") Signed-off-by: Christian Marangi <ansuelsmth@gmail.com>",https://github.com/openwrt/openwrt/commit/cc57e155a60891631c5040b9c4a3a2c0d1dbf38f
openwrt/openwrt,https://github.com/openwrt/openwrt,7b55651,Christian Marangi,2025-12-04T22:14:30Z,airoha: enable I2S sound driver and add nodes for eMMC RFB board  Enable I2S sound driver and add nodes for eMMC RFB board since it's the one that always have the I2C codec and can use the sound card.  Signed-off-by: Christian Marangi <ansuelsmth@gmail.com>,https://github.com/openwrt/openwrt/commit/7b55651e61334f9a7f347519842df44058e79e59
openwrt/openwrt,https://github.com/openwrt/openwrt,8f19140,Christian Marangi,2025-12-04T22:13:12Z,airoha: replace I2S patch with upstream pending version  Replace I2S sound patch with upstream pending version. This adds ETDM support and fix various bug in the downstream implementation.  Signed-off-by: Christian Marangi <ansuelsmth@gmail.com>,https://github.com/openwrt/openwrt/commit/8f1914053b24f56c101057390a0a83707864cf71
openwrt/openwrt,https://github.com/openwrt/openwrt,d6b4b63,Caleb James DeLisle,2025-11-07T17:45:01Z,"econet: basic Ethernet support  This is about as simple as it gets, it's able to start up and put the onboard switch into dumb switch mode and then send untagged frames which become available on every switch port.  It is out-of-tree to allow for rapid development and it is being proposed now because even in this state it brings a lot of value to the EcoNet platform and it is a fairly complex ethernet system so it will take some time before the driver is in a state that may be considered for upstreaming.  Signed-off-by: Caleb James DeLisle <cjd@cjdns.fr> Link: https://github.com/openwrt/openwrt/pull/20685 Signed-off-by: Hauke Mehrtens <hauke@hauke-m.de>",https://github.com/openwrt/openwrt/commit/d6b4b6385074c56a81159e6963459289b6e774a8
openwrt/openwrt,https://github.com/openwrt/openwrt,dac4664,Caleb James DeLisle,2025-11-07T16:59:10Z,"econet: standardize partitions in DTS files  In preparation for the introduction of ethernet, this patch normalizes the partitions in the devices in DT so that the partition to upgrade will always be called tclinux, no matter what it is called from the factory. Also fix a math error in Nokia G240G-E partition table and remove leading zeros from paritition offsets.  Finally, add NVMEM mac-address entries where they are left by the factory. In preparation for the introduction of Ethernet and Wifi support.  Signed-off-by: Caleb James DeLisle <cjd@cjdns.fr> Link: https://github.com/openwrt/openwrt/pull/20685 Signed-off-by: Hauke Mehrtens <hauke@hauke-m.de>",https://github.com/openwrt/openwrt/commit/dac466452be99b29e6fca6f28ca63a8b06c8d69d
openwrt/openwrt,https://github.com/openwrt/openwrt,4582d25,Tianling Shen,2025-12-03T06:36:32Z,"rockchip: backport MMC CQE fixes  Added missing platform data struct for RK3576 to fix boot issues, fixed general stability issues and also improved random write performance.  Signed-off-by: Tianling Shen <cnsztl@immortalwrt.org> Link: https://github.com/openwrt/openwrt/pull/21028 Signed-off-by: Hauke Mehrtens <hauke@hauke-m.de>",https://github.com/openwrt/openwrt/commit/4582d25a660dee3ada921ae307fefb119faa7be1
openwrt/openwrt,https://github.com/openwrt/openwrt,5aeaddc,Hauke Mehrtens,2025-12-04T20:33:13Z,"bcm47xx: Fix lzma-loader compilation  Fixes: ``` LzmaDecode.c: In function 'RangeDecoderReverseBitTreeDecode': LzmaDecode.c:199:5: error: 'symbol' undeclared (first use in this function)   199 |     symbol |= (bit << i);       |     ^~~~~~ LzmaDecode.c:199:5: note: each undeclared identifier is reported only once for each function it appears in ```  Fixes: 4ffd5aa239c1 (""treewide: fix coccinelle checks"") Signed-off-by: Hauke Mehrtens <hauke@hauke-m.de>",https://github.com/openwrt/openwrt/commit/5aeaddc0c80eea00872eb17a170d6b0c8d7e9c23
openwrt/openwrt,https://github.com/openwrt/openwrt,27e5d7d,Hauke Mehrtens,2025-12-04T20:12:24Z,"ramips: Fix cmpilation  Fixes this compile problem: ``` drivers/net/ethernet/ralink/esw_rt3050.c: In function 'rt3050_esw_init': drivers/net/ethernet/ralink/esw_rt3050.c:1467:12: error: 'pdev' is used uninitialized [-Werror=uninitialized]  1467 |         if (!pdev)       |            ^ drivers/net/ethernet/ralink/esw_rt3050.c:1461:33: note: 'pdev' was declared here  1461 |         struct platform_device *pdev;       |                                 ^~~~ cc1: all warnings being treated as errors ```  Fixes: 4ffd5aa239c1 (""treewide: fix coccinelle checks"") Signed-off-by: Hauke Mehrtens <hauke@hauke-m.de>",https://github.com/openwrt/openwrt/commit/27e5d7ddd974dbf1843df10ca6a0c6bc2b7e1134
openwrt/openwrt,https://github.com/openwrt/openwrt,4814636,Álvaro Fernández Rojas,2025-12-02T08:18:48Z,generic: 6.12: backport b53 fixes for BCM5325  Replace pending b53 fixes patches with the accepted ones from net-next for linux v6.19.  Signed-off-by: Álvaro Fernández Rojas <noltari@gmail.com>,https://github.com/openwrt/openwrt/commit/4814636b9b3942c9dd5f9e90e8d65735d9e3f965
openwrt/openwrt,https://github.com/openwrt/openwrt,6c94b53,Christian Marangi,2025-12-04T18:20:55Z,"sdk: use GIT_COMMIT for buildbot SDK  Instead of using tag name, directly use git commit for the base feed string if we detect we are generating an SDK from a buildbot (using CONFIG_BUILDBOT)  This improve security and generates consistent feed.conf.default files following the pattern used by feeds repository.  Signed-off-by: Christian Marangi <ansuelsmth@gmail.com>",https://github.com/openwrt/openwrt/commit/6c94b53f110da02e2972a8023ad8622931373b04
