项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
pbatard/rufus,https://github.com/pbatard/rufus,a8c745d,Pete Batard,2025-11-25T12:18:23Z,"[internal] do not UPX compress the appstore executables  * UPX compressing exes makes it impossible to reference the PDB when debugging   which means that, ever since we switched to using the MSVC executables for   both standalone and appstore in 4adfa4f37e3879b215f54f52231851caeff42912 the   appstore dumps we get on crashes have become basically unusable for debug :( * We therefore revert to producing non UPX compressed executable for MSVC by   default, so that we can resume investigating appstore crashes on next release. * At the same time, on release builds, we add new UPX compressed executables to   the GitHub Actions artifacts. * Also update actions/checkout to v6 and close #2868.",https://github.com/pbatard/rufus/commit/a8c745d2a95c590e7607836b3ee5365186840dcf
pbatard/rufus,https://github.com/pbatard/rufus,6a7fb93,Pete Batard,2025-11-20T13:07:40Z,"[efi] update UEFI:NTFS to latest  * This improves the error message on arch mismatch, since this appears to be a common user mistake. * Also fix a handful of MinGW warnings.",https://github.com/pbatard/rufus/commit/6a7fb939d593070d8f815cd511a23106d9f2e309
pbatard/rufus,https://github.com/pbatard/rufus,c4d6a00,Valdemar,2025-11-10T23:17:33Z,[loc] fix typos in Russian translation  * Closes #2859.,https://github.com/pbatard/rufus/commit/c4d6a00c283098d266af2768781cc7d026f6bfe9
pbatard/rufus,https://github.com/pbatard/rufus,2af24e4,Mr-Update,2025-10-31T19:55:28Z,[loc] fix typos and improve German translation  * Also remove typos in English .loc comments and MSG_355 that's a duplicate of MSG_036. * Closes #2851.,https://github.com/pbatard/rufus/commit/2af24e460ef098ccf14faed67f23b41ecc445146
pbatard/rufus,https://github.com/pbatard/rufus,b2fd426,Grant,2025-11-11T16:11:56Z,[misc] correct the spelling of 'zstd' in ChangeLog.txt  * Closes #2860.,https://github.com/pbatard/rufus/commit/b2fd4260280d746a929bf969cd710506d1d57452
pbatard/rufus,https://github.com/pbatard/rufus,d755303,dependabot[bot],2025-10-27T12:10:11Z,[internal] bump actions/upload-artifact from 4 to 5  * Closes #2847.,https://github.com/pbatard/rufus/commit/d755303a10a95bf9221d7e9665bb8b9d0ec1dc01
pbatard/rufus,https://github.com/pbatard/rufus,9d074f8,Pete Batard,2025-11-12T17:16:05Z,"[core] strengthen the pre-formatting partition cleanup code  * This aims at reducing errors with Windows and other apps trying to keep a hook into   existing ESPs and other partitions, thereby causing access errors. * This is expected to potentially help with #2776 and similar issues. * Closes #2776.",https://github.com/pbatard/rufus/commit/9d074f85912e8c702619d3bd1e99bfbefa67895d
pbatard/rufus,https://github.com/pbatard/rufus,6629ef0,Pete Batard,2025-10-20T12:44:33Z,"[wue] fix wimlib not being able to modify boot.wim's larger than 2 GB  * Thank the C standard for choosing not to ""standardize"" the size of long (as   one would rightfully expect from a *standard*) and instead going for a   ""should be at least"" super vague definition, that led to lseek() on Windows   and UNIX effectively using different offset sizes, and programmers everywhere   getting bitten when taking a UNIX codebase and porting it to Windows... * Closes #2837.",https://github.com/pbatard/rufus/commit/6629ef0941170867777b59388e19989bc38e20c3
pbatard/rufus,https://github.com/pbatard/rufus,af58b1c,Pete Batard,2025-10-16T16:52:04Z,"[dbx] update DBXs to latest  * Also add 1% to projected size due to user-reported ""no space on disk""   errors when using Windows 11 25H2 against 8 ""GB"" UFDs.",https://github.com/pbatard/rufus/commit/af58b1cecd9bf947af8adcf3c49c9b3cf87a18ac
pbatard/rufus,https://github.com/pbatard/rufus,05526d4,Pete Batard,2025-10-16T13:03:13Z,[iso] improve error reporting on ISO extraction issues  * Also disable NTFS cluster size that no longer work in recent versions of Windows.,https://github.com/pbatard/rufus/commit/05526d4e6a2051bbbcff02f1c0990ae0ad2f13c5
pbatard/rufus,https://github.com/pbatard/rufus,920a4c5,Pete Batard,2025-10-14T12:22:59Z,"[ui] persist the toggle dark mode setting  * Note that if you use this toggle even once, then you will no longer be able to use   system settings to toggle Dark Mode, unless you *MANUALLY* delete the registry key. * Closes #2821. * Also update github/codeql-action to v4. * Closes #2833.",https://github.com/pbatard/rufus/commit/920a4c5c903730ee9914e926c9f7ba0f974ae017
pbatard/rufus,https://github.com/pbatard/rufus,9037040,Pete Batard,2025-10-13T15:48:43Z,[iso] disable splitting for ESDs  * Closes #2823. * Also silence a MinGW warning in stdlg.c.,https://github.com/pbatard/rufus/commit/90370405ad205e4b44832d68f65912db56d539df
pbatard/rufus,https://github.com/pbatard/rufus,fda1362,Pete Batard,2025-10-11T15:54:51Z,[iso] fix saving to an ISO path that contains spaces  * Closes #2829. * Also set rufus-next to 4.12.,https://github.com/pbatard/rufus/commit/fda1362eb0c0425036f05ed145e568e399c80269
pbatard/rufus,https://github.com/pbatard/rufus,10694ae,Pete Batard,2025-10-02T16:53:22Z,"Rufus 4.11 (Build 2285)  * Alter the WUE CA 2023 option text and remove duplicate translation for ""ISO Image"". * Force cache-only when invoking CertGetCertificateChain (This should address #2781).",https://github.com/pbatard/rufus/commit/10694ae42eb9263b7627e00ec56749681a593828
pbatard/rufus,https://github.com/pbatard/rufus,56b4b9f,Pete Batard,2025-10-01T11:58:40Z,[dbx] update SBAT/SVN to latest and improve reporting  * Explicitly report the SVN/SBAT number comparison in the log. * Also don't perform revocation checks on unsigned bootloaders. * Also add provision for CRLF handling when parsing our remote SBAT.,https://github.com/pbatard/rufus/commit/56b4b9f2491957b51aba08e8228468caa8b775f2
pbatard/rufus,https://github.com/pbatard/rufus,2a8c066,Pete Batard,2025-10-01T10:42:25Z,[core] fix an application crash when the platform has a missing/failed dynamic disk  * With massive thanks to @amoki455 for helping figure that one out! * Closes #2794. * Also make sure we release pDisk on all conditions.,https://github.com/pbatard/rufus/commit/2a8c066b72ded41a530bed1d7df2330e105569f4
pbatard/rufus,https://github.com/pbatard/rufus,bb11c03,Pete Batard,2025-09-30T17:42:25Z,[ui] add Ctrl-Alt-D cheat mode to toggle between Dark Mode and Light Mode  * Closes #2814.,https://github.com/pbatard/rufus/commit/bb11c037d7af41cc463eb173363149e4e8f3c82c
pbatard/rufus,https://github.com/pbatard/rufus,0de4db1,Pete Batard,2025-09-26T12:50:12Z,"[ui] fix some GRUB/Syslinux downloads popups only showing a 'Close' button  * Because of Dark Mode support, and the fact that Microsoft does not offer system   dialogs that support Dark Mode (even the more ""modern"" Task Dialog is a joke in   that respect, with people having to resort to using detours to fix this massive   letdown from Microsoft. See https://github.com/SFTRS/DarkTaskDialog), we had to   switch to use our own custom dialogs instead of using MessageBox(). * And of course, since we had to recreate the whole smorgasbord of what Microsoft   offers in terms of button configuration, it's unsurprising that we forgot to add   support for one conf (MB_YESNOCANCEL) that some of the download prompts use. * Closes #2813.",https://github.com/pbatard/rufus/commit/0de4db13d890cb97d4002151d9a951b42e5b8ee0
pbatard/rufus,https://github.com/pbatard/rufus,6a1c2b4,Pete Batard,2025-09-26T12:38:59Z,[wue] fix assert being triggered when using the CA 2023 option on its own...  ...or with an option that doesn't require poking into boot.wim.  * Closes #2815. * Also report the use of the CA 2023 option in the log. * Also set rufus-next to 4.11.,https://github.com/pbatard/rufus/commit/6a1c2b4087b9901c6eb72072e46770e284b98340
pbatard/rufus,https://github.com/pbatard/rufus,1c201cc,Pete Batard,2025-09-24T11:20:48Z,Rufus 4.10 (Build 2279)  * Improve persistence support for Linux Mint. * Closes #2807. * Also fix the Swedish translation.,https://github.com/pbatard/rufus/commit/1c201cc01f3b80a5761d13387b6038cf76cb0a2f
pbatard/rufus,https://github.com/pbatard/rufus,329e970,Pete Batard,2025-09-10T12:30:08Z,[wue] remove an unneeded condition  * Also update ChangeLog.txt for BETA.,https://github.com/pbatard/rufus/commit/329e9705e2b3d8220ad88e73aac5e7f5b9c7e4b3
pbatard/rufus,https://github.com/pbatard/rufus,3619bad,VenusGirl❤,2025-08-26T04:59:19Z,[loc] update Korean translation  * Closes #2792.,https://github.com/pbatard/rufus/commit/3619bad53803e7f5915e0960a6e2300494f65f9d
pbatard/rufus,https://github.com/pbatard/rufus,1740def,Pete Batard,2025-09-10T10:55:29Z,[wue] finally add a working WUE option for creating Windows CA 2023 compatible installation media  * Requires Windows 11 25H2 or later.,https://github.com/pbatard/rufus/commit/1740def70926eb0ff1892caa67274af9fb369f10
pbatard/rufus,https://github.com/pbatard/rufus,3ec2ac3,Pete Batard,2025-09-08T12:45:10Z,[vhd] fix no error being reported back when there's an issue with saving to VHD  * Closes #2799. * Also fix some more Coverity warnings.,https://github.com/pbatard/rufus/commit/3ec2ac3aab323e0b9d2620b218a437eec76d4d5b
pbatard/rufus,https://github.com/pbatard/rufus,10fc672,Pete Batard,2025-09-05T19:06:07Z,[ui] Use our own Dark Mode compatible Notification() instead of MessageBox()  * Also fix return values for Notification() and add MB_ABORTRETRYIGNORE support. * Also fix one last Coverity warning with size_t and printf.,https://github.com/pbatard/rufus/commit/10fc6727daf7cabdd9d4e128b3996dba9432c5dd
pbatard/rufus,https://github.com/pbatard/rufus,7b8ddbe,Pete Batard,2025-09-03T19:06:04Z,"[ui] improve notification dialog handling  * Use MessageBox()'s MB_ constants instead of redefining our own. * Fix the *BROKEN* 200% scaling that Microsoft uses for warnings, that includes a pixel   that should have been set to transparent but that instead was set to white. * This'll allow us to switch to using our Dark Mode compatible notifications dialogs in   a future commit, instead of relying on the non Dark Mode compatible MessageBox().",https://github.com/pbatard/rufus/commit/7b8ddbe3ecf9ba3f33b1f706bf6750fe2fb87161
pbatard/rufus,https://github.com/pbatard/rufus,99c04a9,Pete Batard,2025-09-03T10:32:12Z,[misc] fix various printf issues  * Also bump actions/checkout to v5. * Closes #2791.,https://github.com/pbatard/rufus/commit/99c04a9f46b09c6881f426144bb1c3f010e678a8
