项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,84453f1,稚晖,2022-10-20T16:38:31Z,Merge pull request #144 from TitanRGB-Contribute/main  Create .gitattributes,https://github.com/peng-zhihui/Dummy-Robot/commit/84453f1391c4442b5387a799571b7f67418afa2d
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,3c950f4,稚晖,2022-07-26T10:47:47Z,[3D] Add Ctrl Step heat sink.,https://github.com/peng-zhihui/Dummy-Robot/commit/3c950f49f544deb99d10b444e356ac490115df09
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,2b55354,稚晖,2022-07-26T10:46:05Z,Merge branch 'main' of https://github.com/peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot/commit/2b553540b8c59c03381fe587a84debc47e75efd2
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,dc2b480,peng-zhihui,2022-01-18T11:44:39Z,[Hw] Add schematic PDF.,https://github.com/peng-zhihui/Dummy-Robot/commit/dc2b480f1f24257e63eef0ee0f9da2e30ef97010
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,0f6b41b,SynthesisDu,2022-07-25T05:29:18Z,Create .gitattributes,https://github.com/peng-zhihui/Dummy-Robot/commit/0f6b41b2f43ad329cb2caf211e5cb12d2f01e9d9
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,f4129a9,peng-zhihui,2022-03-01T04:42:31Z,[Model] Add case file.,https://github.com/peng-zhihui/Dummy-Robot/commit/f4129a989d9c24c7136331629703287ed227bdb3
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,f8a2b12,peng-zhihui,2022-02-09T04:00:24Z,[Sw] Add zadig driver.  Update README.md,https://github.com/peng-zhihui/Dummy-Robot/commit/f8a2b12b13d50b92d63713f58a4e751ab404874e
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,be2804a,peng-zhihui,2022-02-09T03:59:08Z,[Sw] Add CLI-Tool.,https://github.com/peng-zhihui/Dummy-Robot/commit/be2804ac0e61c2217b3eeffca5163252add48e55
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,fe1007c,peng-zhihui,2022-02-09T03:52:03Z,[Fw] Update REF protocols.,https://github.com/peng-zhihui/Dummy-Robot/commit/fe1007c668c2af93add3c8404fe72a3d4d245e4b
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,f0e2c8d,peng-zhihui,2022-01-21T02:01:54Z,Merge branch 'main' of https://github.com/peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot/commit/f0e2c8da3aa27fb83b26786dbca50d09284c20d4
peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,04601ea,peng-zhihui,2022-01-18T11:44:39Z,[Hw] Add schematic PDF.,https://github.com/peng-zhihui/Dummy-Robot/commit/04601ea8e50d9f063201ce8b202709e777a60691
