项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
pjreddie/darknet,https://github.com/pjreddie/darknet,f6afaab,Alexey,2022-07-17T21:26:40Z,Update README.md,https://github.com/pjreddie/darknet/commit/f6afaabcdf85f77e7aff2ec55c020c0e297c77f9
pjreddie/darknet,https://github.com/pjreddie/darknet,c420f41,Alexey,2022-07-07T04:14:33Z,Update README.md,https://github.com/pjreddie/darknet/commit/c420f41b288cd514e245576651af73b4ba0b3b46
pjreddie/darknet,https://github.com/pjreddie/darknet,3988c81,Alexey,2022-07-07T02:31:45Z,Update README.md,https://github.com/pjreddie/darknet/commit/3988c81b5f98cf521a7205f1a05ef067c8e698cf
pjreddie/darknet,https://github.com/pjreddie/darknet,b1ab3da,Alexey,2022-03-05T13:44:44Z,Merge pull request #2526 from Alperencode/master  Closes #2525,https://github.com/pjreddie/darknet/commit/b1ab3da442574364f82c09313a58f7fc93cea2bd
pjreddie/darknet,https://github.com/pjreddie/darknet,82dbabd,Alperen Aga,2022-03-05T13:10:24Z,Closes #2525,https://github.com/pjreddie/darknet/commit/82dbabd53a84fc1a72af949472b7a22f9241ed9a
pjreddie/darknet,https://github.com/pjreddie/darknet,a028bfa,Alexey,2021-12-21T19:55:09Z,Update README.md,https://github.com/pjreddie/darknet/commit/a028bfa0da8eb96583c05d5bd00f4bfb9543f2da
pjreddie/darknet,https://github.com/pjreddie/darknet,f8f67cd,Alexey,2021-08-21T23:50:36Z,Update README.md,https://github.com/pjreddie/darknet/commit/f8f67cd461f20b71fd2ae1a46d04e99ed9f9f51d
pjreddie/darknet,https://github.com/pjreddie/darknet,b339a70,Alexey,2021-07-07T22:13:20Z,Update README.md,https://github.com/pjreddie/darknet/commit/b339a70cbb8f4378b2bc19e560e9db8a6cde3737
pjreddie/darknet,https://github.com/pjreddie/darknet,17d4774,Alexey,2021-04-07T00:17:02Z,Update README.md,https://github.com/pjreddie/darknet/commit/17d47744a290a6d95f9f4d592e8955b5baa8615f
pjreddie/darknet,https://github.com/pjreddie/darknet,a3714d0,Alexey,2020-12-10T19:54:19Z,Update README.md,https://github.com/pjreddie/darknet/commit/a3714d0a2bf92c3dea84c4bea65b2b0c64dbc6b1
pjreddie/darknet,https://github.com/pjreddie/darknet,6667971,Alexey,2020-12-08T10:16:39Z,Update README.md,https://github.com/pjreddie/darknet/commit/6667971c28aa6a9943b1f405d6f968e3a9fff26c
