项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
postgres/postgres,https://github.com/postgres/postgres,a4a0fa0,Álvaro Herrera,2025-12-05T15:16:27Z,"Stabilize tests some more  Tests added by commits 90eae926abbb, 2bc7e886fc1b, bc32a12e0db2 have occasionally failed, depending on timing.  Add some dependency markers to the spec to try and remove the instability.  Author: Mihail Nikalayeu <mihailnikalayeu@gmail.com> Discussion: https://postgr.es/m/202512041739.sgg3tb2yobe2@alvherre.pgsql",https://github.com/postgres/postgres/commit/a4a0fa0c7587eb05b36c1f184d966dd5524a4b74
postgres/postgres,https://github.com/postgres/postgres,4d936c3,Heikki Linnakangas,2025-12-05T09:32:38Z,"Fix setting next multixid's offset at offset wraparound  In commit 789d65364c, we started updating the next multixid's offset too when recording a multixid, so that it can always be used to calculate the number of members. I got it wrong at offset wraparound: we need to skip over offset 0. Fix that.  Discussion: https://www.postgresql.org/message-id/d9996478-389a-4340-8735-bfad456b313c@iki.fi Backpatch-through: 14",https://github.com/postgres/postgres/commit/4d936c3fff1ac8dead2cc240ba3da2ed6337257c
postgres/postgres,https://github.com/postgres/postgres,31d3847,Michael Paquier,2025-12-05T07:40:26Z,"Use more palloc_object() and palloc_array() in contrib/  The idea is to encourage more the use of these new routines across the tree, as these offer stronger type safety guarantees than palloc().  In an ideal world, palloc() would then act as an internal routine of these flavors, whose footprint in the tree is minimal.  The patch sent by the author is very large, and this chunk of changes represents something like 10% of the overall patch submitted.  The code compiled is the same before and after this commit, using objdump to do some validation with a difference taken in-between.  There are some diffs, which are caused by changes in line numbers because some of the new allocation formulas are shorter, for the following files: trgm_regexp.c, xpath.c and pg_walinspect.c.  Author: David Geier <geidav.pg@gmail.com> Discussion: https://postgr.es/m/ad0748d4-3080-436e-b0bc-ac8f86a3466a@gmail.com",https://github.com/postgres/postgres/commit/31d3847a37bec060fb4177b2fc6c0fdfc7a08011
postgres/postgres,https://github.com/postgres/postgres,2f04110,Michael Paquier,2025-12-05T05:15:21Z,"Improve test output of extended statistics for ndistinct and dependencies  Corey Huinker has come up with a recipe that is more compact and more pleasant to the eye for extended stats because we know that all of them are 1-dimension JSON arrays.  This commit switches the extended stats tests to use replace() instead of jsonb_pretty(), splitting the data so as one line is used for each item in the extended stats object.  This results in the removal of a good chunk of test output, that is now easier to debug with one line used for each item in a stats object. This patch has not been provided by Corey.  This is some post-commit cleanup work that I have noticed as good enough to do on its own while reviewing the rest of the patch set Corey has posted.  Discussion: https://postgr.es/m/CADkLM=csMd52i39Ye8-PUUHyzBb3546eSCUTh-FBQ7bzT2uZ4Q@mail.gmail.com",https://github.com/postgres/postgres/commit/2f04110225ab30fbd9889d6f5d73fd6b3e1b308b
postgres/postgres,https://github.com/postgres/postgres,5db6a34,Amit Kapila,2025-12-05T04:12:55Z,"Rename column slotsync_skip_at to slotsync_last_skip.  Commit 76b78721ca introduced two new columns in pg_stat_replication_slots to improve monitoring of slot synchronization. One of these columns was named slotsync_skip_at, which is inconsistent with the naming convention used for similar columns in other system views.  Columns that store timestamps of the most recent event typically use the 'last_' in the column name (e.g., last_autovacuum, checksum_last_failure). Renaming slotsync_skip_at to slotsync_last_skip aligns with this pattern, making the purpose of the column clearer and improving overall consistency across the views.  Author: Shlok Kyal <shlok.kyal.oss@gmail.com> Reviewed-by: Michael Banck <mbanck@gmx.net> Discussion: https://postgr.es/m/20251128091552.GB13635@p46.dedyn.io;lightning.p46.dedyn.io Discussion: https://postgr.es/m/CAE9k0PkhfKrTEAsGz4DjOhEj1nQ+hbQVfvWUxNacD38ibW3a1g@mail.gmail.com",https://github.com/postgres/postgres/commit/5db6a344abc2dfbc5df454cd93a096443ea4dd3e
postgres/postgres,https://github.com/postgres/postgres,7bc88c3,Michael Paquier,2025-12-05T03:30:43Z,"Fix some compiler warnings  Some of the buildfarm members with some old gcc versions have been complaining about an always-true test for a NULL pointer caused by a combination of SOFT_ERROR_OCCURRED() and a local ErrorSaveContext variable.  These warnings are taken care of by removing SOFT_ERROR_OCCURRED(), switching to a direct variable check, like 56b1e88c804b.  Oversights in e1405aa5e3ac and 44eba8f06e55.  Reported-by: Tom Lane <tgl@sss.pgh.pa.us> Discussion: https://postgr.es/m/1341064.1764895052@sss.pgh.pa.us",https://github.com/postgres/postgres/commit/7bc88c3d6f3af3af5330c0e209c8a3c411267d00
postgres/postgres,https://github.com/postgres/postgres,83f2f84,Michael Paquier,2025-12-05T00:21:13Z,"Show version of nodes in output of TAP tests  This commit adds the version information of a node initialized by Cluster.pm, that may vary depending on the install_path given by the test.  The code was written so as the node information, that includes the version number, was dumped before the version number was set.  This is particularly useful for the pg_upgrade TAP tests, that may mix several versions for cross-version runs.  The TAP infrastructure also allows mixing nodes with different versions, so this information can be useful for out-of-core tests.  Backpatch down to v15, where Cluster.pm and the pg_upgrade TAP tests have been introduced.  Author: Potapov Alexander <a.potapov@postgrespro.com> Reviewed-by: Daniel Gustafsson <daniel@yesql.se> Discussion: https://postgr.es/m/e59bb-692c0a80-5-6f987180@170377126 Backpatch-through: 15",https://github.com/postgres/postgres/commit/83f2f8413e8d9687fda7d5881c82b89b8d9d4043
postgres/postgres,https://github.com/postgres/postgres,904f9f5,Melanie Plageman,2025-12-04T23:55:02Z,"Suppress spurious Coverity warning in prune freeze logic  Adjust the prune_freeze_setup() parameter types of new_relfrozen_xid and new_relmin_mxid to prevent misleading Coverity analysis. heap_page_prune_and_freeze() compared these values against NULL when passing them to prune_freeze_setup(), causing Coverity to assume they could be NULL and flag a possible null-pointer dereference later, even though it occurs inside a directly related conditional.  Reported-by: Coverity Author: Melanie Plageman <melanieplageman@gmail.com>",https://github.com/postgres/postgres/commit/904f9f5ea0e00a88e2429682d01f2ec946bf553a
postgres/postgres,https://github.com/postgres/postgres,80f6e2f,Nathan Bossart,2025-12-04T21:42:18Z,"Fix key size of PrivateRefCountHash.  The key is the first member of PrivateRefCountEntry, which has type Buffer.  This commit changes the key size from sizeof(int32) to sizeof(Buffer).  This appears to be an oversight in commit 4b4b680c3d, but it's of no consequence because Buffer has been a signed 32-bit integer for a long time.  Author: Bertrand Drouvot <bertranddrouvot.pg@gmail.com> Discussion: https://postgr.es/m/aS77DTpl0fOkIKSZ%40ip-10-97-1-34.eu-west-3.compute.internal",https://github.com/postgres/postgres/commit/80f6e2fb4addb03e2e163a380b5e6e1f4b321286
postgres/postgres,https://github.com/postgres/postgres,e158fd4,Peter Eisentraut,2025-12-04T19:44:52Z,"Remove no longer needed casts from Pointer  These casts used to be required when Pointer was char *, but now it's void * (commit 1b2bb5077e9), so they are not needed anymore.  Author: Dagfinn Ilmari Mannsåker <ilmari@ilmari.org> Discussion: https://www.postgresql.org/message-id/4154950a-47ae-4223-bd01-1235cc50e933%40eisentraut.org",https://github.com/postgres/postgres/commit/e158fd4d68f44d0872c1d2053067fe306cc9d2b2
