项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
reactos/reactos,https://github.com/reactos/reactos,0ec4dc2,Doug Lyons,2025-12-05T14:48:31Z,"[GDI32_WINETEST][FONTS] Disable tests for raster fonts. (#8492)  If running on REACTOS, then skip raster (bitmap) font tests in gdi32_winetests.",https://github.com/reactos/reactos/commit/0ec4dc20a78e707aaf1ae23cec64559176729b69
reactos/reactos,https://github.com/reactos/reactos,3c0aa7f,Timo Kreuzer,2025-08-02T10:56:07Z,[CABINET_WINETEST] Sync to wine-10.0,https://github.com/reactos/reactos/commit/3c0aa7ff75fb62a34749614da1466e7170d7827f
reactos/reactos,https://github.com/reactos/reactos,d260c1d,Timo Kreuzer,2025-12-02T13:40:59Z,[APPHELP_APITEST] Fix broken test case  ROSTESTS-408,https://github.com/reactos/reactos/commit/d260c1d2a792a8ef6a46d6a1914b89145a3d7711
reactos/reactos,https://github.com/reactos/reactos,a6f38d1,Timo Kreuzer,2025-08-02T10:21:17Z,[APPHELP_APITEST] Get rid of __ROS_LONG64__,https://github.com/reactos/reactos/commit/a6f38d1f433816e3454525c9864c56f563d504a0
reactos/reactos,https://github.com/reactos/reactos,52006dd,Justin Miller,2025-12-03T21:14:22Z,[USBCCGP][USBPORT][USBSTOR][USBHUB] Misc USB stack stability improvements.  (#8453)  * [USBCCGP] CORE-18689 - Don't do a double IRP completion  * [USBPORT] CORE-17052 Handle port status better and CreateDevice MaxPacketSize  * [USBSTOR] CORE-19773 Clamp LUN - Don't just assert on a POSSIBLE case  * [USB] Disable LIST_ENTRY_CHECKS privately for USB  * [CODEREVIEW]  Co-authored-by: Hermès BÉLUSCA - MAÏTO <hermes.belusca-maito@reactos.org>  * [CODEREVIEW]  Co-authored-by: Hermès BÉLUSCA - MAÏTO <hermes.belusca-maito@reactos.org>  ---------  Co-authored-by: Hermès BÉLUSCA - MAÏTO <hermes.belusca-maito@reactos.org>,https://github.com/reactos/reactos/commit/52006dd926994f6a948a1f352d4bfe4d3f383ede
reactos/reactos,https://github.com/reactos/reactos,054b8e0,George Bișoc,2025-11-30T18:14:11Z,[NTOS:PS] Remove deprecated code  There was some deprecated code in the ProcessSessionInformation class left to rot for oh god how so long. Unfabricate it.,https://github.com/reactos/reactos/commit/054b8e00d9d9bd631a789a9198f61acd81b8c609
reactos/reactos,https://github.com/reactos/reactos,0f30e81,George Bișoc,2025-11-30T18:05:56Z,[NTOS:PS] Annotate the Query/Set related functions with SAL2  - Annotate the functions in query.c file with SAL2 of which they weren't annotated before - Use _Out_writes_bytes_to_opt_ to further clarify the output parameter is being written to it based on the length size provided. This is so the code analyzer understands such a parameter is being written into only the specific amount of bytes.,https://github.com/reactos/reactos/commit/0f30e8163ed71585bb7df0b1c606f406b9a9296d
reactos/reactos,https://github.com/reactos/reactos,f5d44e1,Timo Kreuzer,2025-11-29T13:17:58Z,[REACTOS] Remove unneeded __ROS_LONG64__,https://github.com/reactos/reactos/commit/f5d44e1081c5dc29f5c35f5c9c1cf56fe1cd12d1
reactos/reactos,https://github.com/reactos/reactos,72b060f,Timo Kreuzer,2025-11-27T15:31:15Z,"[MSXML3_WINETEST] Workarounds to prevent reactos crashes  Most of these will go away, once msxml3 is synced.",https://github.com/reactos/reactos/commit/72b060f8e620da27eab0064e62963877617802e5
reactos/reactos,https://github.com/reactos/reactos,4999df3,Timo Kreuzer,2025-11-26T17:20:54Z,[MSXML3_WINETEST] Sync to wine-10.0,https://github.com/reactos/reactos/commit/4999df33bf711ecf9c8df04243ef6c2c8380d5b5
reactos/reactos,https://github.com/reactos/reactos,11b9f97,Timo Kreuzer,2025-11-26T17:08:36Z,"[MSVCRT] Add import symbols for strto(u)ll  Forward these to _strto(u)i64, which are exported. This allows to link some wine code that uses these instead of _strto(u)i64.",https://github.com/reactos/reactos/commit/11b9f97f8a679c8f49beca3e96902be847a7b4e7
reactos/reactos,https://github.com/reactos/reactos,60aad33,Timo Kreuzer,2025-11-30T10:03:41Z,[NTOS:PS] Fix test breakage after Hermès  Fixes test failures in ntdll_apitest NtQueryInformationThread and NtSetInformationThread,https://github.com/reactos/reactos/commit/60aad33ed015af822d620626d31450ff4e63d026
