项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
redis/redis,https://github.com/redis/redis,cb71dec,Yuan Wang,2025-12-04T01:24:23Z,"Disable RDB compression when diskless replication is used (#14575)  Fixes #14538  If the master uses diskless synchronization and the replica uses diskless load, we can disable RDB compression to reduce full sync time. I tested on AWS and found we could reduce time by 20-40%.  In terms of implementation, when the replica can use diskless load, the replica will send `replconf rdb-no-compress 1` to master to deliver a RDB without compression.  If your network is slow, please disable repl-diskless-load, and maybe even repl-diskless-sync  ---------  Co-authored-by: Ozan Tezcan <ozantezcan@gmail.com>",https://github.com/redis/redis/commit/cb71dec0c3b1202f85e26cbb80b849a24c6bda02
redis/redis,https://github.com/redis/redis,08b63b6,Ozan Tezcan,2025-12-03T09:12:48Z,"Fix flaky ASM tests (#14604)  1. Fix ""Simple slot migration with write load"" by introducing artificial delay to traffic generator to slow down it for tsan builds. Failed test: https://github.com/redis/redis/actions/runs/19720942981/job/56503213650  2. Fix ""Test RM_ClusterCanAccessKeysInSlot returns false for unowned slots"" by waiting config propagation before checking it on a replica. Failed test: https://github.com/redis/redis/actions/runs/19841852142/job/56851802772",https://github.com/redis/redis/commit/08b63b6cebaf18e2df9fbc7c0801be6a03176ef9
redis/redis,https://github.com/redis/redis,3c57a8f,Ozan Tezcan,2025-12-02T10:38:22Z,"Retry an ASM import step when the source node is temporarily not ready (#14599)  The cluster implementation may be temporarily unavailable and return an error to the `ASM_EVENT_MIGRATE_PREP` event to prevent starting a new migration. Although this is most likely a transient condition, the source node has no way to distinguish it from a real error, so it must fail the import attempt and start a new one.  In Redis, failing an attempt is cheap, but in other cluster implementations it may require cleaning up resources and can cause unnecessary disruption.  This PR introduces a new `-NOTREADY` error reply for the `CLUSTER SYNCSLOTS SYNC` command. When the source replies with `-NOTREADY`, the destination can recognize the condition as transient and retry sending `CLUSTER SYNCSLOTS SYNC` step periodically instead of failing the attempt.",https://github.com/redis/redis/commit/3c57a8fc92ab4df9bdec1fbcae9c81c59f0edd90
redis/redis,https://github.com/redis/redis,86c6358,Ozan Tezcan,2025-11-29T19:41:58Z,Refactor some of ASM and slot-stats functions (#14587)  This PR does not introduce any behavioral changes.  - Refactored and moved verifyClusterConfigWithData() into cluster.c. - Refactored and centralized ASM and slot-stats initialization functions.  These changes place shared logic in a common location so it can be reused by different cluster implementations.,https://github.com/redis/redis/commit/86c63588b017b0341600b9ffbc4f2382b207906c
redis/redis,https://github.com/redis/redis,f56e011,Oran Agra,2025-11-27T05:59:11Z,"Fix rare server hang at shutdown (#14581)  In case we have to kill an rdb child at shutdown, we wait for the child process to exit, and then resume with the shutodwn, and we did not clear the child_pid variable, since we're going to terminate anyway. but if the shutdown is then aborted due to another issue further down that function, we will try to kill that child again, and the waitpid will never get released.  Reproduced in the test ""SHUTDOWN can proceed if shutdown command was with nosave""",https://github.com/redis/redis/commit/f56e0115fbce73b012fe4ccce7368a67017b911c
redis/redis,https://github.com/redis/redis,82fbf21,Oran Agra,2025-11-26T07:13:21Z,"fix test tag leakage that can result in skipping tests (#14572)  some error handling paths didn't remove the tags they added, but most importantly, if the start_server proc is given the ""tags"" argument more than once, on exit, it only removed the last one.  this problem exists in start_cluster in list.tcl, and the result was that the ""external:skip cluster modules"" were not removed",https://github.com/redis/redis/commit/82fbf213eb47d2a623decf5c31b29d35459fcd71
redis/redis,https://github.com/redis/redis,8d54243,Ozan Tezcan,2025-11-26T05:50:12Z,"Fix delayed config broadcast after ASM operations (#14573)  An incorrect constant value prevented the configuration from being broadcast immediately. As a result, the config was only broadcast later as part of periodic ping messages, causing other nodes to learn about the configuration change with a delay.  Introduced by https://github.com/redis/redis/pull/14504.",https://github.com/redis/redis/commit/8d542434bd27f935db76258732b14f774e8096af
redis/redis,https://github.com/redis/redis,c8e1e83,Rushabh Mehta,2025-11-25T12:05:33Z,"Validate existence of backup directory for cluster backup in redis-cli (#14448)  Currently, there is a `TODO` regarding adding a check if the backup directory exists in `redis-cli`.  This PR adds a check to improve usability:  - If the backup directory does not exist, the user is informed with an error message. - If the specified path exists but is not a directory, an error is now properly reported.  ---------  Co-authored-by: debing.sun <debing.sun@redis.com>",https://github.com/redis/redis/commit/c8e1e833cdab067104d7670a6a53c365ce1d2652
redis/redis,https://github.com/redis/redis,3920059,RoyBenMoshe,2025-11-25T07:30:43Z,"SCAN: restore original filter order (#14537)  In #14121, the SCAN filters order was changed, before #14121￼the order was - pattern, expiration and type, after #14121￼pattern became last, this break change broke the original behavior, which will cause scan with pattern also to remove the expired keys. This PR reorders the filters to be consistent with the original behavior and extends a test to cover this scenario.",https://github.com/redis/redis/commit/39200596f48e44067021474adeefeeccf3dc3a13
redis/redis,https://github.com/redis/redis,0288d70,lihp,2025-11-22T03:52:31Z,"Fixes an issue where EXEC checks ACL during AOF loading (#14545)  This PR fixes an issue(#14541) where EXEC’s ACL recheck was still being performed during AOF loading, that may cause AOF loading failed, if ACL rules are changed and don't allow some commands in MULTI-EXEC.",https://github.com/redis/redis/commit/0288d70820095491c0cf7d9d89a7e6062a6418f2
