项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,9afa3ca,Lu jicong,2025-01-10T14:05:31Z,Fix in 'mbedtls 3.6.0 ver' compilation failure issue  Fix mbedtls 3.6 compatibility  Co-authored-by: Zxl hhyccc <zxlhhy@gmail.com> Signed-off-by: Lu jicong <jiconglu58@gmail.com>,https://github.com/shadowsocks/shadowsocks-libev/commit/9afa3cacf947f910be46b69fc5a7a1fdd02fd5e6
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,d83ace0,GVerso,2022-11-30T03:08:01Z,Translation of README.md into Brazilian Portuguese. (#2946)  README.md translated to Brazilian Portuguese,https://github.com/shadowsocks/shadowsocks-libev/commit/d83ace0f0d9c05656c13d66aa4a449bf70143254
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,288cba7,Bill Zhong,2022-11-29T17:01:39Z,fix snap link and badge,https://github.com/shadowsocks/shadowsocks-libev/commit/288cba784e798d73b289c08c53af193d04c16db4
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,3bcf258,Michael,2022-11-15T09:49:21Z,"Fix ""missing configuration file"" error during custom build using autotools",https://github.com/shadowsocks/shadowsocks-libev/commit/3bcf258de102bfd1cda4044dd9d4e9a860d55f41
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,7f7f68a,rickyrick2002,2022-10-25T03:52:34Z,replace fixed mbedtls version with variable $MBEDTLS_VER,https://github.com/shadowsocks/shadowsocks-libev/commit/7f7f68afe40b227195f5d9a6bb03c7bce41d45d8
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,a3b1dc7,rickyrick2002,2022-10-18T16:33:43Z,update MbedTLS dependency link and add Debian / Ubuntu apt pkg-config,https://github.com/shadowsocks/shadowsocks-libev/commit/a3b1dc7f37f2005a0b5842f75ef852672b7b98bb
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,d3e73c6,nishans08,2022-07-27T23:42:04Z,"fixes grammatical errors in README.md  221: You should jump this section and install them from distribution repository instead. -> You should jump to this section and install them from the distribution repository instead.  FIX #7",https://github.com/shadowsocks/shadowsocks-libev/commit/d3e73c6ce652168963cb10c8284c89f2cf4df16e
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,5fdb662,vndroid,2022-06-28T07:53:56Z,Update  - Fix path error,https://github.com/shadowsocks/shadowsocks-libev/commit/5fdb6624e304885fd51115ec6666aa6f926096cd
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,c13c464,vndroid,2022-06-28T06:38:31Z,Update  - Solve the problem of not being able to enter the container - Execute strip after compilation - Support multi-threaded compilation,https://github.com/shadowsocks/shadowsocks-libev/commit/c13c464604b80a4b70c5778a66d91ac32885f91d
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,05e70d4,DDoSolitary,2022-03-13T07:59:18Z,fix c-ares link dep,https://github.com/shadowsocks/shadowsocks-libev/commit/05e70d43176ae239ba54ffb1a0f80df5b8f3d4f1
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,549b9be,Maxim Galaganov,2022-06-24T10:21:01Z,Fix rpm build for fedora 36,https://github.com/shadowsocks/shadowsocks-libev/commit/549b9bedb9fa3cc2c98febd0a8cff9c307dd3559
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,9eeadf9,Maxim Galaganov,2022-06-24T09:16:34Z,Add submodules to git safe.directory for .copr build,https://github.com/shadowsocks/shadowsocks-libev/commit/9eeadf9137be27dbe57fb7e5564c836a3497c5b6
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,d61d09a,Maxim Galaganov,2022-06-22T14:47:40Z,Detect kernel support for MPTCP at runtime,https://github.com/shadowsocks/shadowsocks-libev/commit/d61d09aa0caecf31a39660f3a8f0676e53db129e
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,01dd7df,zonyitoo,2022-06-03T16:02:03Z,"Redir UDP send back sockets should always be IPv6  ref shadowsocks/shadowsocks-rust#855  When receiving UDP packets from remote servers, Redir will have to create transparent sockets to bind() on those target addresses and then relay data back to the local client. Target addresses may be IPv4 or IPv6 addresses, so we may have to create that transprent sockets based on the target addresses' family.  The most simpliest and easiest way is to always create IPv6 sockets and converts IPv4 binding addresses and peer addresses to IPv4-mapped-IPv6.",https://github.com/shadowsocks/shadowsocks-libev/commit/01dd7df1da98710a619a4a853f6f357dfc46f60f
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,c2fc967,Bill Zhong,2022-05-27T13:36:37Z,fix .copr build,https://github.com/shadowsocks/shadowsocks-libev/commit/c2fc967c1a3e4d864d866cc92dd29a04cdb11f98
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,90f21ab,Chen Shaoju,2022-05-28T17:08:38Z,Update README.md  Update the PKGBUILD url.,https://github.com/shadowsocks/shadowsocks-libev/commit/90f21abc2db1204d6d3f1838aa1954b849f8a584
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,1630764,Tristan Schmelcher,2022-05-22T03:18:14Z,Fix --mptcp on kernels with mainlined MPTCP. Mainlined MPTCP on Linux 5.6+ is enabled with IPPROTO_MPTCP rather than setsockopt.,https://github.com/shadowsocks/shadowsocks-libev/commit/1630764b02bbcbf0980d8080ea6ee8fd9b2cabf0
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,e21f824,Alexandre ABRIOUX,2021-12-08T19:31:00Z,fix: being able to use empty DNS_ADDRS with docker image,https://github.com/shadowsocks/shadowsocks-libev/commit/e21f8248b64528b9a30a87331074a0eae6676225
shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,0c23224,Fabrice Fontaine,2022-04-07T16:27:58Z,"fix maybe-uninitialized errors  Set {listen,server}_sock to -1 when needed as already done in src/manager.c by commit ecf1fcc84594b09ed2d61e3677cd8e62bd897ccb to avoid the following build failure:  local.c: In function 'create_and_bind': local.c:218:12: error: 'listen_sock' may be used uninitialized in this function [-Werror=maybe-uninitialized]   218 |     return listen_sock;       |            ^~~~~~~~~~~  Fixes:  - http://autobuild.buildroot.org/results/27471a878ff52a972ac087d534e44fb0c50808f6  Signed-off-by: Fabrice Fontaine <fontaine.fabrice@gmail.com>",https://github.com/shadowsocks/shadowsocks-libev/commit/0c23224e926463b1097414979367655a27fa6d60
