项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,866c44c,Krzysztof Kowalczyk,2025-11-19T19:17:45Z,also generate vs2026 directory for testing with visual studio 2026  needs to be manually retargetted in vs 2026 because premake5 hasn't yet released a build with vs2026 target so I'm generating vs 2022 files in that dir,https://github.com/sumatrapdfreader/sumatrapdf/commit/866c44cf3f69db3d77b6679eef2e7d639de90945
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,cdadfde,Krzysztof Kowalczyk,2025-07-27T14:52:49Z,make double-click select decimal numbers like 123.45 (fixes #4999)  Previously would only select 123 or 45,https://github.com/sumatrapdfreader/sumatrapdf/commit/cdadfde74471e9b06898e5c1e87edd98b4204597
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,6d5b9bf,Krzysztof Kowalczyk,2025-07-27T13:52:17Z,"allow "":"" arg in CmdCommandPalette bindings",https://github.com/sumatrapdfreader/sumatrapdf/commit/6d5b9bf028bd06eb96acd6d89764eea73299bd61
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,ccf8a9c,Krzysztof Kowalczyk,2025-07-27T13:47:26Z,"Command Palette: add "":"" option that shows everytihng like 3.5 (fixes #5031)",https://github.com/sumatrapdfreader/sumatrapdf/commit/ccf8a9ca389e47ff36f757785385ec7800152d2d
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,5a9feb8,Krzysztof Kowalczyk,2025-07-27T13:31:36Z,"in Command Palette, when viewing opened files history (#), you can press Delete to remove the entry from history (fixes #5025)",https://github.com/sumatrapdfreader/sumatrapdf/commit/5a9feb8ddf52fa31bf36645429571cff5b8f40ef
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,c625636,Krzysztof Kowalczyk,2025-07-27T12:23:20Z,Djvu: guard DataPool::create() against invalid data (fixes #5035),https://github.com/sumatrapdfreader/sumatrapdf/commit/c625636b95658c839f9695de150b4223e94bebae
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,68b462b,Krzysztof Kowalczyk,2025-07-27T12:03:35Z,update libdjvu to latest master (for #5035),https://github.com/sumatrapdfreader/sumatrapdf/commit/68b462b2509c0ae0290c4c8e2cbbc2c8fed7fc39
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,6bffe7f,Krzysztof Kowalczyk,2025-07-10T18:03:16Z,remove appx building,https://github.com/sumatrapdfreader/sumatrapdf/commit/6bffe7f481226f44374bd7675334fb05cf230199
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,4a1b597,Krzysztof Kowalczyk,2025-07-10T17:28:52Z,Simplify finding Wnd by HWND,https://github.com/sumatrapdfreader/sumatrapdf/commit/4a1b5973a4feb10a74419359cc5b54ac4512da17
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,dccae7a,Krzysztof Kowalczyk,2025-07-10T11:11:24Z,fix gLangsMap to be strseq compatible  forgot to add terminating 0,https://github.com/sumatrapdfreader/sumatrapdf/commit/dccae7a875eba0539f7ffc197a567b17d8b14b51
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,b5f6a23,Krzysztof Kowalczyk,2025-07-10T10:26:41Z,"fortify management of Wnd,HWND map for message reflection  trying to track down/fix issues with TabCtrl handling messages after being destroyed",https://github.com/sumatrapdfreader/sumatrapdf/commit/b5f6a23f6107930adda318372df98f12174638a8
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,f8fc489,Krzysztof Kowalczyk,2025-07-08T09:35:24Z,maybe fix a crash in URLEncodeMayTruncateTemp(),https://github.com/sumatrapdfreader/sumatrapdf/commit/f8fc489dd128208e51ff6d542aa90ae88e9e9f0c
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,b4b413f,Krzysztof Kowalczyk,2025-07-06T20:16:00Z,"Revert ""try manifest""  This reverts commit 5942598e617f93e45afe4510aeaf19ef8ce9c891.",https://github.com/sumatrapdfreader/sumatrapdf/commit/b4b413f968a87cbf4cbfa565c68b18aff7d2f97e
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,5942598,Krzysztof Kowalczyk,2025-07-06T20:04:31Z,try manifest,https://github.com/sumatrapdfreader/sumatrapdf/commit/5942598e617f93e45afe4510aeaf19ef8ce9c891
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,e713496,Krzysztof Kowalczyk,2025-07-06T19:33:20Z,one more manifest fix,https://github.com/sumatrapdfreader/sumatrapdf/commit/e7134962a9118459c88b68f21070d0e1e0d2d7ee
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,19037b8,Krzysztof Kowalczyk,2025-07-06T19:17:58Z,try fix manifest,https://github.com/sumatrapdfreader/sumatrapdf/commit/19037b8a1ebe5cf355f93082ac2a8fa97e3706d6
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,c30df27,Krzysztof Kowalczyk,2025-07-06T17:55:44Z,apparently can't register for .chm extension,https://github.com/sumatrapdfreader/sumatrapdf/commit/c30df27f0f724cf1c0a066ac6f3d8cbecc57ffa7
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,6823bcc,Krzysztof Kowalczyk,2025-07-05T17:05:54Z,register for .chm files,https://github.com/sumatrapdfreader/sumatrapdf/commit/6823bccbff717d8d49ef270278b96ee2219fe333
sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,f14b91e,Krzysztof Kowalczyk,2025-07-05T16:16:13Z,Merge branch 'master' of https://github.com/sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf/commit/f14b91e54fb7743fb7c9047a8191a9b8a14c52b2
