项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
swaywm/sway,https://github.com/swaywm/sway,f4aba22,rewine,2025-11-27T14:03:48Z,Drop org_kde_kwin_idle files  Has been replaced by ext_idle_notifier_v1  Signed-off-by: rewine <luhongxu@deepin.org>,https://github.com/swaywm/sway/commit/f4aba22582184c9a4a20fd7a9ffd70c63b4b393d
swaywm/sway,https://github.com/swaywm/sway,897e768,johnpyp,2025-11-18T02:29:49Z,commit dirty transactions upon window attribute changes,https://github.com/swaywm/sway/commit/897e7688bb415c40f8bc104bd526ddba537255f1
swaywm/sway,https://github.com/swaywm/sway,842ea06,Damino,2025-11-21T02:03:11Z,tree/view: check for null workspace output  Fixes #8950,https://github.com/swaywm/sway/commit/842ea067737934823ccdef9adb8fbec6481bc472
swaywm/sway,https://github.com/swaywm/sway,b54d120,g-rden,2025-11-20T09:21:25Z,swaynag/main: free config_path  Otherwise config_path is never free'd,https://github.com/swaywm/sway/commit/b54d1205d866a0bbc3b00c511dace77aa7113160
swaywm/sway,https://github.com/swaywm/sway,d735bb9,llyyr,2025-11-13T15:51:09Z,sway/server: advertise wlr_color_representation_manager_v1,https://github.com/swaywm/sway/commit/d735bb99a9e97619e633257ea001b42e2bfe95a5
swaywm/sway,https://github.com/swaywm/sway,055be4e,llyyr,2025-10-28T22:23:24Z,sway/server: advertise gamma2.2 and bt1886 transfer functions,https://github.com/swaywm/sway/commit/055be4ec35eec4eaaf066a18ccbf5132ebed0694
swaywm/sway,https://github.com/swaywm/sway,b7eb617,bonsaiiV,2025-10-18T16:55:46Z,"sway/commands/layout: fix flatten parent once  Fixes: f50e307227c8 (""sway/commands/layout: flatten parent once"")",https://github.com/swaywm/sway/commit/b7eb6177e1d634620d73d56224cf154e3b854e0f
swaywm/sway,https://github.com/swaywm/sway,90d3270,llyyr,2025-09-29T10:57:30Z,sway/input/cursor: send frame event when simulating pointer from tablet,https://github.com/swaywm/sway/commit/90d3270970cc963454455b572883a051d3f376a1
swaywm/sway,https://github.com/swaywm/sway,ecfea6b,Louis POIROT--HATTERMANN,2025-10-02T13:54:24Z,commands/scratchpad: don't hide scratchpad if no pending workspace  Fixes: https://github.com/swaywm/sway/issues/8909,https://github.com/swaywm/sway/commit/ecfea6b8aebcc6a7f663e2f23144e146dbe726d3
swaywm/sway,https://github.com/swaywm/sway,b4a9a17,nyxed,2025-10-02T15:33:59Z,build: switch to explicit 'meson setup' syntax,https://github.com/swaywm/sway/commit/b4a9a1716f70f080edf146f82698aa2c1bb99bcc
swaywm/sway,https://github.com/swaywm/sway,d9e615c,llyyr,2025-09-21T01:14:24Z,sway/server: set color_manager for root scene  Chase https://gitlab.freedesktop.org/wlroots/wlroots/-/merge_requests/5122/,https://github.com/swaywm/sway/commit/d9e615c507c1d669171e8222ef8b32bf8de07ed5
swaywm/sway,https://github.com/swaywm/sway,bc96d0a,Felix Pehla,2025-09-15T10:47:58Z,"README: update German translation  Update the information about display manager support (see #8861), as well as markdown formatting of links and change some wording in the German README.",https://github.com/swaywm/sway/commit/bc96d0acdf8544d81df669566b50032333ce16d9
swaywm/sway,https://github.com/swaywm/sway,a7d9535,Simon Ser,2025-09-11T09:21:01Z,"input/text_input: stop using listener data  These are now NULL.  Fixes: aaab7f961e0b (""input/text_input: chase wlroots update"") Closes: https://github.com/swaywm/sway/issues/8864 References: https://gitlab.freedesktop.org/wlroots/wlroots/-/merge_requests/5107",https://github.com/swaywm/sway/commit/a7d9535eb3b2056cea6a88e174fb1e75c33469f2
swaywm/sway,https://github.com/swaywm/sway,7c1e192,nortio,2025-09-14T17:38:17Z,"Update README.it.md for Italian   Updated italian readme to follow the recent changes to the English one. I also removed ""gestore di accesso"" which in theory translates to display manager, but in practice is never used in this context. Other wikis such as [Debian](https://wiki.debian.org/it/DisplayManager) and [Ubuntu](https://wiki.ubuntu-it.org/AmbienteGrafico/DisplayManager) just use the term ""Display Manager"" as is. Another small thing that I corrected is ""canale di IRC"" which sounds a bit weird.",https://github.com/swaywm/sway/commit/7c1e192ea33c3b7b60b9fe2bef72a1e27cfb702d
swaywm/sway,https://github.com/swaywm/sway,50a8750,aceydot,2025-09-12T17:55:36Z,Add Serbian README,https://github.com/swaywm/sway/commit/50a8750e01f197826631db3c231b55ed48a24cc4
swaywm/sway,https://github.com/swaywm/sway,a41b250,Martin Dørum,2025-09-12T13:43:30Z,"Update Norwegian README to make it more in line with the English one, as well as improving grammar",https://github.com/swaywm/sway/commit/a41b25020d46f26f0c8b6de66f29f06766fbc8dc
swaywm/sway,https://github.com/swaywm/sway,35b6915,Kirill Chibisov,2025-09-12T13:08:15Z,readme: sync Japanese translation,https://github.com/swaywm/sway/commit/35b69158d7b76dc3dcaffd813d719dcc877a52ca
swaywm/sway,https://github.com/swaywm/sway,862e9b8,Kirill Chibisov,2025-09-12T13:05:22Z,readme: sync Russian translation,https://github.com/swaywm/sway/commit/862e9b8c20307e6a6bb0f812bf54c70651dbb189
swaywm/sway,https://github.com/swaywm/sway,68ac52f,Oto Šťáva,2025-09-11T15:00:04Z,readme: Update and reword Czech translation,https://github.com/swaywm/sway/commit/68ac52ffc2702d4ba6c4901e439e1457226077ae
swaywm/sway,https://github.com/swaywm/sway,e6fc3ff,Przemysław Gasiński,2025-09-11T20:59:01Z,readme: Update Polish translation regarding the support of display managers,https://github.com/swaywm/sway/commit/e6fc3ffa3f2b8bd4beddbbebdeab6f39b80553ec
swaywm/sway,https://github.com/swaywm/sway,70c51c4,Martin Dørum,2025-09-11T15:05:36Z,update danish readme to reflect that display managers are supported,https://github.com/swaywm/sway/commit/70c51c44f65826d1c8cd8b68467c5100dfb4f18d
swaywm/sway,https://github.com/swaywm/sway,ca45c22,Simon Ser,2025-09-09T08:06:27Z,"readme: mark display managers as supported  It's been a long while since we've heard about issues related to display managers. Some used to be unreliable in the past, but by now most issues have been ironed out. Let's start supporting them officially.  I've considered translating other languages but I'm concerned about messing up the sentence. I've updated languages I'm comfortable with.",https://github.com/swaywm/sway/commit/ca45c22376e8fadf6a8cfdbd29592f0026b726ad
swaywm/sway,https://github.com/swaywm/sway,c5456be,Nikola Kocic,2025-09-09T11:43:20Z,"xdg-shell: fix reported WM capabilities  Previously it was reporting window_menu and maximize instead of fullscreen because wlr_xdg_toplevel_set_wm_capabilities expects a bitmask (WLR_XDG_TOPLEVEL_WM_CAPABILITIES_*), and XDG_TOPLEVEL_WM_CAPABILITIES_* are supposed to be used as values in wl_array, so the values are different: XDG_TOPLEVEL_WM_CAPABILITIES_FULLSCREEN = 3 WLR_XDG_TOPLEVEL_WM_CAPABILITIES_FULLSCREEN = 4",https://github.com/swaywm/sway/commit/c5456be7506adece2cdf922ed6d919db597944ab
swaywm/sway,https://github.com/swaywm/sway,aaab7f9,Bill Li,2025-09-08T15:48:45Z,input/text_input: chase wlroots update  References:https://gitlab.freedesktop.org/wlroots/wlroots/-/merge_requests/5107,https://github.com/swaywm/sway/commit/aaab7f961e0b9b0e52d43ca4debfeb8fcb4f7592
swaywm/sway,https://github.com/swaywm/sway,73c244f,Kenny Levinsen,2025-08-22T13:37:44Z,"config/output: Only error when enabling HDR  We currently emit errors about HDR support even if HDR is not being requested, which mean errors on every regular modeset when monitors not supporting HDR are connected.  Only emit errors when attempting to enable HDR on such device.",https://github.com/swaywm/sway/commit/73c244fb4807a29c6599d42c15e8a8759225b2d6
swaywm/sway,https://github.com/swaywm/sway,b3dcde8,Simon Ser,2025-08-13T20:53:13Z,"Stop generating wayland-protocols server headers  We still need to generate wlr-protocols server headers, as well as client headers and code.  References: https://gitlab.freedesktop.org/wlroots/wlroots/-/merge_requests/5075",https://github.com/swaywm/sway/commit/b3dcde8d69c3f1304b076968a7a64f54d0c958be
swaywm/sway,https://github.com/swaywm/sway,0770a8d,Joaquim Monteiro,2025-07-25T03:30:42Z,Add wl_fixes interface,https://github.com/swaywm/sway/commit/0770a8d6435700d87e5753e53fdd2792c1437ea5
