项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
systemd/systemd,https://github.com/systemd/systemd,67317e2,Luca Boccassi,2025-12-05T14:24:23Z,Translations update from Fedora Weblate (#39998)  Translations update from [Fedora Weblate](https://translate.fedoraproject.org) for [systemd/main](https://translate.fedoraproject.org/projects/systemd/main/).    Current translation status:  ![Weblate translation status](https://translate.fedoraproject.org/widget/systemd/main/horizontal-auto.svg),https://github.com/systemd/systemd/commit/67317e214e7b8aed3aa16eed74f23eb11ca5148c
systemd/systemd,https://github.com/systemd/systemd,bfaf63b,Daniel Rusek,2025-12-05T13:08:36Z,po: Translated using Weblate (Czech)  Currently translated at 100.0% (264 of 264 strings)  Co-authored-by: Daniel Rusek <mail@asciiwolf.com> Translate-URL: https://translate.fedoraproject.org/projects/systemd/main/cs/ Translation: systemd/main,https://github.com/systemd/systemd/commit/bfaf63b509152aca98d2e50b4bd3f622ec7700db
systemd/systemd,https://github.com/systemd/systemd,4b9cb0c,Pavel Borecki,2025-12-05T13:08:35Z,po: Translated using Weblate (Czech)  Currently translated at 100.0% (264 of 264 strings)  Co-authored-by: Pavel Borecki <pavel.borecki@gmail.com> Translate-URL: https://translate.fedoraproject.org/projects/systemd/main/cs/ Translation: systemd/main,https://github.com/systemd/systemd/commit/4b9cb0c39183c17240eba6931c7aa0cdd9dd7fe8
systemd/systemd,https://github.com/systemd/systemd,1239143,Zbigniew Jędrzejewski-Szmek,2025-11-26T21:11:24Z,"machined: add description to varlink server, unify error messages  manager_varlink_init_resolve_hook and manager_varlink_init_userdb are very similar, but one didn't set a description and the other one had an error message which didn't print the offending path.  Define constants for the paths, and also change other similar constants to have slightly shorter names. (It's an ""address"" and ""path"", but we don't need to have both parts in the name, esp. that it makes the name very long.)",https://github.com/systemd/systemd/commit/12391431c233c6512b9501260ed05f2c78066c5a
systemd/systemd,https://github.com/systemd/systemd,9454927,Zbigniew Jędrzejewski-Szmek,2025-12-05T11:12:03Z,"sd-netlink: read error message for NFNL_MSG_BATCH_BEGIN (#39967)  Before: ``` $ unshare --user --map-users=0:$(id -u):1 --map-groups=0:$(id -g):1 build/test-firewall-util /* test_v6 */ src/test/test-firewall-util.c:34: Assertion failed: ""r = fw_nftables_add_masquerade(nfnl, true, AF_INET6, &u1, 128)"" failed with unexpected error: -110/ETIMEDOUT Aborted (core dumped) ```  After: ``` $ unshare --user --map-users=0:$(id -u):1 --map-groups=0:$(id -g):1 /var/build/test-firewall-util /* test_v6 */ test-firewall-util: Failed to add IPv6 masquerade, skipping tests: Operation not permitted /* test_v4 */ test-firewall-util: Failed to add IPv4 masquerade, skipping tests: Operation not permitted ```",https://github.com/systemd/systemd/commit/9454927c76d06ad67282983029f89aa149bcc277
systemd/systemd,https://github.com/systemd/systemd,3c85d99,Colin Walters,2025-12-04T19:00:16Z,"man: Clarify secure-boot-enroll defaults  Clarify in the docs that `if-safe` is the default by noting that in the text for it, but also moving it to the first mentioned option.  Make explicit in `man systemd-boot` that the `secure-boot-enroll` option is specified in the `loader.conf`  Update an outdated comment in boot.c around the same.  Signed-off-by: Colin Walters <walters@verbum.org>",https://github.com/systemd/systemd/commit/3c85d99c79a7ebb5256a97d07724550a9cb42d69
systemd/systemd,https://github.com/systemd/systemd,eb98ddd,Luca Boccassi,2025-11-28T16:56:11Z,"sysupdate: also mention patterns to match in error log on failure  The gpt uuid is not the only thing that needs to match, the pattern does as well, so mention it in the error log if present",https://github.com/systemd/systemd/commit/eb98ddd8b8d522c9de8fb30c0915d254b5e5b853
systemd/systemd,https://github.com/systemd/systemd,d9e894e,Zbigniew Jędrzejewski-Szmek,2025-12-05T10:09:14Z,Fix systemctl start --verbose off-by-one logs (#39927),https://github.com/systemd/systemd/commit/d9e894ef72158cc6433728735867437b4669a888
systemd/systemd,https://github.com/systemd/systemd,53f5aa3,Yu Watanabe,2025-11-30T02:10:02Z,"musl: introduce wrappers for getopt() and getopt_long()  musl's getopt_long() behaves something different in handling optional arguments: ``` $ journalctl _PID=1 _COMM=systemd --since 19:19:01 -n all --follow Failed to add match 'all': Invalid argument ``` This introduces getopt_long_fix() that reorders the passed arguments to make getopt_long() provided by musl works as what we expect.  Also, musl's getopt() always behaves POSIXLY_CORRECT mode, and stops parsing arguments when a non-option string found. Let's always use getopt_long().",https://github.com/systemd/systemd/commit/53f5aa3fd2423b9dac91049a5d4e8df5666cf4b3
systemd/systemd,https://github.com/systemd/systemd,26b2085,Yu Watanabe,2025-12-03T22:58:02Z,include: update kernel headers from v6.18,https://github.com/systemd/systemd/commit/26b2085d54ebbfca8637362eafcb4a8e3faf832f
